Sanskrit|English|Hindi
बुद्धिमता जनेन पापिजनानां पापस्य चर्चा न करणीया।|The sins of sinners should not be discussed.|पापियों के पाप की चर्चा नहीं करनी चाहिए।
तथैव अपापिनं पापवन्तम् इति न वक्तव्यं यतो हि तेन एकं तु तस्य पापिनः पापाः अस्मासु आयान्ति तथैव मिथ्या भाषणस्यापि पापः आपतति।|Similarly, one who is sinless should not be accused of being a sinner, because by doing so, he becomes guilty of two faults by being guilty of the same sinner's sin and the fault of speaking falsely.|न पाप रहित पर पापी होने का आरोप लगाना चाहिए, क्योंकि ऐसा करने से वह उसी पापी के पाप के दोष तथा मिथ्याभिभाषण दोष से युक्त होकर दो दोषों का भागी हो जाता है।
प्रतिदिनं वाक्यानि लिखन्तु सर्वे।|Everyone write sentences every day.|सब लोग प्रतिदिन वाक्य लिखें।
अभ्यासेन ज्ञानं दृढत्वं समधिगच्छति।|Through practice, knowledge gains stability.|अभ्यास से ज्ञान को दृढता मिलती है।
बहुजनाः वाक्यानि पठित्वा तुष्यन्ति।|Many people feel satisfied after reading sentences.|बहुत से लोग वाक्य पढ़कर संतुष्ट होते हैं।
केचन जनाः उद्याने भ्रमन्ति।|Some people wander in the park.|कुछ लोग उद्यान में घूमते हैं।
एकः बालकः धूम्रं पिबति।|One boy is smoking.|एक लड़का धूम्रपान करता है।
क्षणिकसुखं कालान्तरे करालं रोगं ददाति।|Temporary pleasure leads to severe illness later.|अस्थायी सुख बाद में गंभीर रोग देता है।
खं गच्छति यः सः खगः कथ्यते।|One who goes in the sky is called a bird.|जो आसमान से जाता है उसे पंछी कहते हैं।
माता गच्छन्तं बालकं विलोकयति।|The mother sees the boy going.|माँ जाते हुए बच्चे को देखती हैं।
तस्य तनुः बुभुक्षया अशुष्यत्।|His body dried up due to hunger.|उसका शरीर भूख से सूख गया।
प्रजापालनम् एव राजधर्मः वर्तते।|Nourishing the public is the raj dharma.|प्रजा का पालन करना ही राजाधर्म है।
आकर्ण-पूर्ण-धन्वानौ महाबलौ राम-लक्ष्मणौ अग्रतः पृष्ठतः च एव पार्श्वतः च  रक्षेताम्।|Let the mighty Rama and LakShmaNa, who have the bowstring stretched to the fullest upto the ears, (who are ever-ready) protect us and save us by surrounding us from the front, back and sideways.|शक्तिशाली राम और लक्ष्मण, जिनके धनुष की प्रत्यंचा कानों तक पूरी तरह फैली हुई है, (जो सदैव तत्पर रहते हैं) हमारी रक्षा करें और हमें आगे, पीछे और बगल से घेरकर हमारी रक्षा करें।
तमः परिवृतं वेश्म यथा दीपेन दीप्यते तथा बुद्धि-प्रदीपेन शक्यः आत्मा निरीक्षितुम्।|Just as a gloomy overcast house is illuminated by a lamp so also by the lamp of Knowledge (intelligence) the perception of the Aatma (Soul/Consciousness) is possible.|जिस प्रकार अंधेरे में घिरे घर को दीपक से प्रकाशित किया जाता है, उसी प्रकार ज्ञान के दीपक से आत्मा की अनुभूति संभव है।
अजित यज्ञभावन|O unconquerable enjoyer of all sacrifices|हे समस्त यज्ञों के अजेय भोक्ता!
ते जितं जितम्|all glories and all victories unto You!|सारी महिमाएँ और सारी विजयें तुम्हें!
त्रयीं तनुं स्वां परिधुन्वते नम:|salutations to You, who are moving in Your form of the personified Vedas|साक्षात वेदस्वरूप में विचरण करने वाले आपको नमस्कार है
यद्-रोमगर्तेषु निलिल्युः अद्धयः|In whose the hair holes of Your body the oceans are submerged|जिनके शरीर के रोमछिद्रों में समुद्र डूबे हुए हैं
तस्मै नम: कारणसूकराय ते|to him, who are you, for reasons, having now assumed the form of a boar.|नमन उनको जो आप हैं जो वराह अवतार किसी कारण हेतु धारण किया है
मनुष्येण माता पिता गुरुः च एते सर्वदा सर्वथा च तोषणीयाः।|A person should always keep his parents and teacher happy.|व्यक्ति को अपने माता-पिता तथा गुरु का सदैव प्सुख रखना चाहिए।
एतेषु तुष्टेषु सर्वाणि सत्कर्माणि सर्वाः तपस्याः च पूर्णाः भवेयुः।|When these three are happy, all the penances are completed.|इन तीनों के प्रसन्न होने पर सम्पूर्ण तपस्यायें पूर्ण हो जाती है।
हे धीमन् गर्वं मा कुरु।|O wise one, do not be proud.|हे बुद्धिमान, गर्व मत करो।
आवाम् अधुना मोदिष्यावः मित्र।|We two will rejoice together now, friend.|अब हम साथ में मजे करेंगे, मित्र।
मया श्वः प्रातः पर्णपत्तनं गन्तव्यम्।|I have to go to Parnapattanam tomorrow morning.|मुझे कल सुबह पर्णपत्तनम् जाना होगा।
धिक् कीदृशः जनाः सन्ति जगति।|Alas! What kind of people are there in this world.|धिक्कार है इस दुनिया में कैसे-कैसे लोग हैं।
सम्प्रति केचन पुरुषाः स्त्रीत्वं काङ्क्षन्ते।Some men currently desire to be women.|कुछ लोग अभी महिला बनना चाहते हैं।
रुष्टा स्त्री सर्वं नाशयति।|An angry woman destroys everything.|एक क्रोधित स्त्री सब कुछ नष्ट कर देती है।
बहूनि वञ्चनानि लोके अस्मिन् प्रवर्तन्ते।|Many deceptions occur in this world.|इस दुनिया में बहुत सारे धोखे होते हैं।
शिशुः प्रथमवारं व्योममार्गेण प्रयाति।|The baby is traveling through the airway for the first time.|शिशु पहली बार हवाई मार्ग से यात्रा कर रहा है।
पितामही मां स्वपन्तं दृष्ट्वा तर्जयति।|The Grandmother scolds me after seeing me sleeping.|दादी मुझे सोते हुए देखकर डाँटती है।
