Hindi|English|Sanskrit
टेस्ट मैच कल आरंभ होगा।|The cricket test match will start tomorrow.|पंचदिवसीया वल्लकन्दुकक्रीडास्पर्धा श्वः आरम्भः भविता।
मतदान कल आरंभ होगा।|Voting will start tomorrow.|मतदानं श्व आरम्भः भविता।
मैं अगले सोमवार को घर जाऊँगा।|I will go home next monday.|अहम् आगामिसोमवासरे गृहं गन्तास्मि।
तुम अगले साल एक घर खरीदोगे।|You will buy a house next year.|त्वम् आगामिवर्षे एकं गृहं क्रेतासि।
राम और श्याम कल मुम्बई के लिए प्रस्थान करेंगे।|Rama and Shyama will depart for Mumbai tomorrow.|रामश्यामौ/रामः श्यामश्च श्वः मुम्बय्यीनगरं गन्तुं प्रस्थानं कर्तारौ।
हम दोनों अगले सप्ताह माँ से मिलेंगे।|The both of us will meet Mother next week.|आवाम् आगामिसप्ताहे मातरं   मिलितास्वः/मेलनं कर्तास्वः/अध्यागमितास्वः।
तुम दोनों मिलकर अगले वर्ष एक गाड़ी खरीदोगे।|The both of you will purchase a car next year.|युवां परस्परं मिलित्वा एकं शकटं क्रेतास्थः।
मोहन और शीतला अगले साल आपस मे शादी करेंगे।|Mohan and Sheetala will marry each other next year.|मोहनः शीतला च आगामिवर्षे परस्परं परिणयितारौ।
घर के सभी लोग पर्यटन करने के लिए अगले सप्ताह काठमांडु जायेंगे।|Everyone at home will go to Kathmandu for tourism next week.|गृहे सर्वे जनाः पर्यटनाय आगामिसप्ताहे काष्ठमाण्डुनगरं गन्तारः।
हमलोग कल पहाड़ पर पैदल चलकर वैष्णोदेवी पहूँचेंगे।|We will reach Vashno Devi temple tomorrow by walking on the mountain.|वयं श्वः पर्वते पादगमनं कृत्वा वैष्णोदेवीस्थलं प्राप्तास्मः।
वर्तमान में जो कुछ है, अतीत में जो कुछ था और भविष्य में जो होनेवाला है — यह सब केवल अनन्त पुरुष ही है।That Purusha is indeed all this, that which has been and that which will be.|इदं सर्वं यद् भूतं यद् भव्यं च पुरुषः एव।
वह अमरता और उस (नश्वर जीवन) का भगवान है, जो भोजन के माध्यम से बढ़ता है।|He is the Lord of immortality and of that (mortal life), which grows by means of food.|यद् अन्नेन अतिरोहति सः अमृतत्वस्य ईशानः उत।
