लघवः मत्स्याः अजायन्त तडागेऽस्मिन्।|Small fish were born in this pond.|इस तालाब में छोटी मछलियाँ पैदा हो गई हैं।
एकवर्षं कियच्छीग्रं व्यतीतं किल।|One year passed quickly indeed.|एक वर्ष बहुत शीघ्र ही बीत गया।
उषसि घासोऽपरि पदवेशौ विना चलावः।|In the morning, we (two) walk on the grass without footwear.|प्रातः हम दोनों बिना जूतों के घास पर घूमते हैं।
कर्मकराः मार्जिष्यन्ति त्यजतु भवान्।|The workers will clean; you please leave it.|कर्मचारी सफाई कर देंगे आप छोडिए।
कृषिक्षेत्रेषु कर्षणम् आरब्धम्।|Plowing has started in the agricultural fields.|कृषि क्षेत्रों में खेती प्रारम्भ हो गई है।
कैश्चित्तु प्रियङ्गोः वपनमपि कृतम्।|Some have even sowed the millet.|कुछ लोगों ने तो बाजरे की बुवाई भी कर दी है।
सर्वनाथः शिवः अस्ति।|Shiva is the lord of all.|शिव सभी के ईश्वर हैं।
अग्रिमे स्थानके अवतरिष्यामि।|I will arrive at the next station.|मैं अगले स्थान पर उतर जाऊंगा।
सः अभीक्ष्णं मां पश्यति।|He looks at me continuously.|वह लगातार मुझे देखता है।
निर्जनस्थानेषु पशूनां सङ्ख्या अधिका भवति।|The number of animals is higher in isolated places.|अलग-थलग स्थानों में पशुओं की संख्या अधिक होती है।
सुरुचिपूर्णं खाद्यं चाखाद्ये।|I am eating delicious food again and again.|स्वादिष्ट भोजन पुनः पुनः खा रहाँ हूँ।  
निस्सरति मातुः मुखात् शुभवचनम्।|Auspicious words come out of the mother's mouth.|माता के मुख से शुभ वचन निकलते हैं।  
जीवेम शरदश्शतम्।|May we live a hundred years.|हम सौ शरद(वर्ष) जियें।  
शिरसि तस्य पञ्चषाः केशाः एव सन्ति।|He has only five or six hairs on his head.|उसके सिर पर केवल पाँच छह बाल ही हैं।  
अस्य जनकः कदा दिवङ्गतः।|When did his father pass away?|इसके पिता कब दिवंगत हुए। 
तैः मिलित्वा रामकथा आयोजिता।|Together they organized Raamakathaa.|उन्होनें साथ मिलकर रामकथा का आयोजन किया गया।  
मया भवत्या समयनियोजनं पठितव्यम्।|Time-management must be learnt by me from you.|मुझे आपसे समय नियोजन सीखना है।  
तव बोधनेनैव वयं प्रेरिताः।|We are inspired only by your teaching.|आपकी शिक्षा से हम प्रेरित हैं।  
पूर्णसमर्पणम् आवश्यकम्।|Complete dedication is necessary.|पूर्ण समर्पण आवश्यक है।  
एकध्येयनिष्ठो भव।|Be focussed on one goal.|एक लक्ष्य पर केंद्रित रहो।
आमधुना अहं स्थिरमनसा वदिष्यामि।|Yes, I will now speak with a calm mind.|अब मैं शांत मन से बोलूंगा।
वयं पञ्च आगच्छाम भ्रमणार्थम्।|Five of us should come for the tour.|हम पाँच लोग भ्रमण के लिए आ जाएं।
यदि समयेन प्राप्स्यं गृहं तर्हि निद्रा पूर्णा अभविष्यत्।|If I reach home on time, I will be sleepy.|यदि समय से घर पहुंच जाऊँ तो नींद पूरी हो जाएँ।
वयमत्र परितुष्टाः स्मः।|We are satisfied here.|हम यहाँ संतुष्ट हैं।
भवान् स्वस्य व्यवस्थां करोतु।|You organize for yourself.|आप अपनी व्यवस्था करें।
हस्तलिखितं पत्रमिदम्।|This is a handwritten letter.|यह एक हस्तलिखित पत्र है।
अद्य किल स्नास्यसि।|Today you will take bath indeed.|आज तुम नहाओगे।
अस्मिन् प्रकरणे नाहं लिप्तः।|I am not involved in this matter.|मैं इस प्रकरण में सम्मिलित नहीं हूँ।
न अङ्ग्यकरोत् सः।|He did not agree.|उसने स्वीकार नहीं किया।
लकारान् पठामि इदानीम्।|I am studying verb forms (lakaara) now.|मैं अभी लकार पढ़ रहा हूँ।
विद्यार्थिनः पदवेशान् पङ्क्त्या स्थापयन्तु।|Let the students arrange their footwear in rows.|छात्र अपने पदवेश पंक्तियों में रखें।
वृक्षाः फलान्विताः भवन्तः सन्ति।|The trees are fruit-laden.|पेड़ फलों से भरे हुए हैं।
वेणुछिद्रे फूत्क्रियताम्।|Blow in the hole of the flute.|बांसुरी के छेद में फूक मारो।
गच्छ vatsa यथासुखम्।|Go, my child, as you please.|मेरे बच्चे जैसी इच्छा करे वैसे जाओ।
यस्य पुरतः मारुतिः तं रघुनन्दनं वन्दे।|I salute Lord Rama, in front of whom is Hanuman.|जिनके सामने हनुमान है उन रामचंद्र को मैं वंदन करता हूँ।
तव मुखाकृतिः न परिस्थित्यनुकूला।|Your facial expression does not match the situation.|तुम्हारे चेहरे की अभिव्यक्ति परिस्थिति से मेल नहीं खाती।
स्वर्णकङ्कणानि धृत्वा गता सा।|She went wearing gold bangles.|वह स्वर्ण कंगन पहनकर गई।
यष्टिकां दक्षिणहस्तेन गृहाण।|Hold the stick with your right hand.|अपने दाहिने हाथ में यष्टि को पकड़ो।
आदिवसं सुप्तवान् रोगकारणेन।|He slept the whole day due to illness.|वह रोग के कारण पूरे दिन सोता रहा।
भगवद्ध्वजः उत्तोलितः तैः।|The flag of the Lord (Bhagawaddhwaja) was hoisted by them.|उनके द्वारा भगवान का ध्वज उठाया गया।
भवतु नाम सः मन्त्री अहमपि स्वाभिमानी अस्मि।|He may be a minister; I too have self-respect.|होगा वह मंत्री किन्तु मैं भी स्वाभिमानी हूँ।
शुष्कपर्णं चूर्णयति वामहस्तेन सः।|He crushes dry leaf with his left hand.|वह अपने बाएं हाथ से सूखे पत्ते को पीसता है।
मार्जनी कुत्र वा स्थापिता जनन्या।|Where has the broom been kept by mother?|झाड़ू मां के द्वारा कहां रख दी गई।
साधुजनः सदा रामनामैव जपति।|The saint always chants only the name of Rama.|साधु केवल राम का नाम जपता है।
सकलगुणनिधानं हनुमन्तं नमामि।|I salute Hanuman, the repository of all virtues.|मैं सभी गुणों के भंडार हनुमान को नमन करता हूँ।
भगवान् सदा मे प्रत्यक्षं भवति।|God is always present for me.|भगवान हमेशा मेरे सामने होते हैं।
एकोऽहं बहु स्याम्।|I am one, should become many.|एक हूँ बहुत हो जाएँ।
प्रेरणादायकमिदम् आचरणं भवत्याः।|This conduct of yours is inspirational.|तुम्हारा यह व्यवहार प्रेरणास्पद है।
नारायणी नमोऽस्तु ते।|Salutations to you, Naaraayani.|तुम्हें नमस्कार है हे नारायणी।
