Sanskrit|English|Hindi
एषः तन्तुवायस्य जनकः ननु।|He is the father of the weaver, isn't it?|यह बुनकर का पिता है, है ना।
कुम्भकारः कुम्भं निर्माति।|The potter makes the pot.|कुम्हार घड़ा बनाता है।
अधोमुखी भूत्वा वृक्षात् अवतरति बिडालः।|The cat descends from the tree headfirst.|बिल्ली सिर के बल पेड़ से उतरती है।
व्याघ्रः सिंहापेक्षया बृहत्तरः वर्तते।|The tiger is larger compared to the lion.|बाघ सिंह की अपेक्षा बड़ा होता है।
विक्षिप्तं मनः सदा क्लेशान् अनुभवति।|A distracted mind always experiences distress.|विचलित मन सदा कष्ट का अनुभव करता है।
वृक्षाः आतपात् रक्षन्ति।|Trees protect from the heat.|पेड़ धूप से बचाते हैं।
तत्र तदा नवपल्लवपर्णयुतसस्यं बभौ।|Long back there was a plant with new young leaves.|उस समय वहाँ नई पत्तियों से युक्त सस्य था।
शीघ्रमुत्थाय भूमिवन्दनं कुरु।|Get up quickly and do the Bhoomivandana.|शीघ्र उठकर भूमिवंदना करो।
सा घटना तु सप्तवर्षपुरातनी वर्तते।|But that is a seven-year-old event.|वह घटना सात वर्ष पुरानी है।
Particles स्म and पुरा used with लट् लकार convert it into अनद्यतन past.
मम पिता एवं वदति स्म।|My father used to say thus.|मेरे पिता ऐसा बोलते थे।
अहं पुरा तत्र वसामि।|I used to live there.|मैं वहाँ रहता था।
त्वं यावत् सुखं लभसे (= लब्धासे)|You will obtain happiness.|तुम सुख प्राप्त करोगे।
मोदी हि जयति पुरा (= जेता)|Modi will indeed win.|मोदी निश्चय ही जीतेंगे।
इत्थं मे गृहजनाः बाल्यी मां विद्यालयं प्रेषयन्ति स्म।|This way my family sent me to school.|इस तरह मेरे परिवार ने मुझे स्कूल भेजा।
सः गुणशाली वर्तते तेन सह सम्पर्कं कुरु।|He is virtuous, get in touch with him.|वह गुणवान है उससे संपर्क करो।
जलदः तु कृष्णवर्णीयः नास्ति।|But the cloud is not dark|बादल काले रंग के नहीं हैं।
अद्य प्रातः सः दक्षिणां दिशं प्रति गतः।|This morning, he went southward.|आज सुबह वह दक्षिण दिशा की ओर गया।
त्वया लक्षितः किं दोषः वाक्ये।|Did you notice a mistake in the sentence?|क्या आपने वाक्य में त्रुटी देखी।
दूरवाणीदर्शनं यावत् न्यूनं तावद् वरम्।|The lesser the mobile-screen-time, the better it would be.|जितना कम स्क्रीन समय उतना अच्छा।
अपहरणानि वर्धमानानि सन्ति किल।|Abductions are indeed increasing.|अपहरण सचमुच बढ़ रहे हैं।
कुत्र किं वक्तव्यमिति विवेकः नास्ति तस्याम्।|She lacks the discretion as to what to say and where.|उसमें कहाँ क्या बोलना है इसका विवेक नहीं है।
रज्जुघर्षणपरिणामेन चिह्नमिदं निर्मितम्।|This mark was caused by rope-friction.|यह चिह्न रस्सी के घर्षण से बना है।
कृष्णवियोगं न सहन्ते भक्ताः।|Devotees cannot bear separation from Krishna.|भक्तजन कृष्ण से वियोग सहन नहीं कर सकते।
भुषुण्डिमपि जानामि चालयितुम्।|I also know how to operate a gun.|मुझे बन्दूक भी चलाना भी आती है।
शोकरूपिणा कण्टकेन व्याकुलः|troubled by the thorn in the form of grief|शोक-रूपी कण्टक से व्याकल
भूतेभ्यः अञ्जलिं कृत्वा गमनाय सिद्धः हनुमान्।|Hanuman, ready for departure, saluted (folded his hands together for) the beings.|प्रस्थान के लिए सिद्ध हनुमान ने प्राणियों को प्रणाम किया।
भवद्गुणाः एव जनान् आकर्षयन्ति।|Your qualities alone attract people.|आपके गुण ही लोगों को आकर्षित करते हैं।
धनं जीवनसञ्चालनाय आवश्यकमस्ति।|Money is necessary for the livelihood.|जीवन के संचालन के लिए धन आवश्यक है।
भूमिः अस्मान् पाति।|The earth protects us.|भूमि हमारी पालन करती है।
विवाहनिमन्त्रणपत्रिकां संस्कृतेन निर्मापयिष्यामि।|I will get the wedding invitation card composed/made in Sanskrit.|मैं विवाह निमंत्रण पत्रिका संस्कृत में बनवाऊंगी।
तोरणोपरि उपविष्टः कपिः।|The monkey is seated on ornamented door-arch(torana).|बंदर तोरण द्वार पर बैठा है।
अङ्गुष्ठानामिकाभ्यां गृह्यते लेखनी।|The pen is held with the thumb and the ring finger.|अंगूठे और अनामिका से कलम पकड़ी जाती है।
पृष्ठतः विद्यमानं जनम् आह्वयामि।|I am calling the person present at the back side.|मैं पीछे उपस्थित व्यक्ति को बुला रहा हूँ।
सङ्गठनशक्तिः एव क्लेशनिवारिणी।|The power of organization alone dispels hardships.|संगठन शक्ति ही कष्टों को दूर करती है।
नदी वेगेन प्रवहति।|The river flows fast.|नदी वेग से बहती है।
कार्याधिकतया निद्रालुः भवामि।|Due to excessive work, I feel sleepy.|अधिक कार्य के कारण मैं निद्रालु हूँ।
शिष्याः स्मृत्वा वेदमन्त्रान् अभिरक्षन्ति।|Students preserve the Vedic mantras by memorizing them.|शिष्य वेदमंत्रों को याद करके उनकी रक्षा करते हैं।
सः त्रिंशद्वारं पर्वतम् आरूढवान्।|He climbed the mountain thirty times.|उसने तीस बार पहाड़ पर चढ़ाई की।
अपत्यानि मातरम् उपासते।|Children worship their mother.|बच्चे अपनी माता की पूजा करते हैं।
अञ्जनानन्दं वीरं प्रणमामि।|I bow to the brave Anjanananda.|मैं वीर अंजनानंद को प्रणाम करता हूँ।
आलस्यं हि मनुष्याणां शरीरस्थो महान् रिपुः।|Indeed, laziness is a great enemy that resides in the human body.|वास्तव में आलस्य मनुष्य के शरीर में स्थित एक महान शत्रु है।
सः अरिमर्दनः इति कथ्यते।|He is called the destroyer of enemies.|उसे शत्रुनाशक कहा जाता है।
कामरूपिणः प्रयान्ति।|Shapeshifters are going (traveling).|रूप बदलने वाले प्रस्थान करते हैं।
अद्यत्वे दानादिकं तु बहु कुर्वन्ति जनाः।|Nowadays people do a lot of charity, etc.|आजकल, लोग दान और ऐसे कार्यों में बहुत संलग्न रहते हैं।
इष्टिकाभिः निर्मितमिदं गृहम्।|This house is built of bricks.|यह घर ईंटों से बना है।
यज्जुहोषि तत् कुरुष्व मदर्पणम्।|Whatever you are going to sacrifice/consume, do it as an offering to me.|जो कुछ भी तुम अर्पित करते हो उसे मुझे अर्पण कर दो।
शोधिन्या चायं शोधयति माता।|Mother purifies (filters) the tea with a strainer.|माँ छलनी से चाय को छानती है।
तक्रप्रियोऽहम्।|I am fond of buttermilk.|मैं तक्रम प्रिय हूँ।
तस्याः दक्षिणहस्ते दूरवाणी अस्ति।|She has a phone in her right hand.|उसके दाहिने हाथ में दूरवाणी है।
प्रतिवेशिनी शाटिकाक्रयणादर्शा।|The neighbor is an ideal for saree-purchase.|पड़ोसन साड़ी क्रय करने में आदर्श है।
दक्षता अभ्यासेन अवाप्यते।|Skill is attained through practice.|कौशल अभ्यास से प्राप्त होता है।
षट् स्तोभाः अवशिष्टाः।|Six wickets are remaining.|छह स्तोभ शेष हैं।
कृष्णफलके लेखितुमाह्वयति माम्।|He invites me to write on the blackboard.|वह मुझे श्यामपट पर लिखने के लिए आमंत्रित करता है।
बहुवारं चिन्तयामि यत् सन्न्यासं स्वीकुर्याम्।|Often I think that I should take Sanyaasa.|बहुधा मैं सोचता हूँ कि मुझे संन्यास ले लेना चाहिए।
प्रायशः अस्मिन् मार्गे गते ते महिले।|Probably, those two women went on this road.|वे दोनों महिलाएं सम्भवतः इस मार्ग पर गईं।
चिक्रोडपुच्छं केशाच्छादितं भवति।|The tail of a squirrel is covered with hair.|गिलहरी की पूँछ बालों से ढकी होती है।
पिपीलिकाः न कदापि स्वपन्ति।|Ants never sleep.|चींटियाँ कभी नहीं सोतीं।
मम वस्त्राणि अहमेव प्रक्षालयामि।|I wash my clothes myself.|मैं अपने कपड़े स्वयं धोता हूँ।
किं करोषि त्वम्।|What are you doing?|तुम क्या कर रहे हो।
यत् भवता क्रियते तदेव करोमि।|I do whatever is done by you.|मैं वही करता हूँ जो आपके द्वारा किया जाता है।
समाजकण्टकैः बालदेहव्यापारः क्रियते।|Child-trafficking is done by thugs (antisocial elements).|समाज के कण्टकों द्वारा बाल देह व्यापार किया जाता है।
भवतां गृहे सन्ति किल कानिचन शस्त्राणि।|There are some weapons in your house, right?|आपके घर में कुछ शस्त्र हैं ना।
मदग्रजः विदेशयात्रायामस्ति।|My elder brother is on a foreign-travel.|मेरा बड़ा भाई विदेश यात्रा पर है।
रक्तवर्णीयं पिञ्जं नुद।|Press the red button/switch.|लाल बटन दबाएं।
मार्जनम् आवश्यकं गृहस्य।|Cleaning of the house is necessary.|घर की सफाई आवश्यक है।
मार्गम् अङ्गुलीसङ्केतेन दर्शयति सा।|She shows the way/direction with a finger gesture.|वह उंगली के सङ्केत से मार्ग दिखाती है।
पुच्छं सदा चलायमानं भवति।|The tail keeps moving all the time.|पूँछ हमेशा हिलती रहती है।
पुनः कदलीं प्राप्तुं वृक्षकर्तनं क्रियते।|To get the banana again, tree-cutting is done.|केला फिर से पाने के लिए पेड़ को काटा जाता है।
प्राणिमात्रं न हिंसति एषः।|He does not harm any living being.|वह किसी भी जीव को हानि नहीं पहुँचाता।
अहिंसा परमो धर्मः धर्महिंसा तथैव च।|Non-violence is the highest duty, and so is righteous violence.|अहिंसा परम धर्म है और धर्म के लिए की गई हिंसा भी ।
तीक्ष्णाः भवन्ति कुक्कुरदन्ताः।|Dog's teeth are sharp.|कुत्ते के दांत तीक्ष्ण होते हैं।
उद्योगदर्शनाय आगताः इमे।|They have come to see the factory.|वे उद्योग देखने आए हैं।
चित्रपतङ्गस्य द्वौ पक्षौ भवतः।|A butterfly has two wings.|तितली के दो पंख होते हैं।
गौण्यामस्ति सर्षपः।|There is a mustard in the sack.|बोरी में सरसों है।
अभीक्ष्णं स्वेदः पतति शरीरात्।|Sweat drips from the body often.|शरीर से लगातार पसीना गिरता है।
रामाङ्किता मुद्रिका दीयताम्।|The ring marked  ‘Rama’ should be given.|राम के चिह्न वाली अंगूठी दी जाए।
यथासुखं कार्याणि क्रियन्ताम्।|Let the tasks be done as per comfort.|काम आराम से किए जाएं।
अयं मार्गः नगरं प्रति गच्छत्युत न।|Does this road go towards the city or not?|क्या यह मार्ग नगर की ओर जाता है अथवा नहीं।
धेनुः वत्सम् अजनयत्।|The cow gave birth to a calf.|गाय ने बछड़े को जन्म दिया।
हस्तशकटात् क्रीतमिदं युतकम्।|This shirt was bought from the handcart/pushcart.|यह कमीज ठेले से खरीदी गई थी।
मृत्पात्रे पक्षिभ्यः जलं सञ्चितमस्ति।|Water is stored for the birds in the clay-pot.|मिट्टी के बर्तन में पक्षियों के लिए पानी रखा गया है।
स्वातन्त्र्यवीरसावरकराय नमः।|Salutations to the freedom fighter Savarkar.|स्वातन्त्र्यवीर सावरकर को नमस्कार।
तुलसीसस्यं प्रत्येकं गृहे भवेत्।|Every house should have a Tulsi plant.|हर घर में तुलसी का पौधा होना चाहिए।
