sanskrit|english|hindi
सुग्रीवः रामेण सख्यं चकार।|Sugreeva made friendship with Rama.|सुग्रीव ने राम से मित्रता की।
यात्रिकः वृक्षच्छायायां विश्राम्यति।|The traveler rests in the shade of a tree.|यात्री वृक्ष की छाया में विश्राम करता है।
तस्य ध्वनिः गम्भीरः।|His voice is deep.|उसकी आवाज़ गहरी है।
माता रुदति शिशौ स्निह्यति।|The mother affectionately cares for the crying child.|माँ रोते हुए शिशु को स्नेह करती है।
तन्त्रीषु अङ्गुली नृत्यति।|The finger dances on the strings.|अंगुली तारों पर नाचती है।
चन्द्रबिम्बं सरसि कम्पते।|The reflection of the moon trembles in the lake.|चंद्रमा का प्रतिबिंब सरोवर में काँपता है।
अहं निःस्वः किन्तु मानी।|I am penniless but proud.|मैं निर्धन हूँ किंतु स्वाभिमानी हूँ।
कालसर्पः जनान् भीषयति।|The deadly serpent frightens people.|कालसर्प लोगों को डराता है।
जीमूतानां नादः श्रूयते।|The roar of the clouds is heard.|बादलों की गर्जना सुनाई दे रही है।
तव मुखं म्लानं किमर्थम्।|Why is your face sad?|तुम्हारा मुख म्लान क्यों है?
गरुत्मतः पक्षवातः घोरः।|The wind from Garuda's wings is terrible.|गरुड़ के पंखों की वायु घोर है।
बालुकाः मुष्टिबन्धात् स्रवन्ति।|Sand slips from a closed fist.|बालू मुट्ठी से सरकती है।
सः धूर्ततया हसति।|He laughs cunningly.|वह धूर्तता से हँसता है।
सा अञ्जलिना जलं पिबति।|She drinks water with the cupped hands.|वह अंजलि से जल पीती है।
वृद्धा पौत्रं स्नेहेन पश्यति।|The old woman looks at the grandson with affection.|वृद्धा पोते को स्नेह से देखती है।
मरुस्थले मरीचिकाः जायन्ते।|Mirages are born in the desert.|मरुस्थल में मृगतृष्णाऐं बनती हैं।
शृगालस्य क्रन्दनं रात्रौ श्रूयते।|The jackal's howl is heard at night.|सियार का रोना रात में सुनाई देता है।
तस्य वाक्ये श्लेषः अस्ति।|There is a pun (double meaning) in his sentence.|उसके वाक्य में श्लेष (अलंकार) है।
शिशुः अम्बाम् अन्विच्छति।|The child is searching for the mother.|शिशु माँ को ढूँढ़ रहा है।
शल्यं हृदि वेदनां जनयति।|An arrow-head in the heart produces pain.|हृदय में शूल वेदना उत्पन्न करता है।
अद्योषसि कुक्कुटः अक्रोशत्।|At dawn today, the rooster crowed.|आज भोर में मुर्गा बोला।
विश्वामित्रस्य तपः अभङ्गम्।|Vishvamitra's penance was unbroken.|विश्वामित्र का तप भंग नहीं हुआ था।
बालकस्य अङ्गानि पुष्टिं गतानि।|The child's limbs have become strong.|बालक के अंग पुष्ट हो गए हैं।
ध्माता अग्निं प्रज्वालयति।|The bellows ignites the fire.|धौंकनी अग्नि प्रज्वलित करती है।
त्वम् अनर्गलं किमर्थं वदसि।|Why are you speaking unrestrainedly?|तुम अनर्गल क्यों बोल रहे हो।
सा स्वनेत्रयोः कज्जलं धारयति।|She wears kohl in her eyes.|वह अपनी आँखों में काजल लगाए रखती है।
पिष्टकस्य स्वादः भिन्नः।|The taste of the pishtaka is different.|पिट्ठे का स्वाद भिन्न है।
जीर्णदुर्गस्य भित्तयः पतिताः।|The walls of the dilapidated fort have fallen.|पुराने दुर्ग की भित्त गिर गये हैं।
चक्रवाकौ रात्रौ वियुज्येते।|The Ruddy shelducks (birds) are separated at night.|चकवा-चकवी रात में बिछुड़ जाते हैं।
वृद्धस्य उपनेत्रं कुत्र अस्ति।|Where are the old man's spectacles?|वृद्ध का चश्मा कहाँ है।
अहं संस्कृतं पठामि।|I study Sanskrit.|मैं संस्कृत पढ़ता हूँ।
गजः शनैः चलति।|The elephant walks slowly.|हाथी धीरे चलता है।
बालिका विद्यालयं गच्छति।|The girl goes to school.|लड़की विद्यालय जाती है।
आकाशे मेघाः गर्जन्ति।|Clouds thunder in the sky.|आकाश में बादल गरजते हैं।
ज्ञानं परमं बलम्।|Knowledge is the ultimate strength.|ज्ञान ही परम बल है।
माता भोजनं पचति।|Mother cooks food.|माता भोजन पकाती है।
वयं क्रीडाक्षेत्रे क्रीडामः।|We play in the playground.|हम खेल के मैदान में खेलते हैं।
सिंहः वने निवसति।|The lion lives in the forest.|सिंह वन में रहता है।
सत्यं वद, धर्मं चर।|Speak the truth, practice righteousness.|सत्य बोलो, धर्म का आचरण करो।
कमलं जले विकसति।|The lotus blooms in the water.|कमल जल में खिलता है।
गदाधरः कौमोदकीं धारयति।|The mace-wielder (Vishnu) holds the Kaumodaki (mace).|गदा को धारण करने वाले (विष्णु) कौमोदकी (गदा) धारण करते हैं।
अर्भकः मृत्तिकया क्रीडति।|The boy is playing with soil.|बालक मिट्टी से खेल रहा है।
वीचिः वीचिम् अनुधावति।|A wave runs after a wave.|लहर लहर के पीछे दौड़ती है।
तव वाचालता मां खेदयति।|Your talkativeness distresses me.|तुम्हारा बड़बोलापन मुझे पीड़ा देता है।
सा आपणे भाण्डानि विक्रीणाति।|She sells utensils in the market.|वह बाजार में बर्तन बेचती है।
मेषयूथः प्रत्यागच्छति।|The flock of sheep is returning.|भेड़ों का झुंड लौट रहा है।
चिबुकस्य तिलः तस्याः शोभा।|The mole on the chin is her beauty.|ठोड़ी का तिल उसकी शोभा है।
तस्य प्रज्ञा अप्रतिहता।|His wisdom is unobstructed.|उसकी प्रज्ञा अबाध है।
जीर्णपर्णं मर्मरं करोति।|A dry leaf makes a rustling sound.|सूखा पत्ता मर्मराता है।
शल्यचिकित्सकः व्रणं सीव्यति।|The surgeon stitches the wound.|शल्य चिकित्सक घाव सीता है।
सिंहस्य नखराः तीक्ष्णाः।|सिंह के नख तीखे हैं।|The claws of the lion are sharp.
कः तत्र द्वारम् अताडयत्।|वहाँ किसने द्वार खटखटाया?|Who knocked on the door there?
अङ्गणे रक्तपुष्पाणि विकसन्ति।|आँगन में लाल फूल खिल रहे हैं।|Red flowers are blooming in the courtyard.
नूपुरस्य ध्वनिः मनोहारी।|पायल की ध्वनि मनोहारी है।|The sound of the anklet is enchanting.
महर्षेः जटाः कपिलवर्णाः।|महर्षि की जटाएं भूरे रंग की हैं।|The great sage's matted locks are tawny-brown.
जाङ्गलिकः कन्दमूलानि भक्षयति।|जंगल में रहने वाला कंद-मूल खाता है।|The forest-dweller eats roots and tubers.
इदं वृत्तं श्रुत्वा सः व्यषीदत्।|यह समाचार सुनकर वह दुखी हो गया।|Hearing this news, he became sad.
पिपीलिकायाः दंशः पीडाकरः।|चींटी का डंक दर्दनाक होता है।|The sting of an ant is painful.
चन्द्रमरीचयः शान्तिं यच्छन्ति।|चाँद की किरणें शांति देती हैं।|The moonbeams give peace.
त्वं कुहकं किमर्थं करोषि।|तुम छल क्यों करते हो?|Why are you practicing deceit?
नासिकायां मौक्तिकं शोभते।|The pearl shines on the nose.|नाक पर मोती शोभता है।
सः वेत्रदण्डेन भूमिं ताडयति।|He strikes the ground with a cane stick.|वह बेंत की छड़ी से भूमि पर मारता है।
एषा केवला मम कल्पना।|This is merely my imagination.|यह केवल मेरी कल्पना है।
जम्बीरस्य स्वादः आम्लः।|The taste of a lemon is sour.|नींबू का स्वाद खट्टा है।
भिक्षुकः द्वारि अटति।|The beggar wanders at the door.|भिखारी द्वार पर भटकता है।
कुम्भकारस्य हस्तौ मृण्मयौ।|The potter's hands are covered in clay.|कुम्हार के हाथ मिट्टी से सने हैं।
युधिष्ठिरस्य सत्यवादिता प्रसिद्धा।|Yudhishthira's truthfulness is famous.|युधिष्ठिर की सत्यवादिता प्रसिद्ध है।
शिशुः मात्रा विना रोदिति।|The child cries without the mother.|शिशु माँ के बिना रोता है।
उपधानं विना अहं न स्वपिमि।|I do not sleep without a pillow.|मैं तकिये के बिना नहीं सोता।
वायसः प्राकारे उपविशति।|The crow sits on the compound wall.|कौवा घेरे पर बैठता है।
एलायाः गन्धः सुरभितः।|The fragrance of cardamom is sweet-smelling.|इलायची की गंध सुगंधित है।
व्याधः मृगं हतवान् आसीत्।|The hunter killed the deer.|आखेटक ने हिरण को मार दिया।
इन्द्रस्य वज्रः कुलिशः कथ्यते।|Indra's thunderbolt is called Kulisha.|इंद्र का वज्र कुलिश कहलाता है।
सा गेन्दुकक्रीडायां निपुणा।|She is skilled in the game of ball.|वह गेंद के खेल में निपुण है।
तस्य भाले चिन्तारेखा स्फुटा।|The line of worry on his forehead is clear.|उसके माथे पर चिंता की रेखा स्पष्ट है।
कूपमण्डूकः किं बाह्यं जानाति।|What does the frog in the well know of the outside?|कुएँ का मेंढक बाहर क्या जाने।
मुषलस्य प्रहारेण धान्यानि स्फुटन्ति।|Grains are split by the blow of the pestle.|मूसल के प्रहार से धान फटता है।
एषः विषयः अतीव जटिलः।|This subject is very complex.|यह विषय बहुत जटिल है।
वृद्धः स्खलित्वा अपतत्।|Stumbling, the old man fell.|वृद्ध फिसलकर गिर पड़ा।
शङ्करः डमरुं वादयति।|Shankara plays the damaru drum.|शंकर डमरू बजाते हैं।
प्रवालस्य वर्णः रक्तः।|The colour of the coral is red.|मूँगे का रंग लाल है।
तस्य नयनयोः औत्सुक्यम् आसीत्।|There was eagerness in his eyes.|उसके नेत्रों में उत्सुकता थी।
ध्रुवः तपसा देवत्वम् आप्नोत्।|Dhruva attained divinity through penance.|ध्रुव ने तप से देवत्व प्राप्त किया।
स्यूते कानि वस्तूनि सन्ति।|What things are there in the bag?|थैले में कौन सी वस्तुएँ हैं।
त्वरया गच्छ मा विलम्बस्व।|Go quickly, do not delay.|शीघ्रता से जाओ, देर मत करो।
पङ्कजवने भ्रमराः गुञ्जन्ति।|Bees are humming in the lotus grove.|कमलवन में भौंरे गूँज रहे हैं।
शिशुः निरपराधः हसति।|The innocent child laughs.|निर्दोष शिशु हँसता है।
सः कापुरुषः इव पलायितः।|He fled like a coward.|वह कायर की भांति भाग गया।
शाद्वले गावः चरन्ति।|Cows are grazing on the meadow.|घास की भूमि पर गायें चर रही हैं।
सा भित्तिं गोमयेन लिम्पति।|She is plastering the wall with cow-dung.|वह भीत को गोबर से लीप रही है।
राजहंसः क्षीरनीरं विविनक्ति।|The flamingo separates milk and water.|राजहंस दूध और पानी को अलग करता है।
अस्य काव्यस्य शैली रमणीया।|The style of this poem is charming.|इस काव्य की शैली रमणीय है।
किं त्वम् एतां वार्तां विश्वसिषि।|Do you believe this news?|क्या तुम इस समाचार पर विश्वास करती हो।
मातापित्रोः सेवा धर्मः।|Service to one's parents is dharma.|माता-पिता की सेवा धर्म है।
सः विमूढः इव तिष्ठति।|He stands like a fool.|वह मूर्ख के जैसा खड़ा है।
गोपालिका दधि मथ्नाति।|The milkmaid is churning the curd.|ग्वालिन दही मथ रही है।
