Sanskrit|English|Hindi
गङ्गा पापं हन्ति|The Ganges destroys sins|गंगा पापों का नाश करती है
शशी तापं हन्ति|the moon destroys heat|चंद्रमा ताप का नाश करता है
कल्पतरुः च दैन्यं हन्ति|and the Kalpa tree destroys misery|और कल्प वृक्ष दीनता का नाश करता है
तथा सन्तः महाशयाः पापं तापं दैन्यं च ( त्रीणि अपि) घ्नन्ति।|and the saints destroy all three - sin, heat and misery.|और संतजन पाप, ताप और दीनता तीनों का नाश करते हैं।
माता दैवं पूजयति।|The mother worships the Daiva.|माँ दैव की पूजा करती है।
पिता प्रातः उत्तिष्ठति।|The father wakes up in the morning.|पिता जी सुबह उठते हैं।
अग्रजः मित्रैः सह गच्छति।|The elder brother goes with friends.|बड़ा भाई दोस्तों के साथ जाता है।
अग्रजा चित्रं चित्रयति।|The elder sister paints a painting.|बड़ी बहन एक चित्र आँकती है।
पितामहः ग्रामसभां गच्छति।|The grandfather goes to the village assembly.|दादाजी गाँव की सभा में जाते हैं।
मातामहः माम् आह्वयति।|The maternal grandfather calls me.|नाना मुझे बुलाते है।
मातामही मम अनुजे स्निह्यति।|The maternal grandmother loves my younger brother.|नानी मेरे‌ छोटे भाई से प्यार करती हैं।
पितृव्या गृहं प्रविशति।|The paternal aunt enters the house.|चाची गृहप्रवेश करती हैं।
पितृव्यः प्रसन्नवदनः तिष्ठति।|The paternal uncle remains happy.|चाचा जी खुशबदन रहते हैं।
पितृष्वसा पितृव्यां निन्दति।|Father's sister criticizes aunty.|भुआ चाची की निंदा करती हैं।
या धारयति ओजसा अतिदेवपदम्|She who holds the abode of the supreme devas by splendor|वह जो ऊर्जा के साथ परम दिव्य स्थान का धारण करती हैं
माता पृथिवी च सा|and she is the mother earth|वह धरती मां हैं
सर्वभूतभृत्|the supporter of all beings.|सबका भरण करने वाली
सा स्तुता मूलं देवी निरृतिः कृणुतां नः सर्वकर्मसु कर्मसिद्धये|May that fundamental goddess Nirṛti, who is praised, bless the accomplishment of all our actions.|वह प्रशंसित मूल-देवी निरृति हमारे सभी कर्मों को कर्मसिद्ध करें
