Sanskrit|English|Hindi
पादाभ्यमेव सः भ्रमति।|He wanders on foot.|वह पैदल ही घूमता है।
अम्ब मे दन्तकूर्चः कुत्र स्थापितः।|Mother, where is my toothbrush kept?|माँ मेरा दाँतों का कूर्च कहाँ रखा है। 
तत्रैव भवतु सः अत्र तु ताडनमेव प्राप्नुयात्।|Let him be there itself, he will only get beatings here.|उसे वहीं रहने दो यहाँ उसे केवल दंड ही मिलेगा।
अस्य वाक्यस्य औचित्यं किम्।|What is the propriety of this sentence?|इस वाक्य की उपयुक्तता क्या है।
सन्न्यासिनं दूरादेव नमस्कुर्वन्ति जनाः।|People greet a monk from afar itself.|लोग साधु को दूर से ही नमस्कार करते हैं।
कण्टकशाखाम् अपसार्य गन्तव्यम्।|One should move the thorny branch away and proceed(go).|काँटेदार शाखा को हटाकर आगे बढ़ना चाहिए।
रामदूतः सर्वान् पराजित्य गच्छेत्।|Rama’s envoy may defeat every one and go.|राम का दूत सबको पराजित करके जाएगा।
मातृभिः शिशवः लाल्यन्ते।|Infants are cuddled by mothers.|बच्चे माताओं द्वारा लालित किए जाते हैं।
वाग्भूषणम् एव भूषणं भवति।|Elocution itself is the ornament.|वाणी का अलंकरण ही वास्तविक् आभूषण होता है।
सूर्यास्तस्य समयः अभवत्।|It is sunset time.|सूर्यास्त का समय हो गया।
सर्वे भवन्तु सुखिनः।|May all be happy.|सभी सुखी हों।
हस्ताक्षराभियानं चालयाम।|Let us conduct a signature campaign.|हम एक हस्ताक्षर अभियान चलाएं।
भाषणं तु पूर्णम् अधुना चलतु भवान् मया सह।|Speech is over now, (please) come along with me.|भाषण पूर्ण हुआ अब आप मेरे साथ चलें।
प्रयोगशालायाम् दुर्गन्धः अस्ति।|There is a bad odour in the laboratory.|प्रयोगशाला में एक दुर्गंध है।
ननाद ढक्कां नवपञ्चवारम्।|He played (sounded) the drum (damaru) fourteen times.|उसने डमरू चौदह बार बजाया।
सा तु बहुभाषापट्वी वर्तते।|She, however, is proficient in several languages.|वह (महिला) कई भाषाओं में प्रवीण है।
पत्रसूचीम् आसन्दे कः अस्थापयत्।|Who kept the mail list on chair?|पत्रों की सूची को किसने आसन्द पर रखी। 
दर्पणे सः वानरः आत्मानं पश्यति।|That monkey sees himself in the mirror.|वह  वानर दर्पण में अपने आप को देखता है।
क्षुरपत्रेण श्मश्रु कर्तयत यूयम्।|You all should shave your beard with the blade.|तुम लोग क्षुरपत्र से अपनी श्मश्रु बनाओ।
चतुरः पादान् प्रसार्य शेते मे धेनुः।|My cow sleeps by stretching all its four legs out.|मेरी गाय अपने चार पैरों को फैलाकर सोती है।
मार्गं निकषा व्रणितः चिक्रोडः पतितः अस्ति।|A wounded squirrel has fallen on the road.|मार्ग पर एक व्रणित गिलहरी गिरी हुई है।
द्रोण्या जलं निक्षिप वृक्षाय।|Pour water for the tree from the bucket.|बाल्टी से पानी पेड़ के लिए डालो।
पुरस्कारवितरणस्य कार्यक्रमे मुख्याथितिः कः वर्तते।|Who is the chief-guest at the award distribution ceremony?|पुरस्कार वितरण कार्यक्रम में मुख्य अतिथि कौन हैं। 
युवां श्वः जनान् सम्बोधयिष्यथः किम्।|Will you both address the people tomorrow?|क्या तुम दोनों कल लोगों को संबोधित कर दोगे। 
अहं किमपि न जाने अस्मिन् विषये।|I do not know anything in this matter.|मैं इस विषय में कुछ नहीं जानता।
कथमपि तं अद्य रात्रौ एव कारागृहे स्थापय।|Somehow, put him in the prison in the tonight itself.|कैसे भी करके उसे आज रात्रि में ही कारागृह में डाल दो।
तव पुत्रस्य वामहस्तः भग्नः।|Your son's left hand is broken.|तुम्हारे बेटे का बायां हाथ टूट गया है।
उलूकः लक्ष्म्याः वाहनमस्ति।|Owl is the vehicle of Lakshmi.|उल्लू लक्ष्मी का वाहन है।
खट्वाम् अधः आनय अचिरात्।|Bring the cot down immediately.|तुरंत खाट को नीचे लाओ।
साम्प्रतं नास्ति कश्चित् तादृशः बलशाली।|At present, there is no one as strong as him.|वर्तमान में उसके जैसा बलशाली कोई नहीं है।
मुनिः साधुजनः महतः प्रयत्नान् कारं कारं गुणान् अर्जति किन्तु ममता नामकी राक्षसी सर्वगुणसमूहान् एकस्मिन् क्रमे एव समाप्तान् करोति।|The sage endures many hardships and collects virtues but the demon in the form of love eats them all at once.|मुनि बहुत कष्टों का सहन कर गुणों को इकठ्ठा करता है किंतु ममता रूपी राक्षसी एक बार में ही उन सबों को खा जाती है।
यः संसारात् उपरमते|who renounces the world|जो संसार को त्याग देता है
