Sanskrit|English|Hindi
हंसाः महीमंडलनाय यत्रापि कुत्रापि गता भवेयु:।|Swans will go wherever they want to beautify the earth (they don't care).|पृथ्वी तल को सुशोभित करने के लिए हंस जहां कहीं भी चले जाएंगे उन्हें कोई अंतर नहीं पड़ता।
हानिः तु तेषां सरोवराणां भवति येषां मरालैः सह विप्रयोग: भवति।|But the loss comes to those ponds which are separated from the swans.|पर हानि तो उन तालाबों की होती है जिनका हंसों के साथ वियोग होता है।
व्याधः जन्तून् प्रलोभयति।|The hunter tempts the animals.|शिकारी जानवरों को प्रलोभित करता है।
मूषकः अन्नम् अन्विषति।|The mouse searches for food.|चूहा अन्न ढूँढता है।
कारागारे नर्तनं भवति।|There is dancing in the prison.|जेल में नृत्य होता है।
तस्य नाम राकेशशर्मा अस्ति।|His name is Rakesh Sharma.|उसका नाम राकेश शर्मा है।
व्योमयात्री यात्रायै सज्जः अस्ति।|The space traveler is ready for the journey.|अंतरिक्ष यात्री यात्रा के लिए तैयार है।
सूर्यवंशे दिलीपः बभूव।|Dilip was from the solar dynasty.|दिलीप सूर्यवंश में हुए।
बालगणेशः कुबेरगृहं गच्छति।|Young Ganesh goes to Kubera's house.|बाल गणेश कुबेर के घर जाते हैं।
सर्पाः गरुडाद् बिभ्यति।|Snakes fear Garuda.|साँप गरुड़ से डरते हैं।
तेषां विद्यालये शिक्षकाः न आगच्छन्ति।|The teachers do not come to their school.|उनके विद्यालय में शिक्षक नहीं आते हैं।
तस्याः गृहे जलम् अपि नास्ति।|There is not even water in her house.|उसके घर में पानी भी नहीं है।
यस्मिन् जीवति जीवन्ति बहवः सः तु जीवति|The one by whose life many people live is called the one who lives|जिसके जीने से कई लोग जीते हैं, वह जीया कहलाता है
काकः अपि किं न कुरूते चञ्च्वा स्व-उदर-पूरणम्|doesn't even a crow fill its stomach with its beak?|क्या कौआ भी चोंच से अपनी पेट नहीं भरता?
सप्त-द्वीप-पतिः चित्तम्|The lord of the seven continents (protect) the heart.|सातों महाद्वीपों के स्वामी हृदय की (रक्षा) करें।
सप्त-व्याहृति-रूपवान् कटिं मे।|The embodiment of the mystical utterance of the names of the seven worlds (viz. Bhūḥ, Bhuvaḥ, Svaḥ, Mahaḥ, Janaḥ, Tapaḥ, satyam) (protect) my hip.|सात लोकों (अर्थात् भूः, भुवः, स्वः, महः, जनः, तपः, सत्यम्) के नामों के रहस्यमय उच्चारण का अवतार (रक्षा करें) मेरे कूल्हे।
सप्त-संस्था-अर्थ-दायकः सक्थिनी मम।|The grantor (of resources) for the seven seven sacrifices (protect) my thighs.|सात सात यज्ञों के लिए (संसाधनों के) दाता मेरी जाँघों की (रक्षा) करते हैं।
कराभ्यां परशुं चापं दधानं रेणुकात्मजम् जामदग्न्यं भजे रामं भार्गवं क्षत्रियान्तकम्।|I worship Lord Rāma, the son of Jamadagni, the progeny of Bhṛgu, the destroyer of the kṣatriyas, the son of Renuka who's holding an axe and a bow in both hands.|मै उस राम का भजन करता हूं जो जमदग्नि का पुत्र, भृगु का वंशज, क्षत्रिय के संहारक, रेणुका के पुत्र है और परशु और धनु का धारण दोनों हाथों से करता है।
स्त्रियां रोचमानायां तद् सर्वं कुलम् रोचते।|When a woman is happy, the whole family feels happy.|स्री के प्रसन्न रहने पर सारा परिवार प्रसन्न रहता है।
तस्याम् अरोचमानायां तु सर्वम् एव न रोचते।| Nothing feels good when she's unhappy.|उसके अप्रसन्न रहने पर कुछ भी अच्छा नहीं लगता।
विश्वजित् हस्ते खड्गं धरति।|Vishwajit holds a sword in hand.|विश्वजित् हाथ में तलवार धारण करता है।
लघ्वी कन्या नृत्यति।|The little girl dances.|छोटी बच्ची नाचती है।
प्रभाशङ्करस्य माता रोदिति।|The mother of Prabhāśaṅkara weeps.|प्रभाशङ्कर की माँ रोती है।
तस्याः प्रियतमः तस्याः गृहं परितः अटति।|Her beloved one wanders around her house.|उसका प्रियतम उसके घर के चारों ओर घूमता है।
कुबेरस्य सर्वं भोजम् एकदन्तः भुङ्क्ते।|The single-toothed one (Ganesha) eats all the food of Kubera.|कुबेर का सभी भोजन एकदंत खाते हैं।
तस्य तडागे जलं नास्ति।|There is no water in his pond.|उसके तालाब में पानी नहीं है।
मम विडालः रुग्णः जातः।|My tomcat has fallen ill.|मेरा बिल्ला रुग्ण हो गया है।
विहगौ उड्डयेते।|The two birds fly.|पंछी का जोड़ा उड़ता है।
तव प्रवृत्तिं जानामि।|I know about your nature.|मुझे तुम्हारी प्रवृत्ति पता है।
तस्य पिता धर्मं जानाति।|His father knows the Dharma.|उसके पिता धर्म को जानते हैं।
तैः एव नियतैः सुखी।|One can be happy only by keeping them under control.|उन्हें संयम में रखने से ही सुखी होता है।
प्रसृतैः इन्द्रियैः दुःखी।|Man becomes unhappy due to his senses being spread towards objects.|विषयों की ओर इन्द्रियों के फैले रहने से ही मनुष्य दुखी।
तस्मात् इन्द्रिय-रूपेभ्यः यच्छेत् आत्मानम् आत्मना।|Therefore, the mind should be controlled through intelligence.|अतः बुद्धि के द्वारा मन को नियंत्रित करना चाहिए।
ये आशायाः दासाः भूत्वा जीवन्ति ते सर्वस्य लोकस्य दासाः भवन्ति यदि आशां दासीरूपेण स्थापयन्ति चेत् सर्वः लोकः एव तेषां दासः भवति।|Those who are slaves of hope are the slaves of the whole world and those who have hope as their slaves, the whole world becomes their slaves.|जो आशा के दास हैं, वे संपूर्ण लोक के दास हैं तथा आशा जिनकी दासी है, संपूर्ण लोक उनका दास बन जाता है।
*श्रीरामायणकथा उत्तरकाण्डम्।*|*Sri Ramayana Kathaa Uttarkaanda.*|*श्री रामायण कथा उत्तरकाण्ड।*
(चतुर्दशः सर्गः)|(Sarga 14)|(सर्ग 14)
नारदस्य उपदेशात् यमेन सह रावणस्य युद्धम्।|Ravana's battle with Yama on the advice of Narada.|नारद की सलाह पर रावण का यम से युद्ध।
(द्वितीयः खण्डः)|(part 2)|(द्वितीय खण्ड)
एवं विचिन्त्य देवर्षिः नारदः यथावृत्तं ख्यातुं यमस्य सदनं प्रति अगच्छत्।|Thinking thus, the divine sage Narada went to the house of Yama to tell him what had happened.|ऐसा सोचते हुए, दिव्य ऋषि नारद यम के घर गए और उन्हें बताया कि क्या हुआ था।
तत्र गत्वा सः अग्निपुरस्कृतं प्राणिनः यस्य यादृशं विधानम् अनुतिष्ठन्तं यमम् अपश्यत्।|When he reached there he saw Yama following the rituals of the creatures rewarded by fire|जब वह वहां पहुंचा तो उसने यम को अग्नि द्वारा पुरस्कृत प्राणियों के अनुष्ठान का पालन करते देखा।
