Hindi|English|Sanskrit
राजत्व और बुद्धिमत्ता कभी भी एक ही श्रेणी के नहीं होते।|Kingship and Scholarship (are) never of the same class.|नृपत्वम् च विद्वत्त्वम् च तुल्यम् न एव कदाचन (सन्ति)।
राजा का सम्मान (केवल) उसके राज्य में होता है।|King is respected (only) in his kingdom|राजा स्व-देशे (एव) पूज्यते।
(किन्तु) विद्वान का सम्मान हर स्थान पर होता है।|(but) Scholar is honoured everywhere|विद्वान् (तु) सर्वत्र पूज्यते।
वह तैरती रहती है।|She keeps swimming.|सा तरन्ती भवति।
वह खड़ा रहता है।|He remains standing.|स: तिष्ठन् भवति।
मैं उसकी प्रतीक्षा करत रहा।|I kept waiting for him.|अहं तं प्रतीक्षमाण: अभवम्।
मैं घर की निगरानी करता रहा।|I kept monitoring the house.|अहं गृहम् अवेक्षमाण: अभवम्।
वे लोग देखते रहे।|They kept watching.|ते पश्यन्त: अभवन्।
वह सुनती रही।|She kept listening.|सा शृण्वन्ती अभवत्।
मैं सुनता जाता हूं।|I keep listening.|अहं शृण्वन् भवामि।
वह बोलता जाता है।|He continues speaking.|स: वदन् भवति।
वह बोलता गया।|He continued speaking.|स: वदन् अभवत्।
वह गाती रही।|She continued singing.|सा गायन्ती अभवन्।
वह गाती रहती है।|She keeps singing.|सा गायन्ती भवति।
वह हंसता रहा।|He kept laughing.|स: हसन् अभवत्।
वह हंसता रहता है।|He keeps laughing.|स: हसन् भवति।
