Sanskrit|English|Hindi
तमः परिवृतं वेश्म यथा दीपेन दीप्यते तथा बुद्धि-प्रदीपेन शक्यः आत्मा निरीक्षितुम्।|Just as a gloomy overcast house is illuminated by a lamp so also by the lamp of Knowledge (intelligence) the perception of the Aatma (Soul/Consciousness) is possible.|जिस प्रकार अंधेरे में घिरे घर को दीपक से प्रकाशित किया जाता है, उसी प्रकार ज्ञान के दीपक से आत्मा की अनुभूति संभव है।
अजित यज्ञभावन|O unconquerable enjoyer of all sacrifices|हे समस्त यज्ञों के अजेय भोक्ता!
ते जितं जितम्|all glories and all victories unto You!|सारी महिमाएँ और सारी विजयें तुम्हें!
त्रयीं तनुं स्वां परिधुन्वते नम:|salutations to You, who are moving in Your form of the personified Vedas|साक्षात वेदस्वरूप में विचरण करने वाले आपको नमस्कार है
यद्-रोमगर्तेषु निलिल्युः अद्धयः|In whose the hair holes of Your body the oceans are submerged|जिनके शरीर के रोमछिद्रों में समुद्र डूबे हुए हैं
तस्मै नम: कारणसूकराय ते|to him, who are you, for reasons, having now assumed the form of a boar.|नमन उनको जो आप हैं जो वराह अवतार किसी कारण हेतु धारण किया है
मनुष्येण माता पिता गुरुः च एते सर्वदा सर्वथा च तोषणीयाः।|A person should always keep his parents and teacher happy.|व्यक्ति को अपने माता-पिता तथा गुरु का सदैव प्सुख रखना चाहिए।
एतेषु तुष्टेषु सर्वाणि सत्कर्माणि सर्वाः तपस्याः च पूर्णाः भवेयुः।|When these three are happy, all the penances are completed.|इन तीनों के प्रसन्न होने पर सम्पूर्ण तपस्यायें पूर्ण हो जाती है।
हे धीमन् गर्वं मा कुरु।|O wise one, do not be proud.|हे बुद्धिमान, गर्व मत करो।
आवाम् अधुना मोदिष्यावः मित्र।|We two will rejoice together now, friend.|अब हम साथ में मजे करेंगे, मित्र।
मया श्वः प्रातः पर्णपत्तनं गन्तव्यम्।|I have to go to Parnapattanam tomorrow morning.|मुझे कल सुबह पर्णपत्तनम् जाना होगा।
धिक् कीदृशः जनाः सन्ति जगति।|Alas! What kind of people are there in this world.|धिक्कार है इस दुनिया में कैसे-कैसे लोग हैं।
सम्प्रति केचन पुरुषाः स्त्रीत्वं काङ्क्षन्ते।Some men currently desire to be women.|कुछ लोग अभी महिला बनना चाहते हैं।
रुष्टा स्त्री सर्वं नाशयति।|An angry woman destroys everything.|एक क्रोधित स्त्री सब कुछ नष्ट कर देती है।
बहूनि वञ्चनानि लोके अस्मिन् प्रवर्तन्ते।|Many deceptions occur in this world.|इस दुनिया में बहुत सारे धोखे होते हैं।
शिशुः प्रथमवारं व्योममार्गेण प्रयाति।|The baby is traveling through the airway for the first time.|शिशु पहली बार हवाई मार्ग से यात्रा कर रहा है।
पितामही मां स्वपन्तं दृष्ट्वा तर्जयति।|The Grandmother scolds me after seeing me sleeping.|दादी मुझे सोते हुए देखकर डाँटती है।
अहं पितामहीं स्वपन्तीं विलोक्य प्रकाशं शाम्यामि।|I turn off the lights after seeing the grandmother sleeping.|मैं दादी को सोती हुई देखकर बत्ती बुझा देता हूँ।
