Sanskrit|English|Hindi
ब्रह्मचारी बहूनि पुस्तकानि अधीते।|The celibate student reads many books.|ब्रह्मचारी बहुत से पुस्तकें पढ़ता है।
तेषां मार्गे माऽगमः।|Don't get into their way.|उनके मार्ग में मत जा।
हस्ती मत्तः अभवत्।|The elephant became intoxicated.|हाथी मतवाला हो गया।
व्याघ्राः मांसम् अन्विषन्ति।|Tigers seek meat.|बाघ मांस ढूँढते हैं।
घटिका समयं सूचयति।|The clock indicates the time.|घड़ी समय की सूचना करती है।
विष्णुः सर्वं सदा पश्यति।|Vishnu always sees everything.|विष्णुजी हमेशा सब कुछ देखते हैं।
देही देहस्य ईश्वरः कथ्यते।|The embodied soul is called the Lord of the body.|शरीरी शरीर का ईश्वर कहलाता है।
श्रेष्ठी शीतकाले कम्बलदानं करोति।|The merchant donates blankets in the winter.|सेठ जी सर्दी में कंबल दान करते हैं।
कपोती अण्डं सूते।|The dove lays an egg.|कबूतरी अंडा देती है।
मम नाम विष्णुदासः अस्ति।|My name is Vishnudasa.|मेरा नाम विष्णुदास है।
इदं शरीरं कायरूपिणी नौका।This body is a boat in the form of a body.|यह शरीर काय-रूपी नाव है।
मानवशरीरं बहुषु जन्मसु अर्जितेन महता पुण्येन लभ्यते।|The human body has been obtained by spending a huge punyam (acquired through many lifetimes).|मानवशरीर बहुत जन्मों में अर्जित महान पुण्य के द्वारा मिलता है।
दुःखसागरं तर्तुं लब्धा।To cross the ocean of sadness.|दुःख के सागर तो पार करने के लिया मिला।
यावत् नौका न भिद्यते तावत् पारं गन्तव्यमिति अभिप्रायः श्लोकस्यास्य।|"Keep trying to cross the river till the boat does not wear-tear away", is the essence of the shloka.|"नदी पार करने की कोशिश तब तक करते रहो जब तक नाव घिस न जाए", श्लोक का सार है।
भुक्त्वा शतपथं गच्छेद् यदि इच्छेत् चिर-जीवितम्।|Never sit idle after taking Food.|भोजन के बाद सौ पद चलो यदि दीर्घ आयु चाहते हो।
क्षुत्साधुतां जनयति।|Hunger increases the taste of food.|भूख स्वाद बढ़ाती है।
चिन्ता जरा नाम मनुष्याणाम्।|Worry indeed ages man.|चिन्ता हि मनुष्यों का आयु बढ़ाती है।
शतं विहाय भोक्तव्यं, सहस्रं स्नानमाचरेत्।|When it is time for food, keep even 100 jobs aside. When it is time for a bath, keep even a 1000 jobs aside.|सौ कार्यों को छोड़कर भोजन करना चाहिए,हजारों कामों को छोड़कर स्नान करना चाहिए।
सर्वधर्मेषु मध्यमाम्।|Choose always the middle path.|सभी धर्मों में मध्य वाला चुनो।
अजीर्णे भोजनं विषम्।|During indigestion, food is poison.|अपच के समय भोजन विष के समान होता है।
अर्धरोगहरी निद्रा।|Proper sleep cures half of the diseases.|रोगों के आधा भाग का हल है निद्रा।
भग्नास्थि-सन्धानकरः लशुनः।|Garlic even joins broken Bones.|लहसुन टूटी हड्डियां भी जोड़ देता है।
अति सर्वत्र वर्जयेत्।|Excess should be avoided everywhere.|हर जगह अति से बचना चाहिए।
नास्ति मूलम् अनौषधम्।|There is no root (of a plant) that is not medicine.|किसी भी पौधे की जड़ ऐसी नहीं है कि जो दवा ना हो।
न वैद्यः प्रभुः आयुषः।|The doctor is not the lord of life.|डॉक्टर जीवन का स्वामी नहीं है।
चिन्ता व्याधि–प्रकाशाय।|Worrying brings out potential (latent) illness.|चिंता करने से संभावित (अव्यक्त) बीमारी सामने आती है।
व्यायामः च शनैः शनैः।|Do any Exercise slowly.|कोई भी व्यायाम धीरे-धीरे करें।
अजवत् चर्वणं कुर्यात्।|Chewing should be done like a goat.|बकरी की तरह चबाना चाहिए।
जठरं पूरायेत् अर्धम् अन्नैर् भागं जलेन च वायोः सञ्चरणार्थाय चतुर्थमवशेषयेत्।|Fill your stomach half with solid food, one quarter with water and leave one quarter empty.|अपने पेट को आधा ठोस भोजन से भरें, एक चौथाई जल से और एक चौथाई रिक्त छोड़ दें।
नित्यं सर्वाः रसाः भक्ष्याः।|Take the food that has all six tastes.|ऐसा भोजन करें जिसमें सभी छह स्वाद हों।
सर्वत्र नूतनं शस्तं, सेवक-अन्ने पुरातने।|Always prefer things that are Fresh but Rice and Servant are good only when they are old.|हमेशा ताजी चीजों को प्राथमिकता दें लेकिन चावल और सेवक तभी अच्छे होते हैं जब वे पुराने हों।
अजीर्णे भेषजं वारि।|When there is  indigestion taking plain water serves like medicine.|बदहजमी होने पर सादा पानी का सेवन औषधि की तरह काम करता है।
नास्ति मेघसमं तोयम्।|No water like rainwater.|वर्षा के जल के समान कोई जल नहीं।
न स्नानम् आचरेत् भुक्त्वा।|Never take Bath immediately after taking Food.|खाना खाने के तुरंत बाद कभी स्नान न करें।
स्नानं नाम मनःप्रसाद-जननं दुःस्वप्न-विध्वंसनम्।|Bath generates peace of mind destroys nightmares.|स्नान से मानसिक शांति मिलती है, बुरे सपने नष्ट होते हैं।
पाणिनि-सूत्र-विनिर्मिति-कारण-पाणि-लसत्-डमरु-उत्थ-रवम्।|The emerging sound of the damru in the embracing hand is there which is the reason of the formulations of the sutras of Maharshi Panini.|आलिंगनबद्ध हाथ में डमरू की उभरती हुई ध्वनि ही महर्षि पाणिनि के सूत्रों के सूत्रीकरण का कारण है।
माधव-नादित-मर्दल-निर्गत-नाद-लय-उद्धृत-वामपदम्।|The left leg is raised due to the rhythmic echo coming from the mardala instrument which is echoed by Madhava.| मर्दला वाद्ययंत्र से आने वाली उस लयबद्ध, माधव द्वारा प्रतिध्वनित, प्रतिध्वनि के कारण बायां पैर उठा हुआ है।
