Sanskrit|English|Hindi
कन्यायाः विवाहः सम्मानीय-कुटुम्बे भवेत्, पुत्रस्य उत्तमशिक्षां भवेत्।|The daughter should be married into a respectable family and the son should have a good education.|पुत्री का विवाह प्रतिष्ठित कुल में करना चाहिये, पुत्र को अच्छी शिक्षा देनी चाहिए।
शत्रुः सर्वदा विक्षुब्धः भवेत् तथा च मित्रं धार्मिक-कार्येषु नियुक्तः भवेत्।|The enemy should always be disturbed and the friend should be engaged in religious activities.|शत्रु को सदैव परेशान रखना चाहिए और मित्र को धर्म कार्यों में नियोजित करना चाहिए।
पञ्चवादने कुक्कुटाः कूजन्ति।|The roosters crow at 5'o Clock.|मुर्गे पाँच बजे बाँग देते हैं।
बिडालः दुग्धं चोरयते।|The tomcat steals the milk.|बिल्ला दूध चुराता है।
मम मतिः दुष्टा अस्ति।|My thinking is wicked.|मेरी मति दुष्ट है।
तेषां जन्म सफलं गतम्।|Their birth has been successful.|उनका जन्म सफल गया।
महान् पण्डितः एषः दामोदरः अस्ति।|This great scholar is Damodara.|यह महान् विद्वान् दामोदर है।
अहं भवते धनं दातुं न इच्छामि।|I do not wish to give you money.|मैं आपको धन देना नहीं चाहता।
किमर्थं मां दुष्यसि।|Why do you insult me?|तुम मुझे क्यों दूषते हो?
सा कन्या पाककुशला अस्ति।|That girl is skilled in cooking.|वह कन्या खाना पकाने में कुशल है।
प्रधानमन्त्री अद्य वदतु।|The Prime Minister should speak today.|प्रधानमंत्री आज बोलें।
बालैः उक्तं कथम् एतत्।|The children said How So.|बच्चों ने कहा ऐसा कैसे।
कस्यापि जनस्य स्थिति सदा सुखमयी सदा वा दुःखमयी न भवति।|No one's situation is always happy or always sad.|किसी की भी स्थिति हमेशा सुखमय या हमेशा दुःखमय नहीं होती है।
सुखदुःखयोः वर्तनं चक्रसदृशं भवति कदाचित् उपरि कदाचित् अधः।|The state of happiness and sorrow always keeps moving upwards and downwards like a wheel.|सुख-दुःख की दशा पहिये के समान ऊपर और नीचे की ओर हमेशा ढलती रहती है।
विश्वावसुमहाराजस्य तनया मदालसा सर्वविद्यासम्पन्ना कन्या आसीत्।|Madalasa, the daughter of King Vishvaavasu, was a daughter endowed with all learning.|राजा विश्वावसु की पुत्री मदालसा सर्वविद्या से सम्पन्न पुत्री थी।
संसारपाशैः आत्मानं बद्धुम् नेच्छन्ती स्वतन्त्रतया ज्ञानविज्ञानानुसन्धानं कर्तुमभिलषति स्म।|Not wanting to bind herself to the ropes of the material world, she wished to pursue knowledge and science freely.|वह खुद को संसार की रस्सियों से बांधना नहीं चाहती थी, वह ज्ञान और विज्ञान को स्वतंत्र रूप से हासिल करना चाहती थी।
ब्रह्मवादिन्या भवितव्यमिति तस्याः तीव्रतरेच्छा अवर्तत।
पत्युः इच्छानुसारं पत्नी व्यवहरेदिति विचारः नैव साधुः गृहस्थाश्रमप्रयोगशालायां गृहिण्ये सम्पूर्णं स्वातन्त्र भवेदिति च तस्याः प्रतिपादनमासीत्।|She argued that the idea that a wife should act according to her husband's wishes was not good and that a housewife should be completely independent in the laboratory of the household and asrama.|उन्होंने तर्क दिया कि यह विचार अच्छा नहीं है कि एक पत्नी को अपने पति की इच्छा के अनुसार कार्य करना चाहिए और एक गृहिणी को घरेलू प्रयोगशाला में पूरी तरह से स्वतंत्र होना चाहिए।
सुदैवात् महाराजस्य शत्रुजितः पुत्रः ऋतध्वजः तस्याः आशयम् अङ्गिकृत्य स्वस्य गृहस्थजीवनसालाः हस्ते समर्पुयितुं सज्जोऽभवत्।|Fortunately the Maharaja shatrujit's son Ritadhvaja accepted her intention and was ready to hand over the salaries of his household life.|सौभाग्य से महाराजा के पुत्र ऋतध्वज शत्रुजित् ने उनकी मंशा स्वीकार कर ली और अपने गृहस्थ जीवन का वेतन उन्हें सौंपने को तैयार हो गये।
मदालसा तस्य प्रस्तावं स्वीकृत्य भाविसन्ततिं तस्याः इच्छानुसारं वर्धयितुं अङ्गीकारम् अवाप्नोत्।|Madalsa accepted his proposal and got permission to raise children as per her wish in future.|मदालसा ने उनके प्रस्ताव को स्वीकार कर लिया और भविष्य में बच्चों को अपनी इच्छा के अनुसार पालने की स्वीकृति पायी।
कालक्रमेण तयोः मधुरदाम्पत्ये त्रयः पुत्राः जनिमलभन्त।|In time three sons were born to their sweet marriage|समय के साथ उनके मधुर विवाह से तीन पुत्र पैदा हुए
ऋतध्वजः तेभ्यः विक्रान्तः सुबाहुः शत्रुमर्दनः च इति क्षत्रियोचितनामानि प्राददात्।|Ritadhvaja gave them the names appropriate to a Kshatriya, Vikranta, Subahu and Shatrumardana.|ऋतध्वज ने उन्हें क्षत्रिय के लिए उपयुक्त नाम विक्रांत सुबाहु और शत्रुमर्दन दिए।
