Hindi|English|Sanskrit
मूर्खों के लिये मौन रहना ही सबसे बेहतर है।|It is better for fools to remain quiet.|विभूषणम् मौनम् अपण्डितानाम्।
जो तप मूढ़तापूर्वक स्वयं को पीड़ित करते हुए अथवा अन्य लोगों के नाश के लिए किया जाता है, वह तप तामस कहा गया है।|That austerity which is practised from deluded notions by means of self-torture or in order to injure another is said to be Tamasika.|मूढग्राहेण अविवेकनिश्चयेन आत्मनः पीडया यत् क्रियते तपः परस्य उत्सादनार्थं विनाशार्थं वा तत् तामसं तपः उदाहृतम्।
दांतों में कीड़ा लग जाने पर रात्रि को दांत में हींग दबाकर सोएं।|If there is a worm in the teeth, then sleep by pressing asafoetida in the teeth at night.|दन्तेषु दन्तकृमि: भवेत् तर्हि रात्रौ दन्तयो: मध्ये रामठं निष्पीड्य शयनं कुर्यात्।
कीड़े खुद-ब-खुद निकल जाएंगे।|The worms will go away on their own.|दन्तकृमि: स्वयमेव निस्सृतो भविष्यति।
यदि शरीर के किसी हिस्से में कांटा चुभ गया हो तो उस स्थान पर हींग का घोल भर दें।|If a thorn has pricked any part of the body, fill that area with asafoetida solution.|यदि कण्टकेन शरीरस्य कश्चन भागो निष्तुन्न: स्यात् तर्हि तत् क्षेत्रं रमठविलयनेन पूर्यात्। 
कुछ समय में कांटा स्वतः निकल आएगा।|The thorn will come out automatically after some time.|कण्टकः किञ्चित्कालानन्तरं स्वयमेव बहिरागमिष्यति।
हींग में रोग-प्रतिरोधक क्षमता होती है।|Asafoetida has anti-disease ability.|हिङ्गौ रोगप्रतिरोधकक्षमता भवति।
दाद, खाज, खुजली व अन्य चर्म रोगों में इसको पानी में घिसकर उन स्थानों पर लगाने से लाभ होता है।|In case of ringworm, scabies, itching and other skin diseases, rubbing it in water and applying it on those places is beneficial.|दद्रू-कण्ड्वादि-त्वक्-रोगेषु जले घर्षित्वा तेषु स्थानेषु लेपनं हितकरं भवति।
हिंग का लेप बवासीर,तिल्ली और उदरशोथ में लाभप्रद है।|Asafoetida paste is beneficial in piles, spleen and abdominal swelling.|रमठलेपनम् अर्श-गुल्म-उदरशोथादिषु रोगेषु लाभकरं भवति।
कब्जियत की शिकायत होने पर हींग के चूर्ण में थोड़ा सा मीठा सोड़ा मिलाकर रात्रि को फांक लें, सबेरे शौच साफ होगा।|In case of constipation, mix a little sweet soda in asafoetida powder and swallow it at night, the stool will be clear in the morning.|मलबन्धत्वस्य/कोष्ठबद्धताया: आक्षेपे जाते रमठचूर्णेन सह किञ्चित्मधुरसूर्यक्षारस्य मिश्रणं कृत्वा रात्रौ सेवनं कुर्यात्। प्रात: शौचं सुकरं भविता।
पेट के दर्द, अफारे, ऐंठन आदि में अजवाइन और नमक के साथ हींग का सेवन करें तो लाभ होगा।|In case of stomach pain, indigestion, cramps etc., consuming asafoetida with celery and salt will be beneficial.|यदि उदरवेदना, आध्मानम्, उदरमोटनम् इत्यादय: रोगा: भवेयु: तर्हि यवान्या लवणेन च सह हिङ्गुसेवनं लाभकरं भवेत्।
पेट में कीड़े हो जाने पर हींग को पानी में घोलकर एनीमा लेने से पेट के कीड़े शीघ्र निकल आते हैं।|In case of stomach worms, dissolving asafoetida in water and taking enema helps in removing the stomach worms quickly.|यदि उदरे कृमय: भवेयु: तर्हि रमठं जले निमज्ज्य वस्त्यौषधसेवनेन उदरकृमिणां शीघ्रं निष्कासनं भवति।
जख्म यदि कुछ समय तक खुला रहे तो उसमें छोटे-छोटे रोगाणु पनप जाते हैं। जख्म पर हींग का चूर्ण डालने से रोगाणु नष्ट हो जाते हैं।|If the wound remains open for some time, small germs grow in it. Germs are destroyed by applying asafoetida powder on the wound.|व्रणोपचारः यदि शीघ्रं न क्रियेत तर्हि तस्मिन् लघवः रोगाणवः जायन्ते। व्रणे हिङ्गुचूर्णनिक्षेपणेन रोगाणवः नश्यन्ति।
प्रतिदिन के भोजन में दाल, कढ़ी व कुछ सब्जियों में हींग का उपयोग करने से भोजन को पचाने में सहायक होती है।|Using asafoetida in dal, curry and some vegetables in daily food helps in digestion.|सूपे, तेमने, केषुचित् शाकेषु च नित्यभोजने हिङ्गो: उपयोगः पाचनक्रियायां सहायको भवति।
