Sanskrit|English|Hindi
अहं प्रतिदिनं कार्यालयं गच्छामि।|I go to the office every day.|मैं प्रतिदिन कार्यालय जाता हूँ।
मम पत्यै अहं न रोचे।|I do not please my husband.|मैं मेरे पति को नहीं सुहाती हूँ।
सन्न्यासी द्वारे द्वारे भिक्षते।|The renouncer begs from door to door.|संन्यासी द्वार-द्वार भिख माँगता है।
स ब्राह्मणः मिताहारी अस्ति।|That Brahmin is a modest eater.|वे ब्राह्मण कम आहार लेनेवाले हैं।
तस्य स्वसा स्वपतिगृहं जिगमिषति।|His sister wishes to go to her husband's house.|उसकी बहन अपने पति के घर जाना चाहती है।
लेखकस्य नाम देवपाणिः अस्ति।|The author's name is Devapani.|लेखक का नाम देवपाणि है।
नार्या गृहं शोभते।The woman beautifies the home.|नारी से घर शोभती है।
पुत्रः पितृचरणं सेवते।|The son serves his father's feet.|बेटा अपने पिता के पाँव की सेवा करता है।
तस्य पितरौ तं शास्त्राणि न पाठयतः।|His parents do not teach him scriptures.|उसके माता-पिता उसे शास्त्र नहीं पढ़ाते।
तौ हि स्वपुत्रस्य शत्रू स्तः।|They both are the enemies of their own son.|वे दोनों ही अपने पुत्र के शत्रु हैं।
पुरुषैः सदा गुणेषु एव हि प्रयत्नः कर्तव्यः।|Human beings should strive only for attainment of virtues|मनुष्यों को गुणप्राप्ति के लिए ही प्रयत्न करना चाहिए
गुणयुक्तः दरिद्रः अपि अगुणैः ईश्वरैः समः न भवति।|even a virtuous person without wealth is not equal to a wealthy person without virtue. (That is, he is far superior to him.)|धनहीन गुणी भी गुणहीन ऐश्वर्यशाली व्यक्तियों के बराबर नहीं होता।(अर्थात् वह उससे कहीं अधिक श्रेष्ठ होता है।)
भजे मयूराधिरूढं महावाक्यगूढं मनोहारिदेहं महत्-चित्तगेहम् महीदेवदेवं महावेदभावं महादेवबालं लोकपालम्।|I salute the Lord (Kartikeya), who is astride a peacock, and who is the sacred mystic saying, whose body is very attractive, and who is the repository of great intellect, who is the lord of brahmanas, the essence of the great vedas, the son of Mahadeva, and the Lokpala.|मैं भगवान (कार्तिकेय) को नमस्कार करता हूं, जो मोर पर सवार हैं, और जो पवित्र पवित्र रहस्यवादी हैं, जिनका शरीर बहुत आकर्षक है, और जो महान बुद्धि के भंडार हैं, जो ब्राह्मणों के स्वामी हैं, जो महान वेदों के सार हैं , महादेव के पुत्र और लोकपाल।
गोपिकाः नृत्यन्ति।|The milkmaids dance.|गोपिकाएँ नाचती हैं।
तव वस्त्रं मलिनम् अस्ति।|Your clothes are dirty.|तुम्हारा कपड़ा गंदा है।
गजः नद्यां स्नाति।|The elephant bathes in the river.|हाथी नदी में स्नान करता है।
शिखण्डी रथं नयति।|Shikhandi drives the chariot.|शिखण्डी रथ चलाता है।
लक्ष्मणः इन्द्रजितं जघान।|Lakshmana had struck Indrajit.|लक्ष्मण ने इन्द्रजित को मारा था।
मण्डूकः सोपाने कूर्दते।|The frog jumps on the stairs.|मेंढ़क सीढ़ियों पर कूदता है।
सा दुष्टे शिलां क्षिपति।|She throws a stone at the wicked.|वह दुष्ट पर पत्थर फेकती है।
मम मित्रं वदति यत् सा माम् एव ईक्षते।|My friend says that she's staring me.|मेरा मित्र कहता है कि वह मुझे ही निहारती है।
किमर्थं नृत्यसि।|Why are you dancing?|तुम क्यों नाच रहे हो?
भीमस्य भुजौ एव शस्त्रे स्तः।|Bhima's weapons are the arms.|भीम की भुजाऐं ही शस्त्र हैं।
