Sanskrit|English|Hindi
जनैः साकं संवादः कृतः।|A conversation was made with the people.|लोगों के साथ संवाद किया गया।  
तद्देशे भारतीयदूतावासे कार्यक्रमः अभूत्।|In that country, an event happened (was held) at the Indian embassy.|उस देश में भारतीय दूतावास में एक कार्यक्रम हुआ।  
अन्या कापि वक्तुमिच्छति किम्।|Does anyone else (any other lady) wish to speak?|क्या कोई और कुछ कहना चाहती है।  
अवगतः किल विषयः।|Matter understood, isn’t it?|विषय समझ मे आ गया ना । 
समापयामः सत्रमधुना।|Let us conclude the session now.|अब हम सत्र को समाप्त करें।  
भोजनं तु सम्यगेवात्र।|The food here is quite good.|यहाँ का भोजन बहुत अच्छा है।
चिकित्सालयपरिसरे द्वे मन्दिरे स्तः।|There are two temples in the hospital premises.|चिकित्सालय परिसर में दो मंदिर हैं।  
भित्तिषु दीपान् स्थापयन्ति जनाः।|People are placing lamps on the walls.|लोग भित्ति पर दीपक रख रहे हैं।  
प्रयागराजे स्थानान्तरितौ तौ।|Those two were transfered to Prayagraj.|उन्हें प्रयागराज स्थानांतरित किया गया।
सः गुरुकुले अपठत्।|He studied at the gurukul.|उसने गुरुकुल में पढ़ाई की।
पुष्यनक्षत्रस्य वृक्षः वर्तते अश्वत्थः।|The tree of the Pushya nakshatra is the pipal.|पुष्य नक्षत्र का वृक्ष पीपल है।
वाहनम् एकस्थात् अन्यस्थानं नयति।|The vehicle takes(transports) from one place to another.|वाहन एक स्थान से दूसरे स्थान ले जाता है।
राष्ट्रीयवृक्षस्य नाम जानासि नु।|You know the name of the national tree, don’t you?|तुम राष्ट्रीय वृक्ष का नाम जानते हो ना।
अहर्निशं स्वमनः उत्तमविचारैः पूरणीयम्।|One should always fill one’s mind with the best thoughts.| अहर्निश अपने मन को उत्तम विचारों से पूर्ण रखना चाहिए।
गृहात् बहिः शैत्यप्रभावः अधिकः स्यात्।|The effect of winter/cold could be more outside the house.|घर के बाहर ठंड का प्रभाव अधिक हो सकता है।
ते तूर्यान् वादयन्ते।|They play trumpets.|वे तूर्य वाद्य बजाते हैं।
लघौ सर्पेऽपि महत् विषं भवति।|Even in small snakes, considerable venom exists.|छोटे सांप में भी विष अधिक होता है।
