Sanskrit|English|Hindi
सत्येन एव ईश्वरः धनं धान्यादिकं वा प्राप्यते।|Only by truth can god and riches be obtained.|सत्य से ही ईश्वर और धन-धान्य की प्राप्ति होती है।
सर्वेषां सुखानां मूलमपि सत्ये एव।|Truth is the basis of all happiness.|सत्य ही सभी सुखों का मूल है।
सत्यात् श्रेष्ठरं वस्तु नास्ति किमपि यत् अवलम्बनीयं स्यात्।|There is nothing greater than truth to depend on.|सत्य से बढ़कर और कोई वस्तु नहीं है जिसका आश्रय लिया जाए।
पलितकेशान् दृष्ट्वा न कश्चित् वृद्धः इति उच्यते अपितु देवाः तु युवानं किन्तु ज्ञानवन्तमेव वृद्धम् अभिजानन्ति।|A person cannot be called old just because the hair on his head has turned grey, but the gods call only that person old who, despite being young, is knowledgeable.|सिर के बाल सफेद हो जाने से ही कोई मनुष्य वृद्ध नहीं कहा जा सकता किन्तु देवगण उसी को वृद्ध कहते हैं, जो तरुण होने पर भी ज्ञानवान् हो।
महाजनस्य संसर्गः कस्य न उन्नति-कारकः।|To Whom does contact with great men not lead to progress?|महाजन का संसर्ग किसका उन्नति का कारण नहीं बनता?पद्म-पत्र-स्थितं तोयं धत्ते मुक्ता-फल-श्रियम्।|The water which the lotus leaf touches attains pearl-like glow.|जिस पानी को पद्म-पत्र छूती है, उसका श्रेय मोती की भाँती हो जाती है।
सत्येन उत्पद्यते धर्मः दयादानेन वर्धते।|Righteousness arises from truth and grows by mercy.|धार्मिकता सत्य से उत्पन्न होती है और दया से बढ़ती है।
क्षमायां स्थाप्यते धर्मः क्रोध-लाभात् विनश्यति।|Righteousness is established in forgiveness and is destroyed by the gain of anger.|धर्म क्षमा में स्थापित होता है और क्रोध से नष्ट हो जाता है।
अलं परिहासेन।|Enough joking.|बहुत हुआ मजाक।
सः तपस्वी किं वदिष्यति।|What will that poor guy say?|वह बेचारा क्या बोलेगा।
अयं लक्ष्यसुप्तो वा परमार्थसुप्तः।|He is pretending to sleep or is really asleep.|यह सोने का नाटक कर रहा है या सचमुच में सोया है।
पक्वेष्टकं गृहम्।|House made with fire-kilned bricks.|आग भट्टी की ईंटों से बना घर।
रजसावृतः सूर्यः नभसि अन्तर्दधे।|The sun hid in the sky covered by dust.|धूल से ढँका सूर्य नभ में छिप गये।
सहस्राधिकान् अश्वमेधयागान् तथा सत्यं यदि तुलायां स्थापयामः चेदपि सत्येनैव अधिकभारयुतेन भूयते।|If a thousand ashvamedha yagnas and truth are to be compared then truth comes out on top.|सहस्र अश्वमेध और सत्य की तुलना की जाए तो सत्य ही अधिक होगा।
एतद्वाक्यकथनेन कथं भूतकालः ज्ञायते।|How can past be known by saying such sentence?|इस वाक्य के कहने से भूतकाल कैसे ज्ञात होता है। 
उपसर्गार्थचन्द्रिका इति ग्रन्थः पठितः किम्।|Has the book Upasargarthachandrika been read?|उपसर्गार्थचन्द्रिका नामक ग्रन्थ पढ़ा क्या। 
त्वया वृत्तिः कदा त्यक्ता।|When was the job given up by you?|तुम्हारे द्वारा वृत्ति कब छोड़ी गई। 
प्रधानमन्त्री मद्गृहम् आगच्छेत्।|The Prime Minister should come to my house.|प्रधानमंत्री को मेरे घर आना चाहिए।
अवनौ नैके देवाः पूज्यन्ते।|Many deities are worshipped on earth.|धरती पर कई देवताओं की पूजा की जाती है।
निर्वाचनपरिणामः कदा उद्घोषिष्यते।|When will the election result be announced?|चुनाव परिणाम कब घोषित किए जाएंगे।
इन्द्रवज्राछन्दः अस्ति अत्र।|There is Indravajra meter here.|यहाँ इन्द्रवज्रा छंद है।
गन्धवन्ति पुष्पाणि एव आनेष्यामि।|I will bring fragrant flowers only.|मैं सुगंधित फूल ही लाऊँगा।
शाद्वलानि स्थानानि बहूनि सन्ति।|There are many lush green places.|हरियाली वाले कई स्थान हैं।
तरुसञ्छन्नं गृहमस्ति मे।|My house is surrounded by trees.|मेरा घर पेड़ों से घिरा हुआ है।
