Hindi|English|Sanskrit
विषय-वासना के कारण चित्त की विषमता ही विष है।|The abnormality of the mind due to sensual incliantions is poison.|विषम् विषय-वैषम्यम्।
विष को विष नहीं कहलाता है।|Poison is not called poison|न विषं विषम् उच्यते।
क्योंकि विष तो एक जन्म का ही विनाश करता है।Poison destroys one life.|एकजन्महरं विषम्।
विषय वासना तो जन्म-जन्मांतर को नष्ट कर देते है।|Sensual inclinations causes destuction birth after birth.|विषया जन्मान्तरघ्ना।
रूप और यौवन से सम्पन्न तथा ऊंचे कुल में जन्म लेने पर भी विद्याहीन मनुष्य ऐसे ही सुशोभित नहीं होता जैसे ढाक के गन्धरहित फूल।|Those who are uneducated do not shine even if they are endowed with beauty and youth and are born in renowned families just like odourless 'Kimshuka' flowers.|रूप-यौवन-संपन्नाः विशाल-कुल-संभवाः किन्तु विद्याहीनाः निर्गन्धाः किंशुकाः इव न शोभन्ते।
वह चल-फिर नहीं सकता।|He is too old to move.|स भृशं जीर्णावस्थायाम् अस्ति।
वह चल-फिर नहीं सकता।|He can not move.|स चलितुं न शक्नोति।
वह चल-फिर नहीं सकता।|He is too ill to move.|स भृशं रुग्णावस्थायाम् अस्ति।
मेरी घड़ी ठीक चलती है।|My watch works fine.|मम घटिका सम्यक् समयं बोधयति।
मेरी घड़ी पांच मिनट रोज सुस्त चलती है।|My clock runs 5 minutes slower every day.|मम घटिका प्रतिदिनं पञ्चनिमेषं मन्दं चलति।
मेरी घड़ी पांच मिनट रोज तेज चलती है।|My clock runs a minute faster every day.|मम घटिका प्रतिदिनं पञ्चनिमेषं प्रवेगेन सरति।
मेरी घड़ी पांच मिनट रोज तेज चलती है।|My clock runs a minute faster every day.|मम घटिका प्रत्यहं निमेषपञ्चम् अग्रे सरति।
ट्रेन ठीक समय पर चल रही है।|The train is on time.|इदानीं रेलयानं सम्यक्समये चलति।
ट्रेन ठीक समय पर चल रही है।|The train is on time.|इदानीं रेलयानं सम्यक् समयानुरूपं चलति।
ट्रेन ठीक समय पर चल रही है।|The train is on time.|अथवा इदानीं रेलयानं सम्यक् समयानुसारेण चलति।
मैंने एक मीठा सपना देखा।|I saw a sweet dream.|अहम् एकं सुस्वप्नं दृष्ट्वान्।
मुझे मीठी नींद आई।|I had sweet sleep.|मयि मधुरा निद्रा आगता।
उसे मीठा दर्द हो रहा है।|He is having sweet pain.|तस्य मृद्वी पीडा वर्तते/अस्ति।
उसे मीठा दर्द हो रहा है।|He is having sweet pain.|तेन मृद्वी पीडा अनुभूयते।
उसके ओठों पर मीठी मुस्कान है।|There is a sweet smile on his/her lips.|तस्य/तस्या: ओष्ठयो: मधुरं स्मितम् अस्ति।
उसकी मीठी जुबान सबको जीत लेती है।|His/her sweet tongue wins everyone over.|तस्य/तस्या: मधुरावाणी सर्वान् प्रसन्नं करोति।
वे मीठी बातें अभी भी ताजी है।|Those sweet words are still fresh.|ताः मधुरवार्ताः अधुनापि नूतनाः सन्ति।
वे मीठी बातें अभी भी ताजी है।|Those sweet words are still fresh.|तानि मधुराणि वचनानि/वचांसि अद्यापि स्मृतानि/नूतनानि सन्ति।
उसकी मीठी बातें सबको अच्छी लगती है।|Every likes his sweet talking.|सर्वेभ्य: तस्य मधुरवाणी रोचते।
