Sanskrit|English|Hindi
पवित्रा पाप-हन्त्री च काम-दा मोक्ष-दा नॄणाम्।|This eleventh day of the fortnight is holy and destroyer of sins, bestows desires and liberation to men.|कृष्ण पक्ष का यह ग्यारहवाँ दिन पवित्र और पापों का नाश करने वाला, मनुष्यों को कामना और मुक्ति प्रदान करने वाला है।
ब्रह्म-हत्यापहन्त्री च पिशाचत्व-विनाशिनी।|She destroys the sins of killing a brahmin and destroys the nature of pisacha.|वह ब्राह्मण हत्या के पाप को नष्ट कर देती है और पिशाच के स्वभाव को नष्ट कर देती है।
मम पिता वार्तापत्रं पठति।|My father reads the newspaper.|मेरे पिताजी समाचारपत्र पढ़ते हैं।
माता शाकान् कृन्तति।|Mother chops the vegetables.|माँ सब्जियाँ काटती हैं।
वाहनानि चलन्ति।|Vehicles are running.|वाहन चल रहे हैं।
शाकविक्रेता शाके जलं सिञ्चति।|The vegetable vendor waters the vegetables.|सब्जीवाले सब्जियों पर पानी छिड़कते है।
अहं श्रीमद्भगवद्गीतां अधीये।|I study the Shrimad Bhagavad Gita.|मैं श्रीमद्भगवद्गीता पढ़ता हूँ।
गुरुः शिष्ये पुत्रवत् स्निह्यति।|The teacher loves the student like a son.|गुरु छात्र को पुत्र की तरह प्यार करता है।
कर्णः परशुरामं मिथ्याम् उवाच।|Karna spoke a lie to Parashurama.|कर्ण ने परशुराम से झूठ बोला।
सूर्यः तपति।|The sun shines.|सूर्य तपता है।
वृक्षाः फलन्ति।|Trees bear fruit.|पेड़ फलते हैं।
निर्मला नदी वहति।|The clean river flows.|निर्मल नदी बहती है।
पुरुषं केयूराः न चन्द्रोज्ज्वलाः हारा: न स्नानं न विलेपनं न कुसुमं न अलङ्कृताः मूर्धजाः च विभूषयन्ति।|A man is not adorned by armlets, moon-shine necklaces, baths, ointments, flowers, ornaments and hair.|कोई पुरुष बाजूबंद, चंद्रहार, स्नान, लेप, फूल और अलंकृत बालों से सुशोभित नहीं होता है।
एका वाणी एव पुरुषं समलङ्करोति या संस्कृता धार्यते।|The cultured speech alone adorns a man.|पुरुष की संस्कृत वाणी ही उसे शोभित करती है।
भूषणानि खलु सततं क्षीयन्ते।|The ornaments indeed constantly fades in time.|आभूषण वास्तव में लुप्त हो जाते हैं।
वाग्भूषणं भूषणम् अस्ति।|The ornament of speech is only an ornament.|वाणी का आभूषण ही सत्य आभूषण है।
