Sanskrit|English|Hindi
गोविन्दः रामेण सह क्रीडति।|Govinda plays with Rama.|गोविन्द राम के साथ खेलता है।
एतद् वनं रमणीयम् अस्ति।|This forest is beautiful.|यह वन रमणीय है।
तत्र कुत्रचित् एकः वानरः निवसति।|Somewhere there, a monkey lives.|वहाँ कहीं एक बंदर रहता है।
अयम् अध्ययनं करोति।|This man studies.|यह पढता है।
अहं गृहे सुखी अस्मि।|I am happy at home.|मैं घर पर सुखी हूँ।
योगः मम शरीरं रक्षति।|Yoga protects my body.|योग मेरे शरीर की रक्षा करता है।
मम गृहे अतिथिः आगमिष्यति।|A guest will come to my home.|मेरे घर में एक मेहमान आने वाला है।
संस्कृतस्य अध्ययनं कर्तुं बालकः प्रयतते।|The boy tries to study Sanskrit.|लड़का संस्कृत पढ़ने का प्रयास करता है।
मम पिता वैद्यः अस्ति।|My father is a doctor.|मेरे पिताजी वैद्य हैं।
सः शिक्षकः विद्यालये सदा उपस्थितः अस्ति।|That teacher is always present at the school.|वह शिक्षक विद्यालय में सदा उपस्थित रहता है।
मित्रं प्रीतिरसायनम्।|The real friend is the drug of affection.|सच्चा मित्र स्नेह की रसायन है।
नयनयोः चेतसः च आनन्दनम्।|The joy of the eyes and the mind.|आँखों और चित्त का आनन्द है।
यद् मित्रेण सह सुखदुःखयोः पात्रं भवति तद्दुर्लभम्।|That is rare who share happiness and sorrow with a friend.|ऐसे विरले ही होते हैं जो मित्र के साथ सुख-दुख बाँटते हैं।
अथ च अन्ये सुहृदः समृद्धिसमये ये द्रव्यस्य अभिलाषया आकुलाः भवन्ति ते सर्वत्र मिलन्ति।|Still other allies  who, in times of prosperity, are anxious for material things are everywhere to be found.|फिर भी अन्य सहयोगी, जो समृद्धि के समय में, धन के लिए अभिलाषित रहते हैं, सर्वत्र पाए जाते हैं।
तेषां कृते विपत् तु परीक्षायाः कर्षपट्टिका इव भवति।|For them, adversity is like a teststone.|उनके लिए विपरीत परिस्थितियां कसौटी की तरह होती हैं।
अमृतं किरति हिमांशुः।|The moon rains amrit.|चन्द्रमा अमृत बरसाता है।
नाग अपने फन से विष उगलता है।|The cobra spits out venom.|विषम् एव फणी समुद्गिरति।
अच्छा व्यक्ति अच्छी बाते ही बोलता है।|The good only say good things.|गुणम् एव वक्ति साधुः।
जबकि दुष्ट अपनी प्रकृति से अपने दोषों को ही प्रकट करता है।|The bad by nature show their faults.|दोषम् असाधुः प्रकाशयति।
पिता धर्मः|Father is dharma.|पिता धर्म होते हैं।
पिता स्वर्गः|Father is heaven.|पिता स्वर्ग होते हैं।
पिता हि परमं तपः।|Father is the ultimate penance.|पिता ही परम तपस्या (श्रेष्ठ) तप होते हैं।
पितरि प्रीतिम् आपन्ने प्रीयन्ते सर्वदेवताः।|Being beloved of the father pleases all the gods.|पिता को प्रिय होने से अर्थात पिता के प्रसन्न हो जाने पर सम्पूर्ण देवता प्रसन्न हो जाते हैं।
पुरोहितः शङ्खं धमति।|The priest blows the conch shell.|पुरोहित शंख बजाता है।
श्रीकृष्णः भक्तं दृष्ट्वा स्मयते।|Lord Krishna smiles upon seeing the devotee.|श्रीकृष्ण भक्त को देखकर मुस्कुराते हैं।
राधा कर्णं पालयति।|Radha nurtures Karna.|राधा कर्ण की परवरिश करती है।
सीता श्रीरामविरहे रोदिति।|Sita cries in the separation from Lord Rama.|सीता श्रीराम के वियोग में रोती है।
कालीदासः रघुवंशम् अरचयत्।|Kalidasa composed the Raghuvamsha.|कालिदास ने रघुवंशम् रचा।
भोजः राजर्षिः आसीत्।|Bhoja was a royal sage.|भोज एक राजर्षि थे।
अष्टावक्रः जनकस्य गुरुः आसीत्।|Ashtavakra was Janaka's teacher.|अष्टावक्र जनक के गुरु थे।
शिशुः अक्षराणि बोधते।|The child recognises the letters.|बच्चा अक्षरों को पहचानता है।
सा युद्धनीतिं जानाति।|She knows the war tactics.|वह युद्धनीति को जानती है।
तस्याः पतिः धनार्जनं न जानाति।|Her husband doesn't know how to earn wealth.|उसके पति को धन कमाना नहीं आता है।
अतृणे तृणरहितस्थले पतितः वह्निः अग्निः स्वयम् एव उपशाम्यति शमं नीयते।|The Fire that falls on a grassless ground automatically subsides.|घास रहित भूमि पर गिरने वाली अग्नि स्वतः ही बुझ जाती है।
अक्षमावान् क्षमागुणरहितजनः परम् अन्यजनं दोषैः आत्मानं च एव योजयेत् आरोपयेत्।|A person who lacks the virtue of forgiveness blame others and himself.|जिस व्यक्ति में क्षमा के गुण का अभाव होता है वह दूसरों और स्वयं को दोष देता है।
त्वं हि देवान सगन्धर्वान् असुरान् यक्ष-राक्षसान् शक्तः तु एक-रथेन एव विजेतुं न अत्र संशयः।|There is no doubt here that you are capable of conquering devas along with Gandharvas, Asuras, Yakshas and Rakshasas using only one chariot.|इसमें कोई संदेह नहीं है कि आप केवल एक ही रथ का उपयोग करके देवताओं के साथ-साथ गंधर्वों, असुरों, यक्षों और राक्षसों पर भी विजय प्राप्त करने में सक्षम हैं।
तव गुणालयं नाम पावनं कलिमलापहं कीर्तयन्ति ये भव-भय-क्षयं ताप-तापिता मुहुरहः जनाः संसरन्ति नो।|इस संसार की गर्मी से झुलसे हुए, जो लोग आपके पवित्र नाम का जप करते हैं, जो गुणों का निवास है, कलियुग की अशुद्धियों का नाश करने वाला और इस संसार के भय का नाश करने वाला है, वे दोबारा इस चक्र में नहीं फंसते।|Scorched by the heat of this world, Those who chant your holy name which is the abode of virtues, the destroyer of the impurities of Kali-yuga and the decayer of the horror of this world, don't get trapped into this cycle again.
