नागालैंड में रविवार को उस घटना में बाद तनाव बढ़ गया, जिसमें कथित तौर पर सुरक्षा बलों की गोली से कुछ आम लोगों की मौत हुई है।|Tension increased in Nagaland on Sunday after an incident in which some civilians were reportedly killed in firing by security forces.|नागालैण्डे रविवासरे तस्या: घटनाया: अनन्तरम् आक्रोश: अवर्धत, यस्मिन् विज्ञप्त्यनुसारं सुरक्षाबलानां गुलिकै: केषाञ्चन जनानां मृत्युरभवत्।
यह घटना मोन जिले के तिरू गांव में तब हुई जब सुरक्षा बलों ने इन लोगों को एनएससीएन का संदिग्‍ध आतंकी समझा।|This incident took place in Tiru village of Mon district when the security forces considered these people to be suspected NSCN terrorists.|घटनैषा मोनजनपदस्य तिरूग्रामे तदा हि सञ्जाता यदा रक्षकाः एतान् जनान् NSCN इति संगठनस्य संदिग्धान् आतङ्किन् अवागच्छन्।
गोलीबारी की इस घटना के बाद स्‍थानीय लोग घरों से बाहर निकल आए और प्रदर्शन करने लगे।|After this incident of firing, local people came out of their homes and started protesting.|एतस्याः गुलिकावर्षणरूपघटनायाः अनन्तरं स्थानीयजना: गृहेभ्यो बहिरागत्य प्रदर्शनं कर्तुमारभन्त।
उनका कहना है कि ये युवा निर्दोष थे।|He says that these youth were innocent.|तै: कथितं यत् ते युवका: निर्दोषा: आसन् इति।
वे पास की कोयला खदान से घर वापस आ रहे थे।|They were returning home from the nearby coal mine.|ते समीपस्थात् कृष्णाङ्गारगर्तत: न्यवर्तन्त।
इस घटना की निंदा करते हुए मुख्‍यमंत्री नेफियू रियो ने एसआईटी जांच के आदेश दिए हैं।|Condemning this incident, Chief Minister Neiphiu Rio has ordered an SIT investigation.|अस्याः घटनायाः निन्दां कुर्वन् मुख्यमंत्री नेफियू रियो महोदयः SIT निरीक्षणाय आदेशं विहितवान्।
मुख्‍यमंत्री ने लोगों से शांति की अपील भी की है।|The Chief Minister has also appealed to the people for peace.|मुख्यमन्त्री शान्तिस्थापनाङ्कृते साधारणजनान् प्रार्थयत।
जानकारी के अनुसार घटना से नाराज लोगों ने सुरक्षा बलों के कुछ वाहनों में आग लगा दी।|According to the information, people angry over the incident set fire to some vehicles of the security forces.|विज्ञप्त्यनुसारम्, घटनया क्रुद्धजना: सुरक्षादलानां कानिचन वाहनानि अज्वालयन्।
इस दौरान सुरक्षा बलों ने भीड़ को काबू करने के लिए फायरिंग की, जिसमें कुछ और लोगों को गोली लगने की बात सामने आ रही है।|During this time, the security forces opened fire to control the crowd, in which some more people are reported to have been shot.|अत्रान्तरे सुरक्षाबलैः जनसम्मर्दस्य नियन्त्रणार्थं गुलिकावर्षणं कृतम्, यस्मात् केचन जनाः व्रणिताः अभवन् इति वार्ता आगता।
घटना की पुष्टि करते हुए नागालैंड के मुख्यमंत्री नेफियो रियो ने कहा, ‘मोन जिले के ओटिंग में नागरिकों की मौत की दुर्भाग्यपूर्ण घटना बेहद निंदनीय है।|Confirming the incident, Nagaland Chief Minister Neiphio Rio said, 'The unfortunate incident of death of civilians in Oting in Mon district is highly condemnable.|घटनाया: पुष्टिं कुर्वन् नागालैंडस्य नेफियो-रियो इति मुख्यमन्त्री अवदत् - "मोनजनपदस्य आटिंगस्थाने नागरिकानां मृत्यो: दुर्भाग्यपूर्णा घटना अतीव निंदनीया अस्ति।"
शोकाकुल परिवारों के प्रति संवेदना व्‍यक्‍त करता हूं और घायलों के शीघ्र स्वास्थ्य लाभ की कामना करता हूं।|I express my condolences to the bereaved families and pray for the speedy recovery of the injured.|शोकाकुलानां कुटुम्बानां कृते अहं संवेदनं ज्ञापयामि व्रणितानाम् आशुस्वास्थ्यलाभं च कामये।
मूर्खों के बीच रहने से श्रेष्ठ है कि पहाड़ों और गुफाओं आदि में जंगली जीवों के साथ भटक लें।|Being lost in places like mountains and caves with wild creatures is better than living among fools.|पर्वतेषु च दुर्गेषु च वनचरैः सह भ्रमणं वरम्।
मूर्खाणां जनानां सम्पर्कः सुरेन्द्रस्य भवनेषु अपि न वरम्॥|We shouldn't be in their company even in heaven.|हमें स्वर्ग में भी उनकी संगति नहीं करनी चाहिए।
