Sanskrit|English|Hindi
हंसाः महीमंडलनाय यत्रापि कुत्रापि गता भवेयु:।|Swans will go wherever they want to beautify the earth (they don't care).|पृथ्वी तल को सुशोभित करने के लिए हंस जहां कहीं भी चले जाएंगे उन्हें कोई अंतर नहीं पड़ता।
हानिः तु तेषां सरोवराणां भवति येषां मरालैः सह विप्रयोग: भवति।|But the loss comes to those ponds which are separated from the swans.|पर हानि तो उन तालाबों की होती है जिनका हंसों के साथ वियोग होता है।
व्याधः जन्तून् प्रलोभयति।|The hunter tempts the animals.|शिकारी जानवरों को प्रलोभित करता है।
मूषकः अन्नम् अन्विषति।|The mouse searches for food.|चूहा अन्न ढूँढता है।
कारागारे नर्तनं भवति।|There is dancing in the prison.|जेल में नृत्य होता है।
तस्य नाम राकेशशर्मा अस्ति।|His name is Rakesh Sharma.|उसका नाम राकेश शर्मा है।
व्योमयात्री यात्रायै सज्जः अस्ति।|The space traveler is ready for the journey.|अंतरिक्ष यात्री यात्रा के लिए तैयार है।
सूर्यवंशे दिलीपः बभूव।|Dilip was from the solar dynasty.|दिलीप सूर्यवंश में हुए।
बालगणेशः कुबेरगृहं गच्छति।|Young Ganesh goes to Kubera's house.|बाल गणेश कुबेर के घर जाते हैं।
सर्पाः गरुडाद् बिभ्यति।|Snakes fear Garuda.|साँप गरुड़ से डरते हैं।
तेषां विद्यालये शिक्षकाः न आगच्छन्ति।|The teachers do not come to their school.|उनके विद्यालय में शिक्षक नहीं आते हैं।
तस्याः गृहे जलम् अपि नास्ति।|There is not even water in her house.|उसके घर में पानी भी नहीं है।
यस्मिन् जीवति जीवन्ति बहवः सः तु जीवति|The one by whose life many people live is called the one who lives|जिसके जीने से कई लोग जीते हैं, वह जीया कहलाता है
काकः अपि किं न कुरूते चञ्च्वा स्व-उदर-पूरणम्|doesn't even a crow fill its stomach with its beak?|क्या कौआ भी चोंच से अपनी पेट नहीं भरता?
सप्त-द्वीप-पतिः चित्तम्|The lord of the seven continents (protect) the heart.|सातों महाद्वीपों के स्वामी हृदय की (रक्षा) करें।
सप्त-व्याहृति-रूपवान् कटिं मे।|The embodiment of the mystical utterance of the names of the seven worlds (viz. Bhūḥ, Bhuvaḥ, Svaḥ, Mahaḥ, Janaḥ, Tapaḥ, satyam) (protect) my hip.|सात लोकों (अर्थात् भूः, भुवः, स्वः, महः, जनः, तपः, सत्यम्) के नामों के रहस्यमय उच्चारण का अवतार (रक्षा करें) मेरे कूल्हे।
सप्त-संस्था-अर्थ-दायकः सक्थिनी मम।|The grantor (of resources) for the seven seven sacrifices (protect) my thighs.|सात सात यज्ञों के लिए (संसाधनों के) दाता मेरी जाँघों की (रक्षा) करते हैं।
