Sanskrit|English|Hindi
प्रकाशदायकः दीपः अन्धकारं भक्षयते कज्जलम् उत्पादयति च।|A lamp eats up the darkness and therefore it produces lamp black.|दीपक अंधेरे को खा जाता है और इसलिए दीपक काला पैदा करता है।
तथा एकः मनुष्यः यादृशम् अन्नं (भोजनं) नित्यं खादति तस्य तादृशः सन्तानः एव भविष्यति।|In the same manner according to the quality of one's food intake ( satva, rajas, tamas ) he also produce offspring in similar quality.|इसी प्रकार व्यक्ति अपने भोजन की गुणवत्ता (सत्व, रज, तम) के अनुसार ही संतान उत्पन्न करता है।
चक्षुषी उद्वृत्य|having rolled the eyes|आँखेँ तरेर कर
तोयदः धाराभिः ववर्ष|clouds rained with streams|बादल धाराओं से बरसा
सः कश्मलम् अगच्छत्|He became unconscious|वह मूर्च्छित हो गया
हैडिम्बः पितरम् अतीत्य अयुध्यत।|Ghatotkacha fought (in valour) leaving his father behind.|घटोत्कच पिता को पीछे छोडकर (शौर्य में) युद्ध करता था।
तिलशः अच्छिनत्|cut it into pieces|तिल तिल कर के काट डाला
न दिवा स्वापम् कुर्यात्|One shouldn't sleep in daytime|दिन में नहीं सोना चाहिए
कूपं परितः स्त्रियः हसन्ति।|Women laugh around the well.|स्त्रियाँ कुएं के चारों ओर हँसती हैं।
तस्याः मार्गे शुनकः शेते।|A dog sleeps on her path.|उसके मार्ग में एक कुत्ता सोता है।
सः सिंहात् बिभेति।|He fears a lion.|वह शेर से डरता है।
तस्य ग्रामे कः अपि धनिकः नास्ति।|There is no rich person in his village.|उसके गाँव में कोई धनी नहीं है।
आवां कालिकापुरं गच्छावः।|We both go to Kalikapuram.|हम दोनों कालिकापुर जाते हैं।
तस्य नेता भ्रष्टः अस्ति।|His leader is corrupt.|उसका नेता भ्रष्ट है।
मम मनः आधिग्रस्तं कृतम्।|My mind is suffering illness.|मेरा मन आधि से ग्रस्त है।
गुरुः उत्तरं जानाति।|The Guru knows the answer.|गुरु उत्तर जानते हैं।
जन्म एव मृत्युः इति बुद्धवचनम्।|Birth is indeed death, so says the Buddha.|जन्म ही मृत्यु है, ऐसा बुद्ध का कहना है।
बालगोविन्दः कबीरं भजते।|Balagovind worships Kabir.|बालगोविन्द कबीर को भजते है।
रामस्य हर्षदा या च यस्याः रामः  अपि हर्षदः तस्यै राम-समानायै श्री-सीतायै सुमङ्गलम्।|Who's the source of joy of Rama and whose source of joy is Rama, Be auspicious to her, Shri Sitā who's just like Rama.|राम को हर्ष देने वाली और जिनको प्रभु श्री राम हर्ष देते हैं उनका, जो राम के समान है, मङ्गल हो।
ग्रन्थकोटिभिः यत् उक्तं तत् अहं श्लोक-अर्धेन प्रवक्ष्यामि।|I will tell with half a verse, what has been told in crores of books.|मैं आधे श्लोक से बताऊंगा, जो करोड़ों पुस्तकों में कहा गया है।
परोपकारः पुण्याय एवं च परपीडनम् पापाय कल्पयति।|Helping others gives merit and hurting others leads to sin.|दूसरों की सहायता करना पुण्य है और दूसरों को चोट पहुंचाना पाप है।
कण्टकेन एव कण्टकम्।|Thorn can only be removed a thorn|कांटे से कांटा निकाला जाता है।
विषकुम्भम् पयस्-मुखम्(पयोमुखम्)।|Milk on top of a pot of poison.|मूंह में राम बगल में छुरी।
मौनं सम्मति-लक्षणम्।|Slience is tacit agreement.|मौन रहना सम्मति का लक्षण है।
आहारे व्यवहारे च त्यक्त-लज्जः सुखी भवेत्।|One who has given up shame in his diet and behavior should be happy.|आहार और व्यवहार में संकोच ना करने वाला सुखी रहता है।
न कूपखननं युक्तं प्रदीप्ते वह्निना गृहे।|No point in digging a well when the house is on fire.|पहले कार्य आरम्भ न करके अन्तिम समय में कार्य आरम्भ करना।
बलवान् जननी-स्नेहः।|Mother's affection is powerful.|माता का स्नेह बलवान् होता है।
न वित्तेन तर्पणीयः मनुष्यः।|Man is never satisfied with money.|मनुष्य धन की इच्छा से कभी तृप्त नहीं होता।
शुभस्य शीघ्रम्।|Quickness in auspiciousness|तुरन्त दान महाकल्याण।
बह्वारम्भे लघुक्रिया।|A great start, very little progress.|खोदा पहाड निकली चुहिया।
संहतिः कार्य-साधिका।|Unity is strength.|संगठन में बडी शक्ति है।
नहि सर्व-विदः सर्वे।|Nobody knows everything.|सब सब कुछ नहीं जानते।
अपुत्रस्य गृहं शून्यम्।|Empty is the house without a son.|पुत्रहीन घर सूना है।
कायः कस्य न वल्लभः।|Who doesn't love the body?|जान किसे प्यारी नहीं?
रस-मूलाः हि व्याधयः।|Diseases are rooted in taste.|जीभ रोगों की जड है।
अस्थिरं जीवतं लोके।|Life is unstable in this world.|जीवन का क्या भरोसा।
धर्म-क्षयकरः क्रोधः।|Anger destroys dharma.|गुस्सा बडा चाण्डाल है।
