sanskrit|english|hindi
परस्य विपत्तौ मा हसीः।|Do not laugh at the adversity of another.|दूसरे की विपत्ति पर मत हँसो।
अग्निः केषां गुरुः कथ्यते।|Fire is called the Guru of whom?|आग किनका गुरु कही जाती है?
तस्या माता तां त्यक्त्वा कार्यार्थं गच्छति।|Her mother, leaving her, goes for the purpose of work.|उसकी माँ उसे छोड़कर काम के लिए जाती है।
मार्गे सहसा कुक्कुरः अभ्यागतः।|On the path, suddenly a dog came forward.|राह में अचानक कुत्ता सामने आ पहुँचा।
अनेन धनेन मम किं प्रयोजनम्।|With this wealth, what is my purpose?|इस धन से मेरा क्या काम?
तद् वाक्यं श्रुत्वा स मौनं चकार।|Having heard that sentence, he became silent.|वह बात सुनकर वह मौन हो गया।
भल्लूको वने विचरति।|The bear wanders in the forest.|भालू वन में घूमता है।
पर्वतं नरा आरोहन्ति।|Men climb the mountain.|लोग पहाड़ पर चढ़ते हैं।
मम शिरसः महान् भारः अपगतः।|From my head, a great burden was removed.|मेरे सिर से बड़ा भारी बोझ हट गया।
आर्य शृणु ते आर्य्या किं कथयति।|Arya! Listen to what your noble lady says.|आर्य! सुनो, तुम्हारी आर्या क्या कहती है।
भूतानि भूत्वा भूत्वा प्रलीयन्ते।|Beings, having come into being again and again, dissolve.|जीव बार-बार प्रकट होकर विलीन हो जाते हैं।
इतरेषामपि वचनं श्रोतुमर्हसि।|You ought to listen to the word of others also.|तुम्हें औरों की बात भी सुननी चाहिए।
रामो द्विः वक्तुं न जानाति।|Rama does not know to speak contradictory.|राम दोमुँही बात बोलना नहीं जानते।
त्वं तत्र तस्य गृहे किमकरोः।|What were you doing there in his house?|तुम वहाँ उसके घर पर क्या करते थे?
मम बालकः क्रीडामग्नः अस्ति।|My boy is absorbed in play.|मेरा बच्चा खेल में मग्न है।
प्रसीद प्रसीद जगत्सन्निवास।|Be pleased, be pleased, Abode of the world!|जगन्निवास! प्रसन्न होओ, प्रसन्न होओ।
त्वं पूर्वस्मिन् जन्मनि मम भगिनी बभूविथ।|You were my sister in the previous birth.|तुम पिछले जन्म में मेरी बहन थी।
यदा कोऽपि सत्यं वदति तर्हि तस्मै नमस्कुरु।|When anyone speaks the truth, then bow to him.|जब कोई सच बोलता है, तब उसे प्रणाम करो।
दन्तचौरी अप्सरा मया ताडिता।|The tooth-stealing fairy was struck by me.|दाँत चुराने वाली परी मेरे द्वारा पीटी गई।
कुत्र केन सह गन्तव्यम्।|Where, with whom is it to be gone?|कहाँ, किसके साथ जाना है?
यः स्वपिति स रोदिति।|The one who sleeps, weeps.|जो सोता है, वह रोता है।
नीले अम्बरे यदा चन्द्रः उदेति।|When the moon rises in the blue sky.|नीले अंबर में जब चन्द्रमा उगता है।
भवान् प्रक्ष्यति कियद् धनम् अर्जयसीति।|You will ask, "How much money do you earn?"|आप पूछेंगे कि कितना धन कमाते हो।
तत्र व्यथितो न भवितव्यः।|There, one should not become troubled.|वहाँ दुःखी नहीं होना चाहिए।
मृत्तिकातैलं निक्षेप्स्ये स्वदेहे।|I will pour kerosene on one's own body.|मिट्टी का तेल अपने शरीर पर डाल लूँगी।
ह्यः अस्या माता आगच्छत्।|Yesterday, the mother of this one came.|कल इसकी माँ आई थी।
तं वानरं दृष्ट्वा बालिका हसति।|Seeing that monkey, the girl laughs.|उस बंदर को देखकर लड़की हँसती है।
भोगं च वियोगं चोभे विधिवशे।|Both enjoyment and separation are in the control of destiny.|भोग और वियोग दोनों भाग्य के वश में हैं।
तव आवर्षं व्ययो मे सप्ताहवाहनैन्धनमूल्यसमः।|Your yearly speanding is equal to the price of fuel of the vehicle of my one week.|तुम्हारा वर्ष भर का व्यय मेरी एक सप्ताह की गाड़ी के ईंधन के मूल्य के समान है।
अहं तथाऽपि त्वयि स्नेहिष्यामि।|Even then, I will love you.|मैं तब भी तुमको चाहूँगा।
बिडालः वातायनसमीपं स्वपिति।|The cat sleeps near the window.|बिल्ला खिड़की के पास सोती है।
खगाः हरितेषु वृक्षेषु कूजन्ते।|Birds chirp on the green trees.|पंछी हरे पेड़ों पर चहकते हैं।
सा पात्रपूरितं शीतजलम् अपात्।|She drank the cold water filled in the vessel.|उसने बरतन में भरा ठंडा पानी पिया।
कमलकान्तः रक्तं कन्दुकं पादेन प्रहरति।|Kamalakanta kicks the red ball with the foot.|कमलकांत लाल गेंद को पाँव से लतियाता है।
विजनवीथौ वर्षाजलं मन्दस्वरेण पतति।|In the lonely street, rain-water falls with a soft sound.|सुनसान गली में वर्षा का पानी धीमी ध्वनि से गिरता है।
मम माता अद्य रोटिका न अपाक्षीत्।|My mother did not cook the roti today.|मेरी माँ ने आज रोटी नहीं पकाई।
तस्या गृहे चौरा अपि प्रवेष्टुं बिभ्यति।|In her house, even thieves fear to enter.|उसके घर में चोर भी घुसने से डरते हैं।
कुक्कुरः पीतं चित्रपतङ्गम् अनुसरति।|The dog follows the yellow butterfly.|कुत्ता पीली तितली के पीछे चलता है।
नहि अहं तं न जानामि।|No, I do not not know him.|नहीं, मैं उसे नहीं जानता
हस्ते हस्तं देहि मातृस्नुषे।|Give the hand in the hand, Mother's daughter-in-law!|हाथ में हाथ दो, माँ की बहू!
कस्त्वाम् अवमन्यते देवि।|Who disrespects you, lady!|देवि! तुम्हारा निरादर कौन करता है?
विषाक्तम् अन्नं मा गृहाण।|Do not take poisoned food.|विषैला अन्न मत लो।
हसतः पुरुषस्य न दुःखहीनत्वं ज्ञेयम्।|The sorrowless-ness of a laughing man is not to be assumed.|हँसते हुए पुरुष को दुःख से हीन नहीं समझना चाहिए।
बालिका भ्रातरं प्रहृत्य धावति।|Striking the brother, the girl runs.|लड़की भाई को मारकर दौड़ती है।
कस्यचिद् गृहं गच्छावः।|Let the two of us go to someone's house.|हम दोनों किसी के घर चलते हैं।
मातुलोऽपि मम मातुः बिभेति।|Even the maternal uncle fears my mother.|मामा भी मेरी माँ से डरते हैं।
सुप्तं सर्पं मा खेदय।|Do not disturb the sleeping snake.|सोए हुए साँप को मत छेड़ो।
अधुना स मुख्यमंत्री अभूत्।|Now he became the chief minister.|अब वह मुख्यमंत्री बन गया।
कः कथयति आकाशे छिद्रं न शक्यते।|Who says a hole is not possible in the sky?|कौन कहता है आकाश में छेद नहीं हो सकता?
तव पिता तस्या मातरि स्निह्यति।|Your father loves her mother.|आपके पिता उसकी माता से स्नेह करते हैं।
त्वां दृष्ट्वा मम रक्तं क्वथयति।|Seeing you, my blood boils.|तुझे देखकर मेरा खून खौलता है।
आं पुत्र भरत अयमेव ते पिता।|Yes, son Bharata, this is indeed your father.|हाँ पुत्र भरत, यही तुम्हारे पिता हैं।
सुधे स्वहस्तात् जलं देहि।|Sudha, give water from your own hand.|सुधा, अपने हाथ से जल दो।
पांशुभिः गगनं व्याप्तम्।|The sky is covered with dust.|धूल से आकाश व्याप्त है।
कस्तूरीं नाभिस्थां मृगो वने मृगयते।|The deer searches in the forest for the musk located in its own navel.|मृग अपनी नाभि में स्थित कस्तूरी को वन में खोजता है।
तव नेत्रयोः मे नेत्रे भवताम्।|May my eyes be in your eyes.|तुम्हारे नेत्रों में मेरे नेत्र हों।
हृदये पाषाणं स्थापयित्वा सः अवदत्।|Placing a stone in his heart, he spoke.|हृदय में पाषाण रखकर वह बोला।
भवानी कदा आयास्यति पूर्व्ववायो।|When will Bhavani come, O eastern wind?|भवानी कब आएगी, हे पूर्ववायु?
यदा कदा माम् अपि पश्य।|Look at me every now and then.|कभी-कभी मुझे भी देखो।
अङ्गदः तत्र पादं स्थापयामास।|Angada placed his foot there.|अंगद ने वहाँ पैर रखा।
किमुक्तम् आवाभ्याम्|What was said by the two of us?|हम दोनों के द्वारा क्या कहा गया?
किं तव गृहेऽपि पशुका अस्ति|Is there a pet in your house too?|क्या तुम्हारे घर में भी कोई छोटा पशु है?
नित्यं सुखी भव|Be happy always!|सदा सुखी रहो!
यस्य आगमनेन हर्षो भवति|By whose arrival happiness happens.|जिसके आने से आनंद होता है।
सप्ताहान्ते कुत्र गमिष्यसि|Where will you go at the weekend?|सप्ताह के अंत में कहाँ जाओगे?
दीपकस्य प्रकाशे अपठाम|We used to study in the light of the lamp.|दीये के प्रकाश में हम पढ़ते थें।
कस्य कन्या इयम्|Whose daughter is this?|यह किसकी बेटी है?
राजकुमारी सुन्दरी दृश्यते|The princess looks beautiful.|राजकुमारी सुंदर दिखती है।
अवश्यम् अस्य कथनं सत्यम् अस्ति|Surely the statement of this one is true.|निश्चय ही इसका कहना सच है।
