Sanskrit|English|Hindi
अहं प्रश्नं पृच्छेयम्।|I should ask a question.|मुझे प्रश्न पूंछना चाहिए।
अहं पत्रं लिखेयम्।|i should write a letter.|मुझे पत्र लिखना चाहिए।
अहं पुस्तकं पठेयम्।|I should read the book.|मुझे पुस्तक पढनी चाहिए।
अहं फलम् इच्छेयम्।|I should want fruit.|मुझे फल चाहना चाहिए।
अहं कपिना सह क्रीडेयम्।|i should play with the monkey|मुझे बंदर के साथ खेलना चाहिए।
अहं सूर्यं पश्येयम्।|i should see the sun|मुझे सूर्य को देखना चाहिए।
सूर्यः अदीव्यत्।|the sun shined|सूर्य चमका।
बालिका अनृत्यत्।|The girl danced.|बालिका नाची।
ग्रामः अनश्यत्।|The village was destroyed|गाँव नष्ट हुआ।
गुरुः शिष्येण सह भ्राम्यति।|The Guru roams with the disciple.|गुरु शिष्य के साथ घूमता है।
दुर्जनेन शिष्येण कः लाभः?|What is the benefit of a wicked disciple?|दुर्जन शिष्य से क्या लाभ?
नृपः सेनापतिना सह अत्र आगच्छत्।|The king came here with the commander.|राजा सेनापति के साथ यहाँ आया।
पर्वते कपयः क्रीडन्ति।|Monkeys are playing on the mountain.|पहाड पर बंदर खेल रहे हैं।
