Sanskrit|English|Hindi
रचित्वा च उक्त्वा त्वया राष्ट्र-व्याख्या जगद्-दर्शितम् हिन्दु-राष्ट्र-अभिधानम्।|By creating and explaining the meaning of the nation showed the world the vision of a hindu rashtra.|राष्ट्र का अर्थ बनाते और समझाते हुए विश्व को हिन्दू राष्ट्र का दर्शन दिखाया।
नमः प्राञ्जलिः आङ्ग्लता-भञ्जकाय महाराष्ट्रवीराय सावरकराय।|I bow down with obeisance to the brave of Maharashtra who broke the shackles of Englishness|अंग्रेजियत की बेड़ियाँ तोड़ने वाले महाराष्ट्र के वीर सावरकर को मैं नमन करता हूँ।
जनाः भास्यमानाः द्रोहं च यस्मै त्वया दर्शितम् सङ्गरम् भूत-पूर्वम्।|What people merely perceived as a military rebellion, You showed it as a fight for freedom.जिसे लोगों ने महज एक सैन्य विद्रोह समझा, आपने उसे आज़ादी की लड़ाई के रूप में दिखाया।
नतः अहं समुद्रस्य उल्लङ्घकाय।|I bow down in reverence to the one who crossed the seas.|मैं समुद्र को पार करने वाले के प्रति श्रद्धापूर्वक झुकता हूं।
नमः ते सदा वीर-सावरकराय।|Salutations to you, veer savarkar|वीर सावरकर आपको सदा नमन।
त्वया खण्डिता जाति-भेद-प्रथा इयम्।|You denounced the practise of casteism|आपने जातिवाद की प्रथा की निंदा की।
त्वया मण्डितम् राष्ट्र-ऐक्यम् पुनीतम्।|You adorned sacred National unity.|आपने पवित्र राष्ट्रीय एकता को सुशोभित किया।
नमः अखण्ड-राष्ट्रस्य उत्थापकाय।|I bow down to the one who awakened Akhand Bharat.|अखण्ड भारत को जगाने वाले को मैं नमन करता हूँ।
यत् यत् करोमि मनसा इन्द्रियैः वा राष्ट्राय सर्वम् इति ते प्रतिज्ञा।|Whatever I do with my mind and senses, Everything is dedicated to the nation was your pledge.|मैं मन और इंद्रियों से जो कुछ भी करुंगा, सब कुछ राष्ट्र को समर्पित है ये आपकी प्रतिज्ञा थी।
नमः तपो-तर्क-तारुण्य-समिधाकराय।|Salutations to the one who offered tenacity and youth as a sacrificial offering.|तप और यौवन को यज्ञ में अर्पित करने वाले को नमस्कार है।
सुखस्य दुःखस्य न कः अपि दाता।|Happiness and sorrow are not given by others.|सुख-दुःख अन्य के दिए नहीं होते।
परः ददाति इति कुबुद्धिः एषा।|It is useless to assume that someone gives.|कोई देता है यह मानना व्यर्थ है।
"अहं करोमि" इति वृथा-अभिमानः।|“It happens due to me” is also false pride.|"मुझसे होता है" यह भी मिथ्याभिमान है।
स्व-कर्म-सूत्रे ग्रथितः हि लोकः।|The entire life/creation is included in the formula of self-karma.|समस्त जीवन/सृष्टि स्वकर्म के सूत्र में बंधे है।
