Sanskrit|English|Hindi
दानेन भूतानि वशीभवन्ति।|By charity, beings are subdued.|दान से प्राणी वश में होते हैं।
दानेन वैराणि अपि नाशं यान्ति।|Even enmities are destroyed by charity.|दान से शत्रु भी नष्ट हो जाते हैं।
दानैः परः अपि बन्धुत्वम् उपैति।|Even Strangers get into brotherhood by charities.|दान से अपरिचित भी भाईचारा रखते हैं
दानं सर्वव्यसनानि हन्ति।|Charity destroys every addiction.|इससे हर व्यसन नष्ट हो जाता है।
ब्रह्मणः चतुर्भ्यः मुखेभ्यः वेदाः निस्सृताः।|The Vedas emerged from the four mouths of Brahma.|वेद ब्रह्मा के चार मुखों से निकले।
सत्यभामा भूमिदेवी अस्ति।|Satyabhama is the goddess of the earth.|सत्यभामा भूदेवी हैं।
इन्द्रस्य पत्नी शुची अस्ति।|Indra's wife is Shuchi.|इंद्र की पत्नी शुची है।
हनुमान् गिरिं धरति।|Hanuman carries a mountain.|हनुमान पहाड़ उठाते हैं।
अहं वंशीवादनं न जानामि।|I do not know how to play the flute.|मुझे बांसुरी बजाना नहीं आता।
रामात् परं धनुर्धरः न विद्यते।|There is no greater archer than Rama.|राम से बड़ा धनुर्धारी कोई नहीं है।
वासुदेवस्य अष्टौ भार्य्याः प्रधानाः।|Vasudeva had eight principal wives.|वासुदेव के आठ प्रमुख पत्नियाँ थीं।
राजा दरिद्राय उत्तरीयं यच्छति।|The king donates a robe to the poor.|राजा दरिद्र को उत्तरीय देता है।
कदा गन्तासि उद्योगाय पुत्र।|When will you go for work, son?|बेटा, तू कब काम के लिए जाएगा?
अशोकवाटिकायां भाग्यश्रीः न्यवसत्।|The goddess of fortune lived in the Ashoka grove.|भाग्यश्री ने अशोक वाटिका में निवास किया था।
सहस्राननैः वाक्सहस्रद्वयेन|With a thousand faces and two thousand tongues|सहस्र मुखों एवं दो सहस्र जीभों के साथ
सदा हरेः कीर्तिम् एव कीर्तयन्तम् श्रुतिभ्यः मतं भक्तिकाण्डं गृणन्तं तमीशं फणीशं गुरुं शेषम् ईडे|I worship that lord of the serpents, the Guru, Śeṣa, always chanting the glories of the Lord Hari, reciting the Bhakti-kanda, as deemed by the Vedas.|सदा हरि का कीर्ति ही गाने वाला श्रुति द्वारा माना गया भक्तिकाण्ड का उच्चारण करने वाले अंधकार के ईश्वार फणीश गुरु शेष का भजन करता है
