Sanskrit|English|Hindi
नीचानाम् उपकारः अपि अपकाराय वर्तते।|Helping an evil person could even cause harm to one;|नीचों पर उपकार करना भी हानि के लिये ही होता है।
भुजङ्गानां पयःपानं केवलं विषवर्धनं भवति॥|same as feeding milk to a snake will only increase its poison.|सांपों को दूध पिलाने से उनका जहर और भी बढ़ जाता है
तस्याः प्रहस्तयोः दश अङ्गुलीयकानि सन्ति।|She has ten rings in her hands.|उसके हाथों में दस अंगूठियाँ हैं।
वने सिंहः राजते।|The lion reigns in the forest.|जंगल में सिंह राज करता है।
एषः गजः विशालकायः अस्ति।|This elephant is huge-bodied.|यह हाथी विशालकाय है।
गुरुः वृक्षमूले आसने शोभते।|The teacher looks graceful sitting under the tree.|गुरु पेड़ के नीचे बैठे हुए शोभायमान लगते हैं।
तस्य भार्य्या तम् अत्यजत्।|His wife abandoned him.|उसकी पत्नी उसे छोड़ दिया।
सा तस्मात् धनं याचति।|She asks money from him.|वह उससे पैसे मांगती है।
न्याय्याधीशः तं धनं दातुम् आज्ञापयति।|The judge orders him to give the money.|न्यायाधीश उसे पैसे देने का आदेश देता है।
सः पिता भवितुम् इच्छति।|He wants to become a father.|वह पिता बनना चाहता है।
तस्य माता तं तर्जति।|His mother scolds him.|उसकी माँ उसे डाँटती है।
सः गृहं त्यक्त्वा कुत्र अगच्छत्।|Having left home, where did he go?|घर छोड़कर वह कहाँ गया?
देवः असि बलस्य|You are the deva of strength
प्राणः असि अखिलस्य|the life force of everything.
कः ब्रूयात् अतिमानं ते महिमानम्|Who can speak your excessive glory?
