Sanskrit|English|Hindi
चतुर्थचरणे ६७.२५% मतदानम्।|67.25% turnout in the fourth round.|चौथे राउंड में 67.25% मतदान हुआ।
बहुषु स्थानेषु अक्रमप्रवर्तनानि।|Disorderly events in many places.|कई जगहों पर अव्यवस्थाएं।
९६ लोकसभामण्डलेषु ह्यः सम्पन्ने निर्वाचने ६७.२५% सम्मतदायकाः स्वाभिमतं विनियुक्तवन्तः इति निर्वाचनायोगेन सूचितम्।|The Election Commission of India (ECI) has informed that 67.25 per cent of the voters cast their ballots in the elections held in 96 Lok Sabha constituencies.|भारत निर्वाचन आयोग (ईसीआई) ने बताया है कि 96 लोकसभा क्षेत्रों में हुए चुनाव में 67.25 प्रतिशत मतदाताओं ने मतदान किया।
गतं चरणत्रयमपेक्ष्य मतदानस्य शतमानम् अधिकं वर्तते।|The percentage of votes is higher than in the last three phases.|पिछले तीन चरणों की तुलना में वोटों का प्रतिशत अधिक है।
अधिकतरं मतदानं पश्चिमवंगे अङ्कितं - ८६.०८%।|The highest turnout was recorded in West Bengal - 86.08%.|सबसे अधिक मतदान पश्चिम बंगाल में दर्ज किया गया - 86.08%।
न्यूनतमं तु श्रीनगरे - ३७%।|The lowest is in Srinagar - 37%.|सबसे कम श्रीनगर में है - 37%।
पश्चिमवंगे तत्र तत्र संघर्षाः जाताः।|There were clashes here and there in West Bengal.|पश्चिम बंगाल में जगह-जगह झड़पें हुईं।
बोलपुरं मण्डलस्थे केतुग्रामे कश्चन तृणमूलप्रवर्तकः विस्फोटाक्रमणे हतः।|A Trinamool activist was killed in a blast at Ketu village in Bolpur district.|बोलपुर जिले के केतु गांव में हुए विस्फोट में एक तृणमूल कार्यकर्ता की मौत हो गयी।
आन्ध्रे गुण्डूरु मण्डलस्थे कस्मिंश्चित् मतदानस्थाने 'वै एस् आर् कोण्ग्रस् दलीयः विधानसभासदस्यः शिवकुमारनामकः मतदायकमताडयत् इत्यनेन संघर्षः जातः।|A clash broke out at a polling station in Andhra Pradesh's Gunduru district after a YSR Congress assembly member named Shiv Kumar beat up a voter.|आंध्र प्रदेश के गुंडुरु जिले में एक मतदान केंद्र पर उस समय झड़प हो गई जब वीएसआर कांग्रेस के विधानसभा सदस्य शिव कुमार ने एक मतदाता की पिटाई कर दी।
चरणचतुष्टये समाप्ते ७० % मण्डलेषु निर्वाचनं समाप्तम्।|Elections have been completed in 70 % of the districts after the completion of phase four.|चौथे चरण के बाद 70 फीसदी जिलों में चुनाव संपन्न हो चुका है।
दक्षिणभारतस्य सर्वेषु राज्येषु मतदानं सम्पूर्णमभवत्।|Polling was completed in all the states of South India.|दक्षिण भारत के सभी राज्यों में मतदान संपन्न हो गया।
