Sanskrit|English|Hindi
ईशानं सकलाराध्यं वन्दे सम्पत्समृद्धिदम्।|I offer my obeisances to the Lord, who is worshiped by all and who bestows wealth and prosperity.|सब के आराध्य सम्पत्ति एवं समृद्धि देने वाले ईशान का वंदन करता हूँ।
यस्य च आसीत् हरिः शस्त्रं ब्रह्मा भवति सारथिः।|Whose weapon was Shri Hari and Brahma becomes the charioteer.|जिनके थे अस्त्र हरि और है सारथि ब्रह्मदेव।
दूरे अपि वसतां सतां गुणाः दूतत्वं कुर्वन्ति।|The virtues of the virtuous act as messengers even when they are living far away.|सज्जनों के गुण दूर रहने पर भी दूत के रूप में कार्य करते हैं।
षट्पदाः केतकीगन्धम् आघ्राय स्वयम् आयान्ति।|The bumblebees smell the fragrance of the pandan flower and come on their own.|भौंरे केतकी के फूल की सुगंध सूँघकर अपने आप आ जाते हैं।
मत्स्याः सुखेन तरन्ति।|Fish swim happily.|मछलियाँ खुशी से तैरती हैं।
वानरः शिलायां कूर्दते।|The monkey jumps on the rock.|बंदर पत्थर पर कूदता है।
चटका कूजते।|The sparrow chirps.|गौरैया चहचहाती है।
मूषकः गणेशं वहति।|The mouse carries Lord Ganesha.|मूषक गणेश जी का वहन करता है।
वन्दी राजानं प्रशंसति।|The laudator praises the king.|वन्दी राजा की सराहना करता है।
दासी राज्ञीं सेवते।|The maid serves the queen.|दासी रानी की सेवा करती है।
सा तडागे‌ स्नाति।|She bathes in the pond.|वह तालाब में स्नान करती है।
सर्पः परीक्षितं दशति।|The snake bites Parikshit.|साँप परीक्षित को डसता है।
गरुडः सर्पान् भक्षयति।|The Garuda eats the snakes.|गरुड़ साँपों को खाता है।
सिंहः व्याघ्रं विलोक्य गर्जति।|The lion roars upon seeing the tiger.|शेर बाघ को देखकर गरजता है।
यदि सन्ति गुणाः पुंसां विकसन्ति एव ते स्वयम्।|If a man has qualities, they will spread on their own.|मनुष्य के यदि गुणहोते है, अपन आप फैलते हैं।
न हि कस्तूरिकामोदः शपथेन विभाव्यते।|The smell of musk need not be established by speech.|कस्तूरी की गंध शपथ से सिद्ध नहीं होता है।
