Sanskrit|English|Hindi
भारते प्रतिमासं ४३.३ कोटि आङ्किकविनिमयः - धनमन्त्रिणी निर्मला सीतारामः।|43.3 crore digital exchange per month in India: Finance Minister Nirmala Sitharaman.|भारत में प्रति माह 43.3 करोड़ डिजिटल एक्सचेंज: वित्त मंत्री निर्मला सीतारमण।
चेन्नै> भारते प्रतिमासं ४३.३ कोटि संख्याकाः आङ्किकधनविनियाः प्रचलन्ति इति धनमन्त्रिण्या निर्मला सीतारामेण उक्तम्।|CHENNAI - India has 43.3 crore digital currency transactions every month, Finance Minister Nirmala Sitharaman said.|चेन्नई> वित्त मंत्री निर्मला सीतारमण ने कहा कि भारत में हर महीने 43.3 करोड़ डिजिटल मुद्रा लेनदेन होते हैं।
विनिमयशुल्कं विना एव प्रचलन्ति अयम् इति तया संसूचितम्।|She informed him that these are running without exchange fees.|उसने उन्हें सूचित किया कि ये बिना विनिमय शुल्क के चल रहे हैं।
"पल्लावरत् विकसित-सङ्कल्पः २०४७ अम्बासिडर् काम्बस् डयलोग्" मध्ये भाषमाणा आसीत् एषा।|She was speaking at the "Pallavarat Developed Resolutions 2047 Ambassador Combs Dialogue"|वह "पल्लावरत विकसित संकल्प 2047 एम्बेसडर कॉम्ब्स डायलॉग" में बोल रही थीं।
रक्तातिमर्दः बाल्ये प्रारभते।|Blood pressure starts in childhood.|रक्तचाप की शुरुआत बचपन में ही हो जाती है।
स्थूलता एव निदानम्।|Obesity is the diagnosis.|मोटापा ही निदान है।
वैज्ञानिकाः प्रमाणं प्रकाशयिष्यति।|Scientists will reveal the evidence.|वैज्ञानिक सबूत उजागर करेंगे।
हृद्रोग-पक्षाघातादीनां रोगाणं मूलभूतकारणत्वेन रक्तातिमर्दः वर्तते।|Hypertension is the root cause of diseases such as heart disease and paralysis.|उच्च रक्तचाप हृदय रोग और लकवा जैसी बीमारियों का मूल कारण है।
वयोऽधिकानां रोगः आसीत् रक्तातिमर्दः।|The disease of the elderly was hypertension.|बुजुर्गों की बीमारी थी हाइपरटेंशन।
किन्तु इदानीं बालकान् अपि रक्तातिमर्दः बाधते।|But now children are also affected by blood clots.|लेकिन अब बच्चे भी रक्त के थक्कों से प्रभावित होने लगे हैं।
अस्य कारणत्वेन स्थूलशरीरत्वम् अपि भवति इति वैज्ञानिकाः प्रकाशयिष्यन्ति।|Scientists will reveal that obesity is also a factor in this.|वैज्ञानिक बताएंगे कि मोटापा भी इसका एक कारण है।
रक्तमर्दः १४०/९० इत्यस्मात् उपरि जायते चेत् रक्तातिमर्दः इति परिगण्यते।|If the blood pressure is above 140/90, it is considered to be hypertension.|यदि रक्तचाप 140/90 से ऊपर है तो इसे उच्च रक्तचाप माना जाता है।
इदानीं रोगबाधितेषु अधिके कौमारजनाः तथा शिशवः च भवन्ति।|Most of the affected are now young people and babies.|अधिकांश प्रभावित अब युवा लोग और बच्चे हैं।
१६८३ संख्याकानां जनानां स्वास्थावस्थां निरीक्ष्य एव नूतनावगमः प्राप्तः इति अनुशीलनावेदने सूच्यते।|The new insights were gained by monitoring the health status of 1,683 people, the study said.|अध्ययन में कहा गया है कि 1,683 लोगों की स्वास्थ्य स्थिति की निगरानी करके नई अंतर्दृष्टि प्राप्त की गई।
मेय् मासे वेनीस् नगरे सञ्चाल्यमाने यूरोप्यन् कोण्ग्रस् इति मेलने इदम् प्रतिवेदनं प्रकाशयिष्यते।|The report will be released at the European Congress in Venice in May.|रिपोर्ट मई में वेनिस में यूरोपीय कांग्रेस में जारी की जाएगी।

धारावाहिकं गीताप्रश्नोत्तरम् -३०
