Hindi|English|Sanskrit
"केदारनाथ को क्यों कहते हैं ?‘जागृत महादेव’।|"Why is Kedarnath called 'Jagruta Mahadeva'?|केदारनाथ: किमर्थं कथ्यते-जागृतो महादेव:।
एक बार एक शिव-भक्त अपने गांव से केदारनाथ धाम की यात्रा पर निकला।|Once a Shiva devotee set out from his village on a journey to Kedarnath Dham.|एकदा एकः शिवभक्तः केदारनाथधामयात्रायां स्वग्रामात् निर्गतवान्।
पहले यातायात की सुविधाएँ तो थी नहीं, वह पैदल ही निकल पड़ा।|Earlier there were no transport facilities, so he set out on foot.|पूर्वं परिवहनस्य सौविध्यं तु नासीत् ,अत: सः पदाभ्यामेव प्रस्थितवान्।
रास्ते में जो भी मिलता केदारनाथ का मार्ग पूछ लेता।|Whoever he met on the way would ask for directions to Kedarnath.|मार्गे यः कोऽपि अमिलत्, तं सः केदारनाथमार्गम् अपृच्छत्।
मन में भगवान शिव का ध्यान करता रहता।|He kept meditating on Lord Shiva in his mind.|मनसा भगवन्तं शिवं ध्यायति स्म।
चलते चलते उसको महीनों बीत गए।|Months passed while he was walking.|चलत: तस्य मासा: व्यतीता:।
आखिरकार एक दिन वह केदार धाम पहुच ही गया।|Finally one day he reached Kedar Dham.|अन्तत: एकस्मिन् दिने स केदारतीर्थं सम्प्राप्तवान् एव।
केदारनाथ में मंदिर के द्वार 6 महीने खुलते है और 6 महीने बंद रहते है।|In Kedarnath the doors of the temple open for 6 months and remain closed for 6 months.|केदारनाथमन्दिरस्य द्वारं षण्मासान् यावत् उद्घटितं भवति षण्मासान् च यावत् पिहितं भवति। 
वह उस समय पर पहुचा जब मन्दिर के द्वार बंद हो रहे थे।|He reached at the time when the doors of the temple were closing.|स तस्मिन्नेव काले आगत: यदा मन्दिरद्वारस्य पिधानकालः आसीत्।
पंडित जी को उसने बताया  वह बहुत दूर से महीनों की यात्रा करके आया है।|He told Panditji that he had come from a long distance after traveling for months.|स पण्डितवर्यं ज्ञापितवान् यत् स मासेभ्यः यात्रां कृत्वा बहुदूरतः आगतोऽस्ति।
पंडित जी से प्रार्थना की - कृपा कर के दरवाजे खोलकर प्रभु के दर्शन करवा दीजिये।|Request to Pandit ji - Please open the doors and let me have darshan of the Lord.|पण्डितवर्यं प्रार्थयत -  अनुगृह्य द्वारमुद्घाट्य प्रभुदर्शनं मां कारयतु।
लेकिन वहां का तो नियम है एक बार बंद तो बंद।|But the rule there is that once it's closed, it's closed.|परन्तु तत्रत्यः तु नियमः अस्ति। एकवारं पिहितं चेत् पिहितम्।
नियम तो नियम होता है।|A rule is a rule.|नियम: तु नियमो भवति।
वह बहुत रोया।|He cried a lot.|स बहु अरोदत्।
