शुभास्ते पन्थानः सन्तु।|May your paths be auspicious.|आपके मार्ग शुभ हों।
प्रयाणसमये सम्यक् मार्गः अवलोकनीयः।|During  travel correct (proper) path should be sought.|यात्रा के समय सही मार्ग देखा जाना चाहिए।
सत्यं वद धर्मं चर।|Speak the truth, follow the dharma.|सत्य बोलो धर्म का पालन करो।
सत्यान्न प्रमदितव्यम्।|Do not neglect the Truth.|सत्य के विषय में कभी प्रमाद मत करो।
गणेशपूजनं सदा आदौ भवति।|The worship of Ganesha always happens first.|गणेश की पूजा हमेशा सबसे पहले होती है।
बालानां रोदनं बलम्।|For children crying is (their) strength.|बच्चों का रोना ही उनकी शक्ति है।
धैर्यधरणं बहु आवश्यकं जीवने।|Maintaining patience (courage) is very essential in life.|जीवन में धैर्य बनाए रखना बहुत आवश्यक है।
विनम्रता ज्ञानस्य सङ्केतं ददाति।|Humility gives a indication of knowledge.|विनम्रता ज्ञान का संकेत देती है।
सः किम् अभाषत।|What did he say?|उसने क्या कहा। 
तव तातोऽपि न जानीते किल अस्मिन् विषये।|Even your father does not know about this matter, isn’t it?|इस विषय में तुम्हारे पिता भी नहीं जानते ना।
तिरुपतिमन्दिरम् अपश्यन् किं भवन्तः।|Have you seen the Tirupati temple?|क्या आपने तिरुपति मंदिर देखा है। 
षट्पञ्चाशत् श्वेतवर्णीयाः गावः वनात् प्रत्यागच्छन्ति।|Fifty-six white cows are returning from the forest.|छप्पन श्वेत गायें जंगल से वापस आ रही हैं।
रिक्तेऽस्मिन् क्षेत्रे वृक्षान् आरोपयाम।|Let us plant trees in this empty field.|चलो इस खाली क्षेत्र में पेड़ लगाएँ।
तैलशोधनोद्योगः स्थाप्यते अस्मन्नगरे।|An oil refinery is being established in our city.|हमारे शहर में एक तेल शोधन उद्योग स्थापित हो रहा है।
मम अर्हता अस्ति किमत्र।|Do I have the eligibility for this?|क्या मेरे पास इसके लिए अर्हता है। 
दुर्गुणैः परिपूर्णः अहम्।|I am full of bad qualities.|मैं दुर्गुणों से भरा हुआ हूँ।
६३ नारङ्गवृक्षाः सन्त्युद्याने।|There are 63 orange trees in the garden.|बगीचे में ६३ नारंगी के पेड़ हैं।
ज्ञानस्य प्रसारः सर्वदा भवतु।|May the dissemination of knowledge always happen.|ज्ञान का प्रसार हमेशा होता रहे।
सूर्यः क्षितिजे अस्ति।|The sun is on the horizon.|सूरज क्षितिज पर है।
महायन्त्रैः पर्यावरणनाशः अभवत्।|Environmental destruction has occurred due to  large machines.|बड़े यंत्रों द्वारा पर्यावरण का नाश किया गया है।
नास्ति मे जिगमिषा।|I have no desire to go.|मेरी जाने की इच्छा नहीं है।
कर्मण्यता एव जीवनम्।|Activity indeed is life.|सक्रियता ही जीवन है।
अकर्मण्यता एव मृत्युः।|Inactivity is indeed death.|निष्क्रियता ही मृत्यु है।
रामादिवत् प्रवर्तितव्यम्।|One should behave like Rama (and the like)|राम जैसे लोगों  की तरह का आचरण करना चाहिए।
रावणादिवत् न प्रवर्तितव्यम्।|One should not behave like Ravana ( and the like).|रावण जैसे लोगों की तरह आचरण नहीं करना चाहिए।
कोकिलः उषसि आम्रे उपविश्य कूजति।|The cuckoo sits on the mango tree in the morning and sings.| कोयल सुबह आम के पेड़ पर बैठकर गाती है।
सप्त चित्राणि विरचितानि तया।|Seven pictures (paintings) were created by her.|उसके द्वारा सात चित्र बनाए गए।
विषयमेनं बोधयितुमेवास्ति एषः शिक्षकः।|This teacher is here only to teach this subject.|यह शिक्षक केवल इस विषय को पढ़ाने के लिए है।
योगासनाभ्यासं करोमि प्रतिदिनम्।|I practice yogaasana daily.|मैं प्रतिदिन योगाभ्यास करता हूँ।
