Hindi|English|Sanskrit
राम और श्याम आपस में पन्द्रह मिनट से बात कर रहे है।|Ram and Shyam have been talking to each other for fifteen minutes.|राम: श्याम: च पञ्चदशनिमेषान् परस्परं वार्त्तालापं कुरुत:।
तुम दोनों तीन घंटे से पढ़ रहे हो।|Both of you have been studying for three hours.|युवां होरात्रयम् अधीयाथे।
हमदोनों सुबह से पढ़ रहे हैं।|Both of us have been studying since morning.|आवां प्रातःकालम् अधीवहे।
मैं इस स्कूल में २०१८ से पढ़ रहा हूं।|I am studying in this school since 2018.|अहम् अस्मिन् विद्यालये अष्टादशाधिकानि द्विसहस्राणि वर्षाणि अध्यापये।
हमलोग संस्कृत संभाषण संस्थान में तीन महिनों से संस्कृत सीख रहे हैं।|We have been learning Sanskrit for three months in Sanskrit Sambhaav Sansthan.|वयं संस्कृत-संभाषण-संस्थाने मासत्रयं संस्कृतम् अधीमहे।
राधा सोमवार से एक चित्र बना रही है।|Radha has been making a picture since Monday.|राधा सोमवासरम् चित्रणमेकं करोति।
तुम बिना काम के दो घंटे से क्यों घुम रहे हो?|Why are you wandering for two hours without work?|अकारणम् त्वं होराद्वयं किमर्थं भ्रमसि?
मेरे ससुर पिछले सप्ताह से बीमार है।|My father-in-law has been ill since last week.|मम श्वसुर: गतसप्ताहं रुग्णोऽस्ति।
मैं दो दिनों से व्यस्त हूं।|I have been busy for two days.|अहं दिनद्वयं व्यस्तोऽस्मि।
तुम सब एक घंटे से टी वी देख रहे हो।|You all have been watching TV for an hour.|यूयं होरैकं दूरदर्शनं पश्यथ।
वे सब दो वर्षो से यहां नहीं रह रहे हैं।|All of them have not been living here for two years.|ते वर्षद्वयम् अत्र न निवसन्ति।
लॉकडाउन के कारण विद्यार्थी डेढ़ वर्षों से विद्यालय नहीं जा रहे हैं।|Due to the lockdown, students have not been going to school for one and a half years.|राजकीयसंरोधै: छात्रा: सार्धैकं वर्षं विद्यालयं न गच्छन्ति।
वे लोग चार बजे से इस मैदान में खेल रहे हैं।|They have been playing on this ground since four o'clock.|ते चतुर्वादनम् अस्मिन् खेलक्षेत्रे खेलन्ति।
बीमार होने के कारण यह बच्चा सुबह से कुछ नहीं खा रहा है।|Due to being ill, this child has not been eating anything since morning.|एष शिशु: रुग्णपीडितेन प्रात:कालं किमपि न खादति।
भयंकर गर्मी के कारण हम लोग दो घंटे से पीपल के पेड़ के नीचे बैठकर आराम कर रहे हैं।|Due to the severe heat, we have been sitting and resting under the Peepal tree for two hours.|भीषणै: निदाघै: वयं होराद्वयम् अश्वथवृक्षस्य अध: उपविश्य विश्रामं कुर्म:।
कमल के फूल का दिवाली पूजा में विशेष महत्त्व।|Lotus flower has special importance in Diwali puja.|दीपावलीपूजायां पद्मपुष्पस्य विशिष्टं: महत्त्वम्।
अगर आप माँ लक्ष्मी को प्रसन्न करना चाहते है तो इनकी पूजा में कमल के फूल का इस्तेमाल करे।|If you want to please Goddess Lakshmi, then use lotus flower in her worship.|यदि भवान् मातरं लक्ष्मीं प्रसन्नां कर्तुम् इच्छति तर्हि तस्या: पूजायां पद्मपुष्पस्य प्रयोगं कुर्यात्।
ऐसा करने से घर में सुख समृद्धि आती है और आर्थिक संकट दूर हो जाते है।||एवं करणेन गृहे सुखसमृद्धि: आयाति आर्थिकसंकट: च दूरीभवति।
अगर आपके जीवन में हमेशा धन की परेशानी बनी रहती है तो माँ लक्ष्मी की पूजा करते समय कमल के फूल की भी पूजा करें।|If there is always a financial problem in your life, then while worshiping Goddess Lakshmi, also worship the lotus flower.|यदि भवत: जीवने सर्वदा धनसमस्या भवेत् तर्हि भगवत्या: लक्ष्म्या: पूजनं कुर्वन् पद्मपुष्पस्यापि पूजनं कुर्यात्।
अगर सत्ताईस दिन तक रोज एक कमल का फूल लक्ष्मी जी को अर्पित किया जाय तो अखंड राज्य सुख की प्राप्ति होती है।|If a lotus flower is offered to Goddess Lakshmi every day for twenty-seven days, one attains eternal happiness.|यदि सप्तविंशतिदिनानि यावत् प्रतिदिनं देव्यै लक्ष्म्यै एकस्य पद्मपुष्पस्य अर्पणं कुर्यात् तर्हि अखण्डराज्यसुखस्य प्राप्ति: भवेत्। 
यंहा पर कमल के फूल सस्ते दामों पर उपलब्ध है।|Lotus flowers are available here at cheap prices.|अत्र पद्मपुष्पाणि अल्पमूल्येन उपलभ्यन्ते।
