Hindi|English|Sanskrit
तराई की अनमोल खूबसूरती को समेटे है उत्तर प्रदेश के लखीमपुर खीरी जिले का दुधवा टाइगर रिज़र्व जो अनेको जंगली जीवों का आश्रय स्थल है।|Dudhwa Tiger Reserve of Lakhimpur Kheri district of Uttar Pradesh encompasses the priceless beauty of the Terai, which is a shelter for many wild animals.|उत्तरप्रदेशस्य लखीमपुरखीरी-मण्डलस्य दुधवाव्याघ्रसंरक्षणक्षेत्रं यत् अनेकेषां वन्यजीवानां आश्रयस्थलमस्ति तरायीक्षेत्रस्य अमूल्यं सौन्दर्यं व्याप्नोति।
टूरिस्ट को यहाँ की दुधवा रेंज, सोनारीपुर रेंज व सठियाना रेंज में जंगल सफारी करायी जाती है।|Tourists are given jungle safari in Dudhwa Range, Sonaripur Range and Sathiana Range.|(वनविभागेन) पर्यटका: अत्रत्या: दुधवास्थानस्य, सोनारीपुरस्थानस्य च सठियानास्थानस्य च वनक्षेत्रे परिभ्राम्यन्ते।
ये क्षेत्र प्राकृतिक सौन्दर्य से भरे पड़े है जिनमे मुख्य रूप से बाँके ताल,भदरौला ताल, ककरहा ताल, छोटा बाँके, शेर कुआ, आम चौराहा, चीतल चौराहा, शेर कुआं, घूम रोड, मदरैया मचान,एस0डी0 सिंह रोड व गुलरीघाट आदि।|These areas are full of natural beauty which mainly include Banke Tal, Bhadraula Tal, Kakarha Tal, Chhota Banke, Sher Kua, Aam Chauraha, Chital Chauraha, Sher Kuan, Ghoom Road, Madraiya Machan, SD Singh Road and Gulrighat etc.|एतानि क्षेत्राणि प्राकृतिकसौन्दर्येण परिपर्णानि सन्ति येषु मुख्यरूपेण बाँके ताल,भदरौला ताल, ककरहा ताल, छोटा बाँके, शेर कुआ, आम चौराहा, चीतल चौराहा, शेर कुआं, घूम रोड, मदरैया मचान, एस.डी. सिंह रोड व गुलरीघाट इत्यादय: मार्गा: सन्ति।
इसके अलावा सुहेली नदी व नकहुआ नदी जंगल से होकर गुजरती है, जो अनेको जानवरो की प्यास बुझाने का कार्य करती है।|Apart from this, Suheli River and Nakhua River pass through the forest, which quench the thirst of many animals.|एतदतिरिच्य सुहेलीनदी नकहुआनदी च एते नद्यौ वनमार्गेण /वनमतिक्रम्य प्रवहत:, ये अनेकेषां पशूनां तृष्णां निवारयितुं कार्यं कुरुत:।
इसके अलावा सुहेली नदी व नकहुआ नदी जंगल से होकर गुजरती है, जो अनेको जानवरो की प्यास बुझाने का कार्य करती है।|Apart from this, Suheli River and Nakhua River pass through the forest, which quench the thirst of many animals.|एतदतिरिच्य सुहेलीनदी नकहुआनदी च एते नद्यौ वनमार्गेण /वनमतिक्रम्य प्रवहत:, ये अनेकेषां पशूनां तृष्णां निवारयितुं कार्यं कुरुत:।
इन नदियों में बड़ी संख्या में मगरमच्छ पाए जाते है।|Crocodiles are found in large numbers in these rivers.|एतासु नदीषु बहव: मकरा: दृश्यन्ते।
इसके अलावा ऊदबिलाव व कई प्रकार के कछुओं को भी इन नदियों में देखा जा सकता है।|Apart from this, otters and many types of turtles can also be seen in these rivers.|एतदतिरिच्य उदविडाला: अनेकप्रकारका: कच्छपा: अपि एतासु नदीषु द्रष्टुं शक्यन्ते।
यहाँ पर बाघ, तेंदुआ, हाथी, भालू व गैंडा के अलावा हिरणों की पांच प्रजातियां व अन्य बहुत से जीव जंतु भी पाए जाते है।|Apart from tiger, leopard, elephant, bear and rhinoceros, five species of deer and many other animals are also found here.|अत्र व्याघ्रा: च तरक्षव: च गजा: च भल्लुका: चातिरिच्य पञ्चप्रजातय: मृगा: बहव: च जीवजन्तव: अपि प्राप्यन्ते।
साथ ही यहाँ 400 से ज्यादा प्रकार के पक्षी भी पाए जाते है।|Besides, more than 400 types of birds are also found here.|सहैव अत्र चतुश्शताधिकप्रकाराः खगा: अपि प्राप्यन्ते।
दुधवा घूमने के हिसाब से हर माह का अपना एक अलग मजा है।|Every month has its own fun to visit Dudhwa.|दुधवायां भ्रमणाय प्रत्येकं मासस्य स्वकीयम् एकं पृथक् आनन्दमस्ति।
सैलानियों के लिए पार्क 15 नवंबर से 15 जून तक खुला रहता है।|The park remains open for tourists from 15 November to 15 June.|पर्यटकेभ्य: वनोद्यानं नवम्बरमासस्य पञ्चदिवसात् जूनमासस्य पञ्चदशदिवसं यावत् उद्घाटितमस्ति।

आज का विचार जानो पढ़ो और अनुकरण करो।|Know, read and imitate today's thought.|अद्यतनं विचारं जानीत,पठत अनुकुरुत च।
जीवन में सफल होना है तो चार वाक्यों को कचरे के डिब्बा में डाल दो।|If you want to be successful in life, throw these four sentences in the dustbin.|जीवने साफल्यमिच्छत चेत् चत्वारि वाक्यानि अवकरपेटिकायां क्षिपत।
एक, लोग क्या कहेंगे?|One, what will people say?|प्रथमवाक्यम्, जना: किं वदिष्यन्ति?
दूसरा, मुझसे नहीं होगा।|Second, I can't.|द्वितीयवाक्यम्, मया न शक्यते।
तीसरा, मेरा मूड नहीं है।|Third, I'm not in the mood.|तृतीयवाक्यम्, मम मनोदशा सम्यक् न।
और चार, मेरी किस्मत ही खराब है।|And four, I have bad luck.|अपि च चतुर्थवाक्यम्, मम भाग्यमेवानुकूलं न।
