Sanskrit|English|Hindi
नमः अस्तु हेमाम्बुज-पीठिकायै।|Obeisance to the one with golden lotus seat.|स्वर्ण कमल आसन वाली को नमस्कार।
नमः अस्तु भू-मण्डल-नायिकायै।|Obeisance to the goddess of the globe.|विश्व की देवी को प्रणाम।
नमः अस्तु देवादि-दया-परायै।|Obeisance to the one merciful to the devas.|देवताओं पर दया करने वाली को नमस्कार।
नमः अस्तु शार्ङ्गायुध-वल्लभायै।|Obeisance to the one dear to Vishnu, the holder of the Śārṅga bow.|शारंग धनुष धारक विष्णु के प्रिय को नमस्कार।
प्रकाशसिंहः पुस्तकं लिखति।|Prakash Singh writes a book.|प्रकाशसिंह पुस्तक लिखता है।
मम पुत्रिकायै गजं रोचते।|My daughter likes elephants.|मेरी बेटी को हाथी पसंद है।
पुरुषः उद्यमेन कार्यसिद्धिम् आप्नोति।|A man achieves success through effort.|एक पुरुष उद्यम से काम में सफलता प्राप्त करता है।
नदी माता इव जन्तून् पालयति।|The river nourishes creatures like a mother.|नदी माँ की तरह जीवों का पोषण करती है।
वृक्षः सत्सु अग्रगणी वर्तते।|The tree is the first among the virtuous.|पेड़ सज्जनों में अग्रगणी है।
अर्जुनः धनुः उद्यम्य परीक्षते।|Arjuna watch around after lifting the bow.|अर्जुन धनुष् उठाकर चारों ओर देखता है।
मम नाम्ना पर्वताः कम्पन्ते।|Mountains tremble at my name.|मेरे नाम से पहाड़ कापते हैं।
मम भार्य्यया अहं कम्पे।|I tremble in front of my wife.|मेरी पत्नी से मैं कांपता हूँ।
धार्म्मिकः आत्मानं न अवसादयति।|The righteous one does not depress oneself.|धार्मिक व्यक्ति स्वयं को अवसाद नहीं देता।
यदा सुवर्णा चलति तदा राहुलः अनुगच्छति।|When Suvarna moves, then Rahul follows.|जब सुवर्णा चलती है, तब राहुल उसके पीछे चलता है।
प्रतिदिवसं अस्तं गतः रविः अस्माकं जीवनस्य एकं दिवसं स्वीकृत्यैव गच्छति।|Sun sets everyday, taking away some part of our life.|सूरज हर रोज़ डूबता है, हमारे जीवन का कुछ हिस्सा छीन लेता है।
अतः सर्वदा विचिन्त्यम् अस्माभिः यत् किमपि समीचीनं कार्यं कृतं वा न वा।|Knowing this, everyday one should reflect on whether or not he or she has done any noble deed on that day.|यह जानकर प्रतिदिन व्यक्ति को इस बात का चिंतन करना चाहिए कि उस दिन उसने कोई नेक कार्य किया है या नहीं।
