Hindi|English|Sanskrit
कभी सोचा है भगवान कृष्ण का स्वरूप हमें क्या सिखाता है।|Have you ever wondered what the avtara of Lord Krishna teaches us?|किं भवता कदापि चिन्तितम् यत् भगवतः श्रीकृष्णस्य रूपम् अस्मान् किं पाठयति?
क्यों भगवान जंगल में पेड़ के नीचे खड़े बांसुरी बजा रहे हैं, मोरमुकुट पहने,शरीर पर पीला वस्त्र, गले में वैजयंती की माला, साथ में राधा, पीछे गाय।|Why is God playing the flute standing under a tree in the forest, wearing peacock crown, yellow clothes on his body, Vaijayanti garland around his neck, Radha along with him, cow behind him.|किमर्थं भगवान् वने वृक्षस्य अध: स्थितो भूत्वा वेणीवादनं करोति? मयुरमुकुटं धृतवानस्ति। शरीरे पीतवस्त्रं धृतवानस्ति। ग्रीवायां वैजयन्तीमाला अस्ति। तस्य पार्श्वे राधा पृष्ठतश्च धेनु:।
कृष्ण की यह छवि हमें क्या प्रेरणा देती है?|What inspiration does this image of Krishna give us?|इयं कृष्णप्रतिमा अस्मेभ्य: कां प्रेरणाम् अयच्छति?
क्यों कृष्ण का रूप इतना मनोहर लगता है?|Why does Krishna's form look so beautiful?|कृष्णस्य रूपं किमर्थम् एतावत् सुन्दरं दृश्यते?
दरअसल कृष्ण हमें जीवन जीना सिखाते हैं।|Actually Krishna teaches us how to live life.|वस्तुतः कृष्णः अस्मभ्यं जीवनं कथं जीवितुं शक्यते इति शिक्षयति।
उनका यह स्वरूप अगर गहराई से समझा जाए तो इसमें हमें सफल जीवन के कई सूत्र मिलते हैं।|If this form of his is understood deeply, then in it we find many tips for a successful life.|तस्य अयं स्वरूप: यदि गभीरतया अवगम्येत तर्हि एतस्मिन् अस्माभि: सफलजीवनस्य अनेकानि सूत्राणि लभ्यन्ते।
विद्वानों का मत है कि भगवान विरोधाभास में दिखता है।|Scholars believe that God appears in contradiction.|भगवान् विरोधाभासरूपेण दृश्यते इति विद्वांसः मन्यन्ते।
आइए जानते हैं कृष्ण की छवि के क्या मायने हैं।|Let us know what is the meaning of the image of Krishna.|कृष्णप्रतिबिम्बस्य कः अर्थः इति ज्ञास्याम:।
भगवान के मुकुट में मोर का पंख है। यह बताता है कि जीवन में विभिन्न रंग हैं। ये रंग हमारे जीवन के भाव हैं। सुख है तो दुख भी है, सफलता है तो असफलता भी, मिलन है तो बिछोह भी। जीवन इन्हीं रंगों से मिलकर बना है।जीवन से जो मिले उसे माथे लगाकर अंगीकार कर लो। इसलिए मोर मुकुट भगवान के सिर पर है।|The Lord has a peacock feather in his crown. It tells that there are different colors in life. These colors are the emotions of our life. If there is happiness, there is sadness, if there is success, there is failure, if there is union, there is separation. Life is made up of these colors. Whatever you get from life, accept it wholeheartedly. That's why the peacock crown is on the head of the Lord.|भगवतो मुकुटे मयूरपक्षोऽस्ति। अयं ज्ञापयति यत् जीवनस्य विविधा: वर्णाः सन्ति। एते वर्णा: अस्माकं जीवनस्य अङ्गभूता: सन्ति। यदि सुखं स्यात् तर्हि दुःखमपि स्यात्, यदि साफल्यं स्यात् तर्हि असाफल्यमपि स्यात्, यदि मेलनं स्यात् तर्हि विरहोऽपि स्यात्। जीवनं एतैः वर्णैः निर्मितमस्ति। जीवनात् यत् किमपि लभ्यते तत् स्वकीयेण हृदयेण स्वीकुरोतु। अत एव मयूरमुकुटो भगवत: शिरसि राजते।
भगवान बांसुरी बजा रहे हैं, मतलब जीवन में कैसी भी घडी आए हमें घबराना नहीं चाहिए। भीतर से शांति हो तो संगीत जीवन में उतरता है। ऐसे ही अगर भक्ति पानी है तो अपने भीतर शांति कायम करने का प्रयास करें।|God is playing the flute, which means no matter what happens in life, we should not panic. If there is peace from within, music comes into life. Similarly, if devotion is water then try to maintain peace within yourself.|भगवान् मुरलीं वादयति अर्थात् जीवने यादृशोऽपि समय: आगच्छेत् चेदपि अस्माभि: आतङ्कितेन न भवितव्यम्। यदि अन्त:करणे शान्ति: स्यात् तर्हि जीवने सङ्गीतवत् माधुर्यं जायेत। एवमेव यदि भक्तिं लब्धुमिच्छेत् तर्हि स्वकीयस्य अन्त:करणे शान्तिं स्थापयितुं प्रयतताम्।
