Hindi|English|Sanskrit
जो मनुष्य दान नहीं करता वह त्यागी है।|The man who does not donate is a renunciant.|अदाता पुरुषः त्यागी (भवति)।
वह पैसे को पीछे छोड़ देता है।|He leaves behind the money.|धनं सन्त्यज्य गच्छति।
मुझे लगता है दान देने वाला कंजूस है।|I think the donor is a miser.|दातारं कृपणं मन्ये।
मरने के बाद भी वह धन का त्याग नहीं करता।||मृतः अपि अर्थं न मुञ्चति।
मतलब केवल दान किए गए धन का स्वर्ग में आनंद लेने के लिए दान करता है दूसरों के कल्याण के लिए नहीं।|Meaning, even after he dies, he does not give up wealth (Only donates for enjoying the donated wealth in heaven and not for welfare of others).|इत्युक्ते स्वर्गे दत्तं धनं भोक्ष्ये इति विचिन्त्य स्वार्थं धनं ददाति न तु परोपकाराय।
आजकल शिक्षामंत्री के यहां उसकी चलती है।|He rules the education ministry nowadays.|अद्यत्वे शिक्षामंत्रालये तस्य दृढानुराग: अस्ति।
इससे काम नहीं चलेगा।|This won't work.|एतेन कार्यं चलितुं न शक्यते।
यह खूब चलेगा।|This will work well.|एतत् चिराय स्थास्यति।
गाड़ी चल पड़ी।|The vehicle left.|यानं प्रस्थितवत्।
खेल चल रही है।|The game is on.|इदानीं क्रीडाप्रतियोगिता चलति।
नाड़ी चल रही है।|The pulse is going on.|नाडी चलति।
उसका इलाज चल रहा है।|He is getting treated.|तस्य उपचार: प्रवर्तमान: अस्ति।
उसका पेट चल रहा है।|He has diarrohea.|तस्य अतिसार: अस्ति।
उसकी जुबान कैंची की तरह चलती है।|His tongue is sharp.|स सदैव कटुवचनं वदति।
यह रुपया चलेगा।|This money note will do.|एतत् रूप्यकं विनिमेयम् अस्ति।
यह रुपया चलेगा।|This money note will do.|एषा मुद्रा विनिमेया अस्ति।
