sanskrit|english|hindi
तव तिलकस्य कः वर्णः।|What is the color of your tilak?|तुम्हारे तिलक का रंग क्या है । 
वर्षाजलं वृक्षेभ्यः गुणकरं भवति।|Rainwater is beneficial for the trees.|वर्षा का जल वृक्षों के लिए लाभदायक होता है।
तेन सर्वाः रोटिकाः धेनुभ्यः खादिताः।|All the rotis were fed to the cows by him.|उसके द्वारा सभी रोटियां गायों को खिलाई गईं।
अनुभवनानि कथयन्ति सर्वे।|Everyone shares their experiences.|सभी अपने अनुभव बताते हैं।
केचन विशेषविचाराः उपस्थाप्यन्ते।|Few special ideas are being presented.|कुछ विशेष विचार प्रस्तुत किए जा रहे हैं।
भवद्भिः विषयोऽयं विव्रियते।|This subject is being discussed by you all.|इस विषय की आप सभी के द्वारा चर्चा की जा रहा है।
माम् अनुकुर्वद्भिः युष्माभिः दोषः कृतः।|A mistake was made by you all imitating me.|तुम सब के द्वारा मेरा अनुकरण करने में त्रुटि की गई।
कृषिकार्यं सर्वोत्तमं वर्तते।|Agriculture is the best work.|कृषि कार्य सबसे उत्तम है।
गोमये वसति लक्ष्मीः।|Lakshmi resides in gaumay.|गोबर में लक्ष्मी का वास होता है।
काचित् वार्ता अश्रूयत मया त्वद्विषये।|I heard some news about you.|मैंने आपके बारे में कोई बात सुनी है।
वानरप्रवरध्वजः|one whose flag has foremost of the vanaras|
हस्तावापः|Gloves|
कुण्डलीका|jilebi|
वृष्टिः तडागम् आपूरयति|Rain fills the pond|
अश्मसारमयः सः विचेष्टः अतिष्ठत्|He stood stunned as if made of iron|
शंङ्खघोषेण आपूरयत् दिशः।||शंखघोष से दिशाओं को भर दिया।
रोदितव्ये प्रहर्षति|At the occasion of crying, he is feeling happy.|
देवकीमातृकः|krishna, whose mother is Devaki|
मयि तिष्ठति|when i am here|मेरे रहते हुए
अगारदाही||घर जलाने वाल
अहम् एनं गृहाद् बहिः निष्कृष्य विक्षिपामि|I throw him out of the house|मैं इसे घर से निकाल फेंकता हूँ
वयं विनिकृता राजन् सदा गाण्डीवधन्वना।|Oh lord we have always been insulted by Arjuna|
न शेमहि सदा निशि|We never sleep at nights|हमें रातों में कभी नहीं सोते
भारतीयज्ञानपरम्परा अनुरक्षणीया।|The Indian knowledge tradition is to be preserved.|भारतीय ज्ञान परंपरा का संरक्षण करना चाहिए।
मातुः सीतायाः रक्षणाय जटायुः अयुद्ध्यत्।|Jatayu fought to protect Mother Sita.|जटायु ने माता सीता की रक्षा के लिए युद्ध किया।
समुद्रतीरे प्राप्ताः हनुमानादयः।|Hanuman and others reached the seashore.|हनुमान और अन्य समुद्र तट पर पहुंचे।
ईषद् चिन्तयित्वा वदेयम्।|I should speak after thinking a little bit.|मुझे थोड़ा सोचकर बोलना चाहिए।
अद्यैवागच्छेत् सः।|He might come today itself.|वह आज ही आ सकता है।
कलिमलहारिणे कृष्णाय नमः।|Salutations to Krishna, the remover of Kali's impurities.|कलिमल को हरने वाले कृष्ण को नमस्कार।
वर्तमानासु अष्टगोणिषु यवः अस्ति।|There is barley in (those) placed eight sacks.|रखी हुई आठ बोरियों में जौ है।
त्वाम् अस्तित्वविहीनां करिष्ये।|I will crush you.|मैं तुम्हें अस्तित्वहीन कर दूंगा।
रामासुरेषु घोरं युद्धं प्रवृत्तम्।|A fierce battle took place between Rama and the demons.|राम और असुरों के बीच घोर युद्ध हुआ।
युष्मभ्यं ददामि अहं इमाः रोटिकाः।|I am giving these rotis to you all.|मैं ये रोटियाँ तुम सभी को देता हूँ।
त्वां न पश्यामि। कच्चिज् जीवति?|I do not see you. Are you alive?|तुम्हें नहीं देख रहा। क्या जीवित हो?
