Sanskrit|English|Hindi
मुम्बै देशे रसायनवस्तु निर्माणशालायां विस्फोटः।|Explosion at a chemical factory in Mumbai.|मुंबई में एक केमिकल फैक्ट्री में धमाका।
६० जनाः व्रणिताः।|60 people were wounded.|60 लोग घायल हो गए।
मुम्बै> ताने डोंबिवाली देशे रसायन-वस्तु-निर्माणशालायां विस्फोटः जातः।|Mumbai - An explosion has occurred at a chemical factory in Tane Dombiwali.|मुंबई - ताने डोंबिवली में एक केमिकल फैक्ट्री में धमाका हो गया है।
मुम्बै> ताने डोंबिवाली देशे रसायन-वस्तु-निर्माणशालायां विस्फोटः जातः।|Mumbai: An explosion has occurred at a chemical factory in Tane Dombiwali.|मुंबई - ताने डोंबिवली में एक केमिकल फैक्ट्री में धमाका हो गया है।
८ जनाः मृताः।|8 people died.|8 लोगों की मौत हो गई।
मध्याह्ने १ः३० वादने आसीत् स्फोटः।|The explosion occurred at 1:30 p.m.|विस्फोट दोपहर 1:30 बजे हुआ।
निर्माणशालातः विस्फोट त्रयः विस्फोटाः जाताः इति दृक्साक्षिणः वदन्ति।|Witnesses say the blast from the construction site was caused by three blasts.|प्रत्यक्षदर्शियों का कहना है कि निर्माण स्थल पर तीन विस्फोट हुए।
रक्षा-प्रवर्तनानि अनुवर्तन्ते।|Defense initiatives follow.|रक्षा पहल का पालन हो रहे हैं।
मुख्यमन्त्री एकनाथषेन्दे अपघातस्थानं सन्दृष्टवान्।|Chief Minister Eknath shinde visited the accident site.|मुख्यमंत्री एकनाथशेंडे ने दुर्घटनास्थल का दौरा किया।
मृतानां कुटुम्बेभ्यः पञ्चलक्षं रूप्यकाणि समाश्वासरूपेण प्रदास्यते इति तेनोक्तम्।|He said Rs 5 lakh would be paid to the families of the deceased as compensation.|उन्होंने कहा कि मृतकों के परिजनों को मुआवजे के तौर पर 5 लाख रुपये दिए जाएंगे।
ब्रिटने जूलाय् चतुर्थदिनाङ्के सामान्यनिर्वाचनम्।|General elections in the UK on the 4th of July.|ब्रिटेन में 4 जुलाई को आम चुनाव।
लण्टनं> ब्रिटने प्रधानमन्त्री ऋषि सुनकः सामान्यनिर्वाचनं उदघोषयत्।|LONDON> UK Prime Minister Rishi Sunaka has announced general elections.|लंदन> ब्रिटेन के प्रधानमंत्री ऋषि सुनका ने आम चुनाव की घोषणा कर दी है।
जूलाय् मासस्य चतुर्थदिनाङ्के निर्वाचनं भविष्यति।|The election will be held on the 4th of July.|चुनाव 4 जुलाई को होगा।
मेय् मासस्य ३० तमे दिनाङ्के वर्तमानप्रशासनं निवर्तिष्यते।|The current administration will retire on May 30th.|वर्तमान प्रशासन 30 मई को सेवानिवृत्त हो जाएगा।
किन्तु वर्तमानप्रशासनस्य कालपरिमाणाय मासाः अवशिष्यन्ते।|But the current administration will have months to spare.|लेकिन मौजूदा प्रशासन के पास अभी कुछ महीने बाकी होंगे।
ऋषि सुनकेन नेतृत्वमावहतः 'कण्सर्वेटीव् पार्टि' नामकदलस्य अधीशत्वे एव वर्तमानं प्रशासनं वर्तते।|The current administration is dominated by the Conservative Party led by Rishi Sunak.|वर्तमान प्रशासन पर ऋषि सुनके के नेतृत्व वाली कंजर्वेटिव पार्टी का वर्चस्व है।
किन्तु दलस्य जनप्रीतिः अपचीयते इति राजनैतिकनिपुणानां मतम्।|But the party's popularity is going down, according to political pundits.|लेकिन राजनीतिक पंडितों के मुताबिक पार्टी की लोकप्रियता घट रही है।
