Sanskrit|English|Hindi
यथा भवान् निर्धारयति तथैव सृष्टिः आरभ्यते।|The creation starts happening as per your resolution.|तुम जैसा संकल्प करते हो वैसे ही सृष्टि होने लगती है।
प्रत्यक्षं तु कमलमिव सुन्दरं मुखं वाण्यां चन्दनमिव शीतलता किन्तु क्रोधपूरितः हृदयः इति त्रीणि धूर्तलक्षणानि भवन्ति।|A face like a lotus (in appearance), speech as cool as sandalwood, (but) a heart full of anger - these are the three signs of a cunning person.|कमल जैसा मुख (प्रत्यक्ष में), वाणी में चंदन सी शीतलता, (परंतु) हृदय क्रोध से भरा हुआ - ये तीन धूर्त के लक्षण हैं।
मानवः बुद्ध्या भयं नाशयति।|One can win over fear by his intellect.|मनुष्य बुद्धि से भय को दूर कर सकता है।
तपसा महत् ब्रह्म प्राप्नोति।|Perceives the Supreme Lord through penance.|तपस्या से महत् (ब्रह्म) को प्राप्त करता है।
गुरोः सेवया ज्ञानं प्राप्नोति।|Obtains knowledge by serving the preceptors.|गुरु की सेवा से ज्ञान प्राप्त करता है।
तथा योगाभ्यासेन शान्तिं प्राप्नोति।|Attains peace through yoga.|और योग से शान्ति को प्राप्त करता है।
बुद्धिः भयं नाशयति।|One can win over fear by his intellect.|मनुष्य बुद्धि से भय को दूर कर सकता है।
तपसा परं ब्रह्म प्राप्यते।|Perceives the Supreme Lord through penance.|तपस्या से महत् (ब्रह्म) को प्राप्त करता है।
गुरुशुश्रूषया ज्ञानं वर्धते।|Obtains knowledge by serving the preceptors.|गुरु की सेवा से ज्ञान प्राप्त करता है।
योगाभ्यासेन शान्तिः प्राप्यते।|Attains peace through yoga.|और योग से शान्ति को प्राप्त करता है।
कृच्छ्रे वर्तते।|Fell in trouble.|संकट में पड़ गया।
यष्टिं समाश्रयति।|Takes support of the stick.|डंडे का सहारा लेता है।
द्विगुणं जवमास्थाय।|With doubled speed.|दोगुनी गति से।
कर्पटं सीव्यति।|Stitches clothes.|कपड़ा सीता है।
यत् धनं अन्यं पीडयित्वा धर्मम् उल्लङ्घ्य अथवा अपमानं सहित्वा प्राप्यते तस्मात् न कदापि सुखं प्राप्यते केनापि।|One never gets happiness from the money obtained by hurting others, violating religion or insulting oneself.|दूसरों को दु:ख देकर , धर्म का उल्लंघन करके या खुद का अपमान सहकर मिले हुए धन से कभी सुख नही प्राप्त होता।
सः परमात्मा कार्यं करोति तथापि न गच्छति न च परिवर्तते।|He (God) is active, yet immovable and unchangeable.|वह (परमात्‍मा) क्रियाशील है, फिर भी अचल और अविकारी है।
सः दूरमस्ति तथापि सामीप्यं भजते।|He is afar but also near.|वह दूर है फिर भी समीप है।
सः सर्वेषु विद्यते बहिरपि।|He is in everything and outside too.|वह इन सब में है और इन सब के बाहर भी है।
पात्रे त्यागी।|One who sacrifices for the worthy cause.|जो उचित पात्र के लिए त्याग करता है।
गुणे रागी।|Accepts the qualities of others.|दूसरों के गुणों को स्वीकार करता है।
संविभागी च बन्धुषु।|Shares his happiness and sorrow with his friends.|अपने सुख-दुःख को बंधु-बांधव के साथ बाँटता है।
शास्त्रे बोद्धा।|Acquires knowledge from the scriptures.|शास्त्रों में ज्ञान ग्रहण करता है।
रणे योद्धा।|Displays bravery in war.|युद्ध में वीरता का प्रदर्शन करता है।
सः वै पुरुषः उच्यते।|He alone is called a man in the true sense.|उसे ही सच्चे अर्थ में पुरुष कहा जाता है।
अनेकेषां संदेहानां नाशकं गूढार्थस्य प्रकाशकं शास्त्रमेव अस्माकं वास्तविकं नेत्रं न तु ते याभ्यां वयं पश्यामः।|The scriptures, which remove many doubts and reveal hidden meanings, are the real eyes of all human beings and not the eyes through which we see.|अनेक सन्देहों को दूर करनेवाला और छिपे हुए अर्थ को दिखाने वाला शास्त्र ही सब मनुष्यों की वास्तविक आँखें हैं और वह आँखें नहीं जिनके द्वारा हम देखते हैं।
