Sanskrit|English|Hindi
अहम् नमामि तं नृसिंहं महादंष्ट्रं महासटं यस्य महात्मनः रूपं नरवत् सिंहवत् च एव।|I bow down to that Nṛsiṃha who has magestic teeths and fully-developed manes, the great soul whose form is of a man and a lion.|मैं नमन करता हूँ उस नरसिंह को जिसके महान दन्त है, महान अयाल है जिस महात्मा के रूप नर एवं शेर की भाँती है।
यदा अहं किञ्चिद्ज्ञानी आसम् तदा अहं गज इव मदान्धः समभवम्।|When I was a little wise, I became pride like an elephant.|जब मैं थोड़ा समझदार हुआ तो मदमत्त हाथी जैसा हो गया।
सर्वज्ञः अस्मि इति मम मनः अवलिप्तम् अभवत्।|My mind untainted that I am omniscient.|सर्वज्ञः अस्मि इति मम मनः अवलिप्तम् अभवत्।
यदा किञ्चित् किञ्चिद् बुधजनसकाशात् अवगतं तदा मूर्खः अस्मि इति मे मदः ज्वर इव व्यपगतः।|When I learned something from the wise, my pride disappeared like a fever and understood that I was a fool indeed.|जब मैंने बुद्धिमानों से कुछ सीखा तो मेरा अभिमान ज्वर की भांति चला गया और समझ आया कि मैं सचमुच मूर्ख था।
अहं कूपजलेन स्नामि।|I bathe with well water.|मैं कुएं के पानी से नहाता हूँ।
सा मां दृष्ट्वा हसति।|She laughs upon seeing me.|वह मुझे देखकर हंसती है।
मूर्खाः उच्चैः भाषन्ते।|Fools speak loudly.|मूर्ख ऊँचा बोलते हैं।
ब्राह्मणः घोषयति शान्तिश्शान्तिश्शान्तिः।|The Brahmin proclaims "Peace, Peace, Peace."|ब्राह्मण घोषणा करता है, "शान्ति, शान्ति, शान्ति।"
अबुद्धयः बहु भाषन्ते।|The ignorant speak a lot.|अज्ञानी बहुत बोलते हैं।
कच्छपः चिरकालं जीवति।|The tortoise lives for a long time.|कछुआ बहुत लंबे समय तक जीता है।
नरः प्रतिदिनं कर्म करोति।|The man does work every day.|पुरुष हर दिन काम करता है।
चित्रकारः धनं स्वीकृत्य चित्रयति।|The artist accepts money and paints.|चित्रकार धन लेकर चित्र बनाता है।
विद्वांसः दुर्लभाः लोके।|Scholars are rare in the world.|विद्वान् लोग लोक में दुर्लभ होते हैं।
युवकाः स्वम् अतिमन्यन्ते।|Young men exalt their own.|युवा लोग अपने को बहुत समझते हैं।
वृथा न विवदेत्।|One should not argue unnecessarily.|बेकार में बहस नहीं करना चाहिए।
जीवितं बहु मन्ये अहं यद्धि जीवितं हि अद्य दुर्लभम्।|To be alive is a great thing I think as being alive has become exceedingly rare.|जीवित होना बहुत अच्छी बात है क्योंकि जीवित होना हि आजकल दुर्लभ है।
दावाग्निं जलदः शमयति।|Clouds extinguish forest fires|वन के अग्नि को मेघ शान्त करते हैं।
अनलः कक्षं दहति।|Fire burns grass.|अग्नि घास-फूंस को जलाता है।
शुचा परमया।|With extreme sadness.|परम दुःख के साथ।
संदीप्ते भवने कूपस्य खननम्।|Digging a well while the house burns.|घर जलने पर कुआं खोदना।
