Hindi|English|Sanskrit
पत्नी ने कहा, "खाने के समय दूर्दर्शन देखो मत। स्वाद नहीं कर पाओगे।"|The wife says, "Don't watch television during meals.You can't taste the stuff."|पत्नी वदति। भोजनसमये दूरदर्शनं मा पश्य।पदार्थस्य रुचिं ग्रहितुं न शक्यते भोः।
पति ने कहा, "अगर स्वाद होता तो दूरदर्शन क्यों देखता?"|The husband says, "Why would I watch television if this food is delicious"|पतिः वदति। इदं भोजनं रुचिकरं अभविष्यत् चेत् अहं किमर्थं दूरदर्शनं पश्यानि।
शीला - देखो! तुम पीछे अपने उचित स्थान पर चले जाओ।|Sheela - Look! You go back to your proper place.|शीला - हे! त्वं पृष्ठत: स्वोचितं स्थानं गच्छ।
नीलम - क्यों? मैं जहां चाहुंगी वहीं खड़ी रहुंगी।|Neelam - Why? I will stand wherever I want.|नीलमा = किमर्थम् ? यत्र अहमेषिष्यामि तत्रैव स्थास्यामि।
शीला - नहीं, तुम नहीं कर सकती। तुम धक्का देकर नहीं घूस सकती और लाईन नहीं तोड़ सकती।|Sheela - No, you can't. You cannot push and enter and cannot break the line.|शीला - नैव। त्वम् इत्थं कर्तुं न शक्नोषि। त्वं प्रणोदं कृत्वा वेष्टुं न शक्नोषि तथा पङ्क्तिभङ्गं कर्तुं न शक्नोषि।
नीलम = मैं कहती हूं कि मैं लाइन के बाहर नहीं जा सकती। क्या तुम्हें हिम्मत है कि तुम मुझे बाहर जाने के लिए कहो? ऐसी गुस्ताखी फिर मत करना।|Neelam - I say I can't go out of line. Do you dare ask me out? Don't do such a thing again.|नीलमा - अहं कथयामि यत् अहं पङ्क्त्या: बहि: निर्गन्तुं न शक्नोमि।अपि तव पार्श्वे साहसोऽस्ति यत् त्वं मां बहिर्गमनाय कथय ? एतादृशीं धृष्टतां पुनः मा कुरु।
शीला = अपने से बड़ों के साथ गुस्ताख़ी करना बंद करो। नियम तोड़ने का तुम्हें कोई अधिकार नहीं है।|Sheela - Stop being rude to your elders. You have no right to break the rules.|शीला = ज्येष्ठमहानुभावान् प्रति अशिष्टव्यवहारं मा कुरु। नियमभङ्गस्याधिकारः तव नास्ति।
नीलम = हां, मैं तोड़ूंगी।तुम्हें इससे क्या मतलब?|Neelam = Yes, I will do so. What does it got to do with you?|नीलमा = आम्!अहं करिष्यामि। अनेन तव कोऽभिप्राय:?
शीला = पुलिस को बुलाने के लिए मुझे मजबूर मत करो।|Sheela = Don't force me to call the police.|शीला = रक्षकस्य आह्वानाय मां बाध्यं मा कुरु।
नीलम = ओह। तुम मुझे डरा रही हो क्या? मैं तुम्हारी बन्दरघुड़की से नहीं डरने वाली हूं।|Neelam = Oh. Are you scaring me? I am not afraid of your monkey talk.|नीलमा = ओह!त्वं मां भीषयसि वा? अहं तव अनावश्यकभर्त्सनया न बिभेमि।
शीला = तुम तो असली बाघिन लगती हो।जरा ठहरो।अभी मैं तुमको सबक सिखाती हूं।|Sheela = You look like a real tigress. Just wait. Now I will teach you a lesson.|शीला = त्वं तु खलु व्याघ्रा प्रतीयते।किञ्चितक्षणाय तिष्ठतु।इदानीम् अहं त्वां पाठं पाठयामि।
नीलम = तुम मुझे इस तरह धमका नहीं सकती। मैं डरने वाली नहीं हूं।|Neelam = You can't threaten me like this. I am not afraid.|नीलम = त्वं माम् इत्थं भाययितुं न शक्नोषि। अहं न बिभेमि।
शीला = तुम मुझसे टक्कर नहीं ले सकती।तुम इस तरह भौंहे क्यों चढ़ा रही हो ?अब बहुत हो गया।अब मैं इस अपमान को बर्दाश्त नहीं कर सकती।|Sheela = You can't compete with me. Why are you frowning like this? It's enough now. I can't tolerate this insult anymore.|शीला = त्वं मया सह द्वन्द्वं कर्तुं न शक्नोषि।त्वम् इत्थं किमर्थं क्रुद्धो भवसि ? इदानीं मया सह अति भूयते।इत्थमपमानं अहं न सहे।
शीला(चिल्लाती हुई)= पुलिस , पुलिस।|Sheela (screaming)= Police, police.|शीला(क्रन्दन्ती)=हे रक्षक! हे रक्षक
पुलिस(नीलम से) =  सुनिए। नियम से ऊपर कोई नहीं है। लाइन का नियम तोड़कर आगे आने का अधिकार किसी को नहीं है। यदि सभी कोई लाइन लगाकर काम करेगा, सभी का काम बहुत जल्दी हो जायेगा।|Police (to Neelam) - Listen. No one is above the rules. No one has the right to break the rule of line and come forward. If everyone works in a line, everyone's work will be done very quickly.|आरक्षक:(नीलमं)=महिले!नियमस्य ऊपरि कापि नास्ति।पङ्क्ते: नियमभङ्गं कृत्वा पङ्क्त्या: अतिक्रमणस्य अधिकार: कस्याश्चिद् नास्ति। यदि सर्वा: पङ्क्तिबद्धाः भूत्वा कार्यं करिष्यन्ति, तर्हि सर्वासां कार्यं शीघ्रमेव भविष्यति।
सिपाही(फिर से बोलते हुए) = अगर आप नियम तोड़कर काम करोगी, तो आपको ऐसा करते देख कर दूसरा कोई भी नियम तोड़कर अपना काम करना चाहेगा। मैं आपसे प्रार्थना करता हूं कि आप लाइन के अनुसार अपने स्थान पर चले जाइए, नहीं तो मुझे आपके साथ सख्ती से पेश आना होगा।|Policeman (speaking again) = If you work by breaking the rules, then seeing you doing so, anyone else will want to do their work by breaking the rules. I request you to move to your place as per the line, otherwise I will have to deal strictly with you.|आरक्षक:(पुनः) = भवती नियमभङ्गं करिष्यति चेत् अपराः अपि भवतीमनुपालयिष्यन्ति। अतः अहं भवते निवेदयामि यत् भवती पङ्क्त्यानुसारं स्वस्थानं गच्छतु, अन्यथा मया बाध्यो भूत्वा भवत्या सह कठोरव्यवहार: करणीय:।
वहां कितनी जगह है?|How much place is there?|तत्र कियत् स्थानमस्ति?
इस बर्थ पर जगह नहीं है।|There is no place in this berth.|अस्यां शायिकायां किमपि स्थानं नास्ति।
