Sanskrit|English|Hindi
वीरः अर्थैः विना अपि बहुमानोन्नतिपदं स्पृशति।|A warrior obtains the position of great honor even without wealth.|एक वीर धन के बिना भी महान सम्मान का पद प्राप्त करता है।
कृपण: अर्थैः समायुक्तः अपि परिभवपदं याति।|The Miserable, even if equipped with wealth, falls in dignity.|कंजूस, धन से सुसज्जित होने पर भी, पतित हो जाता है।
गुणसमुदयावाप्तिविषयां स्वभावाद् उद्भूतां सिंहद्युतिं धृतकनकमालः श्वा अपि किं लभते।|Does a dog, who wears a gold chain, gain the effulgence of a lion which arises from its very nature.|क्या सोने की माला पहनने वाला कुत्ता शेर का तेज प्राप्त कर लेता है जो तेज शेर के स्वभाव से ही उत्पन्न होता है।
सः रसालवृक्षम् आरोहयति।|He climbs the mango tree.|वह आम के पेड़ पर चढ़ता है।
तस्याः पाणिग्रहणं जातम्।|Her hand holding ceremony happened.|उसका पाणिग्रहण हुआ।
अहं यामि।|I am going.|मैं जा रहा हूँ।
तत्र सेवकाः न सन्ति।|There are no servants there.|वहाँ कोई सेवक नहीं हैं।
दुष्टाः स्वार्थम् अभिलक्ष्य राजन्ते।|Wicked people rule by selfishness.|बुरे लोग स्वार्थ देखकर शासन करते हैं।
परस्मै यत् क्रियते तत् पुण्यम्।|Whatever is done for others is virtue.|जो कुछ भी दूसरों के लिए किया जाता है, वह पुण्य है।
मम मातामही मांसाहारिणी नास्ति।|My grandmother is not a non-vegetarian.|मेरी नानी मांस नहीं खाती हैं।
सा नित्यं पितृपदं पूजयति।|She worships the father regularly.|वह नित्य पिता की पूजा करती है।
माता पुत्रं त्यक्त्वा गच्छति।|The mother leaves her son and goes.|माँ अपने बेटे को छोड़कर जाती हैं।
स्नुषा श्वसुरम् अपमन्यते।|The daughter-in-law disrespects her father-in-law.|बहू ससुर का अपमान करती हैं।
एकदा कृषकः काकान् भीषयितुम् स्वक्षेत्रे रजनीकान्तस्य प्रतिमां स्थापयति तदा काकाः पूर्वनीतान् अन्नान् अपि आदाय पुनः कृषकाय प्रतिददति।|Once A farmer places a statue of Rajinikanth in his field to scare the crows, the crows also bring back the crops taken earlier and give it back to the farmer.|एक बार एक किसान कौवों को डराने के लिए अपने खेत में रजनीकांत की मूर्ति रखता है, कौवे पहले ली गई फसल भी ले आते हैं और किसान को वापस दे देते हैं।
भावयामि गोपालबालं मनस्सेवितम्|I meditate upon the Little Gopala, Who is served by my mind.
तत्पदं चिन्तये अहं सदा।| I always meditate on those feet.
कटि-घटित-मेखला-खचितमणि-घण्टिका-पटल-निनदेन विभ्राजमानम्।|Who is glittering forth due to immense rhyming sound coming from jewel and bell studded waist girdle, and Who is shining forth trembling dances adorned by the sound of feet running in curved trajectories.
निरतकर-कलित-नवनीतं ब्रह्मादि-सुर-निकर-भावना-शोभित-पदम् तिरुवेङ्कटाचल-स्थितम् अनुपमं हरिं परम पुरुषं गोपालबालम्।|upon the Little Gopala, Who is engrossed in the beautiful new butter-ball in His hand, Whose feet are adorned by the various devoted emotions of Brahma and demi-gods, Who is situated at the mountain of Tirupati as Venkat, Who is without a comparison, Who is Hari, and Who is the best person
मनुज-बाह्य-विमान-वर-स्तुतं गरुड-रत्न-निभं निधि-नायकम् शिवसखं मुकुटादि-विभूषितं वर-रुचिं तम् अहम् उपास्महे सदा।|I always adorn him who is worshipped well through the human bodies in the yajnas, him with radiance like the (yellow) emeralds, the lord of treasures, the friend of Shiva, adorned with crowns etc., the renowned scholar.|यज्ञों में मानव शरीर के माध्यम से भलीभांति पूजित, (पीले) पन्ने के समान कान्ति से युक्त, खजानों के स्वामी, शिव के मित्र, मुकुट आदि से सुशोभित, प्रसिद्ध विद्वान को मैं सदैव सुशोभित करता हूं।
