Hindi|English|Sanskrit
मनुष्य: सर्वं कार्यं विहाय प्रथमं शरीरस्य रक्षणं कुर्यात्,|Man should leave all work and protect his body first,|मनुष्य सब कार्यों को छोड कर शरीरका रक्षण करना चाहिये,
यत: शरीरं सुदृढं भवति चेत् एव सः पुरुषार्थान् धर्मार्थकामान् प्राप्तुं शक्नोति।|Because only when the body remains strong will one be able to attain salvation.|क्योंकि जब शरीर सुदृढ रहेगा तदा ही पुरुषार्थ(धर्म अर्थ काम मोक्ष) प्राप्त हो सकेगा।
शरीरस्य विनाशे सति सर्वेषां कार्याणां अभावः एव भवति।|Whereas due to the destruction of the body there will be absence of all activities.|जबकि शरीर के विनाश से सर्व कार्योंका अभाव ही रहेगा।
आकाश के एकान्त और अत्युच्च प्रदेश में विहार करने वाले पक्षी भी आपत्ति में फँस जाते हैं।|Even the birds that roam in the lonely and high regions of the sky get trapped in obstacles.|पक्षिणः दूरे गगने डयमाना अपि सङ्कटे पतन्ति।
चतुर लोग अथाह जल वाले समुद्र से भो मछलियों को पकड़ लेते हैं।|Clever people catch fishes from the ocean of immense water.|अगाधे वारिनिधौ स्थिता अपि मीनाः धीवरैः प्रसारितैः जालैः निर्बध्यन्ते।
इसलिये इस संसार में क्या अच्छा है?|So what is good in this world?|इह लोके किं साधु?
और क्या बुरा है?What's bad?|किमसाधु?
और क्या योग्य स्थान की प्राप्ति में भी लाभ है?|And is there any benefit in getting a suitable position?|अत्यन्तं योग्यस्थानप्राप्त्या किम्?
क्यों कि कालरूपी शत्रु व्यसन (विपत्ति) रूपी हाथ पसारे बैठा है, और वह मौका पाते ही दूर से भी प्राणियों को पकड़ लेता है।|Because the enemy in the form of time is spreading its hands in the form of disaster and as soon as it gets the chance, it captures living beings even from a distance.|मृत्युः दूरादपि विपत्तिरूपेण आगत्य करौ विस्तीर्य (अस्मान् अवश्यं) धरति।
यदि सूरज को ठीक रखना है तो सूरज को जल चढ़ायें। श्री राम रक्षा स्तोत्र व आदित्य ह्रदय स्तोत्र का पाठ करे।|If you want to keep the sun healthy then offer water to the sun. Recite Shri Ram Raksha Stotra and Aditya Hridaya Stotra.|यदि सूर्यं भद्रावस्थायां स्थापयितुमिच्छेः तर्हि सूर्याय जलं समर्पयेः। तदनन्तरं श्रीरामरक्षास्त्रोतस्य आदित्यहृदयस्तोत्रस्य च पाठं कुर्याः।
