Hindi|English|Sanskrit
बालक, या वृद्ध, या जवान कोई भी हो, वह यदि अपने घर पर आजाये तो उसका पूजन अवश्य करना चाहिए, क्योंकि-॥|If One comes home, whether One is a child or an old man or a young man, One must be worshipped.|गृहम् आगतः यदि बालः वा वृद्धः वा युवा वा तस्य पूजा विधातव्या एव।
अतिथि सबका पूज्य है।|The visitor is always honourable like a teacher.|अभ्यागतः सर्वदा गुरुः इव सम्मन्तव्यः।
बच्चा हाथों और पैरों से चलता और दौड़ता है।|The child walks and runs with hands and legs.|शिशुः हस्तपादैः चलति धावति च।
वह चलते हुए चींटे को देखकर उसको दौड़ाता है।|Seeing an ant walking, he chases it.|सः चलन्तं पिपीलिकं दृष्ट्वा तं धावयति।
कभी चींटे को पकड़ लेता है।|Sometimes he catches an ant.|पिपीलिकं गृह्णाति कदाचित्।
कभी चींटा भाग जाता है।|Sometimes the ant runs away.|कदाचित् पिपीलिकः पलायते।
कभी तो बच्चे के हाथ में काट भी लेता है।|Sometimes it even bites the child's hand.|कदाचित् तु शिशोः करे दशति अपि।
तब जोर से बच्चा रोता है।|Then the child cries loudly.|तदा उच्चैः शिशुः रोदिति।
और घर के लोग उसकी ओर दौड़ते हुए बोलते हैं क्या हुआ?|And the people of the house run towards him and say what happened?|गृहजनाः च तं प्रति धावन्तः वदन्ति किम् अभूत?
हर उलझन के अंदर ही उलझन का हल होता है।|The solution to every dilemma lies within it.|प्रत्येकं द्विधायाः समाधानं तस्यामेव द्विधायां निहितमस्ति।
हमेशा कोशिश करने से ही बेहतर कल मिलता है।|A better tomorrow is always achieved by trying hard.|सर्वदा प्रयत्नेनैव उत्तमो भविष्यो लभ्यते।
75 वें गणतंत्र दिवस के शुभ अवसर पर सभी शिक्षकों विद्यार्थियों और अभिभावकों को ढेर सारी शुभकामनाएं।|Many best wishes to all the teachers, students and parents on the auspicious occasion of 75th Republic Day.|पञ्चसप्ततितमस्य गणतन्त्रदिवसस्य शुभावसरे सर्वेभ्य: शिक्षकेभ्यश्च छात्रेभ्यश्च छात्राभ्यश्च अभिभावकेभ्यश्च बहव: शुभकामना:।
