Sanskrit|English|Hindi
यथा पावकस्पृष्टः कर्पूरः सौरभम् लभतेतराम् तथा आपद्गतः सन् अपि साधुः स्वभावम् न जहाति एव।|(Just as) Camphor (that already gives fragrance) that is touched by fire gives more fragrance than before, (similarly) being in the adversity that has befallen, the pious do not give up their good character (their character gets even better).|(जिस प्रकार) कपूर (जो पहले से ही सुगंध देता है) को आग से छूने पर वह पहले से भी अधिक सुगंध देने लगता है, (उसी प्रकार) विपत्ति आने पर भी धर्मात्मा अपने अच्छे चरित्र को नहीं छोड़ते (उनका चरित्र और भी अच्छा हो जाता है)।
गुणेषु यत्नः क्रियताम्।|Let the effort by made through the qualities.|गुणों के माध्यम से प्रयास करें।
आटोपैः किं प्रयोजनम् भवति।|What is the use in show off?|दिखावे से क्या लाभ?
क्षीरविवर्जिताः गावः घण्टाभिः न विक्रीयन्ते।|Cow that does not give milk, does not sell by its bell (it wears around its neck).|जो गाय दूध नहीं देती,उसकी घंटी से वो बिकती नहीं।
लक्षकृत्वः दृष्टम्।|One lakh views.|एक‌ लाख अवलोकन।
न दृष्टं चेदद्यैव द्रष्टव्यम्।|If you have not watched it, watch it today.|नहीं देखा हो तो आज ही देखें।
दण्डप्रहारैः ते मस्तकं कुट्टयिष्यामि।|I will beat your head with a stick|डंडा मार के तेरा सिर कूट दूंगा।
फुरफुरायते प्रदीपः।|The lamp is fluttering.|दिया फरफरा रहा है।
अहं द्वारम् अपावृतं करोमि।|I open the door.|मैं दरवाजा खोलता हूँ।
दारिद्र्यात् पुरुषस्य आपदः स्फारीभवन्ति।|गरीबी के कारण व्यक्ति की परेशानियां बढ़ जाती हैं।|Due to poverty, a person's problems increase.
श्रुतं गृहीतं च।|Heard and understood (accepted).|सुना और समझा (स्वीकार किया)।
बलवान् अन्धकारः।|बलवान अन्धकार।|Great darkness.
नोदय अश्वान् यत्र भीष्मः।|Drive horses wherever Bhishma goes.|जहाँ भीष्म वहां घोड़े हांकिए।
तले हन्ति।|Beats palms.|हथेलियों को पीटता है।
तव अनयात् युद्धम् इदम्।|This is war because of your injustice.|तुम्हारे अन्याय के कारण यह युद्ध है।
