Hindi|English|Sanskrit
नहाने से पहले दो कप दूध में दो चम्मच कॉफी पाउडर मिलाकर पूरे बदन पर मालिश करने से पूरा बदन गोरा हो जाता है।|Mixing two spoons of coffee powder in two cups of milk and massaging the entire body before bathing makes the entire body fair.|स्नानात् पूर्वं द्विकंसपरिमिते दुग्धे द्विचमसपरिमितस्य कफघ्नीचूर्णस्य मिश्रणं कृत्वा सम्पूर्णं शरीरं मर्दनेन सम्पूर्णं शरीरं गौरं भवति।
दिन-ब-दिन बढ़ते मोटापा का एक मुख्य कारण खाली पेट चाय का सेवन भी है।|One of the main reasons for increasing obesity day by day is consumption of tea on an empty stomach.|प्रत्यहं वर्धितस्य स्थूलत्वस्य एकं मुख्यं कारणं रिक्तोदरे चायस्य सेवनमपि अस्ति।
चाय में इस्तेमाल होने वाली पत्ती और चीनी शरीर के अन्दर जाकर चर्बी बढ़ाने का काम करती है, जिससे आपका वजन बढ़ने लगता है।|The leaves and sugar used in tea work to increase fat inside the body, due to which your weight starts increasing.|चाये प्रयुक्ते पत्रं सिता च शरीरस्य अन्त: गत्वा स्निग्धवर्धनस्य कार्यं कुरुत:, येन भवत: भारं वर्धितुमारभते।
चाय की पुरानी पत्तियों में फ्लोराइड की मात्रा ज्यादा होती है।|Old tea leaves contain high amount of fluoride.|पुरातनचायपत्रेषु फ्लोराइड इति तत्त्वं प्रचुरमात्रायां भवति।
इससे हड्डियां कमजोर हो सकती है।|This can weaken the bones.|अनेन अस्थिक्षीणत्वस्य आशङ्का भवति।
स्वाद बढ़ाने वाला कुरकुरा पापड़ आपके  सेहत संबंधी दिक्कते भी बढ़ा सकता है।|Crispy papad which enhances taste can also increase your health related problems.|स्वादवर्धक: विकुञ्चित: पर्पटो भवत: स्वास्थ्यसमस्यामपि वर्धितुं शक्नोति।
पापड़ में हानिकारक रासायनिक सोडियम बेंजोएट की अधिक मात्रा होती है क्योंकि इससे पापड़ लंबे समय तक खराब नहीं होते हैं जो कि हमारे शरीर पर गलत प्रभाव डालता है।|Papad contains high amount of harmful chemical sodium benzoate because of this the papad does not get spoiled for a long time which has adverse effects on our body.|पर्पटे सोडियम्-बेंजोएट् इति हानिकारकं रासायनिकतत्त्वं प्रचुरमात्रायां भवति। यतोहि अनेन पर्पटो दीर्घकालं यावत् दूषितो न भवति। यत् अस्माकं शरीरं कुप्रभावयति।
बाजार में बिकने वाली पापड़ी चाट को भूल कर भी नहीं खाना चाहिए।|Papdi chaat sold in the market should not be eaten even by mistake.|विपणिषु विक्रयणस्य पर्पट्यावदंशस्य भोजनं विस्मृत्यापि न करणीयम्।
पापड़ी बनाने के लिए अशुद्ध तेल से मैदा को तेला जाता है।|To make papdi, flour is oiled with impure oil.|पर्पट्या: निर्माणाय अशुद्धतैलेन परिष्कृतगोधूमचूर्ण: भर्ज्यते।
अशुद्ध तेल में घातक रसायन होता है।|Impure oil contains deadly chemicals.|अशुद्धतैले हानिकारकं रासायनं भवति।
तली हुई मैदा आंतों में जाकर चिपक जाता है जिससे शरीर का पाचन तंत्र खराब हो जाता है।|Fried flour gets stuck in the intestines, which spoils the digestive system of the body.|भृक्त: परिष्कृतगोधूमचूर्ण: अन्त्रेषु गत्वा आश्लिषयति येन शरीरस्य पाचनतंत्रम् अव्यवस्थितं भवति।
फ्रुट चाट खाना सेहत के लिए नुकसानदायक है।|Eating fruit chaat is harmful for health.|फलावदंशस्य सेवनम् आरोग्याय हानिकारकम् अस्ति।
अलग-अलग खाने वाली चीजों के पाचन का समय अलग-अलग होता है।|Different food items have different digestion times.|पृथक-पृथक खाद्यपदार्थस्य पाचनकालं पृथक्-पृथग् भवति।
फ्रुट चाट के कुछ फल पहले पचते हैं और कुछ फल बाद में पचते हैं जिससे पेट खराब हो जाता है।|Some fruits of Fruit Chaat are digested first and some fruits are digested later which causes stomach upset.|फलावदंशस्य कस्यचित् फलस्य पाचनं पूर्वे भवति तथा कस्यचित् फलस्य पाचनं पश्चाते भवति।
येन पाचनतंत्रम् अव्यवस्थितं भवति।
जब भी ऐसा चाट खायें ,तो एक जैसे फल का ही चाट खाये।|Whenever you eat such chaat, eat chaat made from similar fruits only.|यदापि एवम् अवदंशं खादेत्, चेत् एकस्यैव फलस्य अवदंशं खादेत्।
फ्रुट चाट में उबली हुई आलू डालकर खाने से गैस, पित्त और कब्ज की समस्या हो सकती है।|Eating boiled potatoes mixed with fruit chaat can cause problems like gas, bile and constipation.|फलावदंशेन सह वाष्पितस्य आलुकस्य मिश्रणं कृत्वा खादनेन उदरवायु:, पित्तं, कोष्ठबद्धत्वं यथा समस्या: संभाव्या: भवन्ति।
यह लड्डू गेहूं का आटा, दानामेथी, देसी घी, सौंठ, कालीमिर्च, हल्दी और गुड़ के मिश्रण से तैयार किए जाते हैं।|These laddus are prepared from a mixture of wheat flour, fenugreek seeds, desi ghee, dry ginger, black pepper, turmeric and jaggery.|एतद् मोदकं गोधूमचूर्णस्य च रक्तसर्षपस्य च शुद्धघृतस्य च शुण्ठ्य: च कृष्णमरीचस्य च हरिद्राया: च गुडस्य च मिश्रणेन निर्मितो भवति।
यह बुजुर्ग लोगों की हड्डियों को मजबूत बनाता है जिससे जोड़ों के दर्द में लाभ होता है।|It strengthens the bones of elderly people, which provides relief in joint pain.|एतत् पौढजनानाम् अस्थिं दृढीकरोति येन सन्धिशूलस्य शमनं भवति।
