Sanskrit|English|Hindi
भवान् किम् अकार्षीत्?|What were you doing?|आप क्या कर रहे थे?
अधुनैव पश्यामि अद्य भवन्तम्।|I am seeing you only today.|अभी देख रहा हूं आज आपको।
मम व्रतम् अस्ति खलु।|I observing a vrata.|मेरा व्रत है ना।
अतः प्रत्यूषतः एव पूजने रतः आसम्।|This is why I am busy in worship in the morning.|इसलिए सवेरे से ही पूजन में लगा था।
चिरकालं पर्यन्तं पूजयति भवान् भगवन्तम्।|You worship God for a long time.|बहुत देर तक भगवान की पूजा करते हैं।
अद्यत्वे तु भगवत्याः पूजनं भवति।|I worship Goddess Bhagwati these days.|आजकल तो भगवती का पूजन चल रहा है।
देव्याः स्तोत्राणि पठामि।|I read stotras of the Goddess.|देवी के स्तोत्र पढ़ता हूं।
दुर्गासप्तशतीपाठम् अपि करोमि।|I even read Durgasaptashaati|दुर्गा सप्तशती का पाठ भी करता हूं।
इदानीं गृहस्य कानिचन कार्याणि सन्ति।|I have some chores to do at home.|इस समय घर के कुछ कार्य हैं।
पुनः मिलावः।|We shall meet again.|फिर मिलते हैं।
