Sanskrit|English|Hindi
कराभ्यां परशुं चापं दधानं रेणुकात्मजम् जामदग्न्यं भजे रामं भार्गवं क्षत्रियान्तकम्।|I worship Lord Rāma, the son of Jamadagni, the progeny of Bhṛgu, the destroyer of the kṣatriyas, the son of Renuka who's holding an axe and a bow in both hands.|मै उस राम का भजन करता हूं जो जमदग्नि का पुत्र, भृगु का वंशज, क्षत्रिय के संहारक, रेणुका के पुत्र है और परशु और धनु का धारण दोनों हाथों से करता है।
स्त्रियां रोचमानायां तद् सर्वं कुलम् रोचते।|When a woman is happy, the whole family feels happy.|स्री के प्रसन्न रहने पर सारा परिवार प्रसन्न रहता है।
तस्याम् अरोचमानायां तु सर्वम् एव न रोचते।| Nothing feels good when she's unhappy.|उसके अप्रसन्न रहने पर कुछ भी अच्छा नहीं लगता।
विश्वजित् हस्ते खड्गं धरति।|Vishwajit holds a sword in hand.|विश्वजित् हाथ में तलवार धारण करता है।
लघ्वी कन्या नृत्यति।|The little girl dances.|छोटी बच्ची नाचती है।
प्रभाशङ्करस्य माता रोदिति।|The mother of Prabhāśaṅkara weeps.|प्रभाशङ्कर की माँ रोती है।
तस्याः प्रियतमः तस्याः गृहं परितः अटति।|Her beloved one wanders around her house.|उसका प्रियतम उसके घर के चारों ओर घूमता है।
कुबेरस्य सर्वं भोजम् एकदन्तः भुङ्क्ते।|The single-toothed one (Ganesha) eats all the food of Kubera.|कुबेर का सभी भोजन एकदंत खाते हैं।
तस्य तडागे जलं नास्ति।|There is no water in his pond.|उसके तालाब में पानी नहीं है।
मम विडालः रुग्णः जातः।|My tomcat has fallen ill.|मेरा बिल्ला रुग्ण हो गया है।
विहगौ उड्डयेते।|The two birds fly.|पंछी का जोड़ा उड़ता है।
तव प्रवृत्तिं जानामि।|I know about your nature.|मुझे तुम्हारी प्रवृत्ति पता है।
तस्य पिता धर्मं जानाति।|His father knows the Dharma.|उसके पिता धर्म को जानते हैं।
