Sanskrit|English|Hindi
जीर्णे पत्रे स्मृतिः लिखिता।|A memory is written on the old paper.|पुराने पत्र पर स्मृति लिखी है।
वंश्याः स्वरेण दुःखं गलति।|With the tune of a flute, sorrow melts.|बाँसुरी के स्वर से दुःख पिघलता है।
लोहः अग्नौ रक्तः भवति।|Iron becomes red in fire.|लोहा आग में लाल हो जाता है।
निःश्वासेन भारः लघुः भवति।|With a sigh, the burden becomes light.|लंबी साँस से बोझ हल्का होता है।
शान्त्या चित्तं स्थिरं भवति।|With peace, the mind becomes stable.|शांति से चित्त स्थिर होता है।
पाषाणे जलं चिह्नं करोति।|Water leaves a mark on stone.|पत्थर पर पानी चिह्न करता है।
प्रतिध्वनिः कुत आगच्छति।|Where does the echo come from? | प्रतिध्वनि कहाँ से आती है।
ऊर्णायाः कञ्चुकः तापं ददाति।|A sweater made of wool gives warmth.|ऊन का स्वेटर गरमाहट देता है।
रज्जुग्रन्थिः दृढः अस्ति।|The knot of the rope is strong.|रस्सी की गाँठ पक्की है।
मृगतृष्णा मरुभूमौ छलयति।|A mirage deceives in the desert.|मृगतृष्णा मरुभूमि में छलती है।
