Sanskrit|English|Hindi
खण्डिता मूर्तिः अद्यापि पूज्यते।|The damaged idol is worshipped even today.|खंडित मूर्ति आज भी पूजी जाती है।
मम वचनस्य अन्यार्थं मा कुरु।|Do not take another meaning of my word.|मेरे वचन का दूसरा अर्थ मत निकालो।
तप्तबालुकासु पादौ मा स्थापय।|Do not place the feet on the hot sand.|तपे हुए बालू पर पाँव मत रखो।
लोहकारस्य ध्माता अग्निं वर्धयति।|The blacksmith's bellows increases the fire.|लोहार की धौंकनी अग्नि को बढ़ाती है।
शिशुः मातृवस्त्रस्य प्रान्तं गृह्णाति।|The child holds the edge of the mother's cloth.|शिशु माँ के कपड़े का पल्लू पकड़ता है।
कोटरस्थः उलूकः दिवान्धः।|The owl in the tree hollow is day-blind.|कोटर में बैठा उल्लू दिन में अंधा है।
अहं तव धूर्ततां सम्यक् जानामि।|I know your cunningness well.|मैं तुम्हारी धूर्तता भली-भाँति जानता हूँ।
गता रात्रिः पुनः न आगमिष्यति।|The passed night will not come again|बीती हुई रात फिर नहीं आएगी।
सः स्वल्पम् अपि श्रुत्वा सर्वं जानाति।|Having heard even a little, he knows everything.|वह थोड़ा सा भी सुनकर सब जानता है।
तव मुखेन सत्यं कथय।|With your mouth, tell the truth.|अपने मुख से सत्य कहो।
तस्य वचनं शल्यमिव हृदयं भिनत्ति।|His word pierces the heart like an arrow-head.|उसका वचन बाण की नोंक की भांति हृदय को भेदता है।
अयं दुर्गमः पन्थाः कुत्र नयति।|Where does this difficult path lead?|यह दुर्गम मार्ग कहाँ ले जाता है।
जले बिम्बं पश्यन् सः आत्मानम् अपश्यत्।|Seeing the reflection in the water, he saw himself.|जल में परछाईं को देखते हुए उसने स्वयं को देखा।
एतावान् कुपितः कथम् असि।|Why are you this much angry?|तुम इतने कुपित कैसे हो।
त्वं मम साहाय्यं करिष्यसि किं न वा।|Will you help me or not?|तुम मेरी सहायता करोगे या नहीं।
अद्य प्रातः एव खञ्जनः दृष्टः।|Just this morning, the wagtail (bird) was seen.|आज प्रातः ही खंजन (पक्षी) दिखा।
जीर्णसेतोः उपरि मा गच्छ।|Do not go over the dilapidated bridge.|टूटे हुए सेतु के ऊपर मत जाओ।
बाला स्वक्रीडनकेन भाषते।|The girl talks with her toy.|बालिका अपने खिलौने से बात करती है।
किमपि पृष्टं चेत् सत्यं प्रतिभाषय।|If anything is asked, answer truthfully.|कुछ पूछा जाए तो सत्य उत्तर दो।
विषण्णः सः स्वभाग्यम् उपालभते।|Dejected, he reproaches his own destiny.|वह उदास (हो) अपने भाग्य को उलाहना देता है।
शुष्कसरसि सारसः क्रन्दति।|The crane is crying in the dried-up lake.|सूखे सरोवर में सारस रो रहा है।
भित्तौ पतङ्गस्य निश्चला छाया।|The motionless shadow of the insect on the wall.|भीत पर पतंगे की निश्चल छाया।
किमपि अविचार्य कार्यं मा कुरु।|Do not do any work without thinking.|कुछ भी बिना विचारे कार्य मत करो।
तव साहाय्यं विना इदं न सम्भवेत्।|Without your help, this could not be possible.|तुम्हारी सहायता के बिना यह संभव नहीं है।
मालाकारस्य अङ्गुलयः कुशलाः।|The fingers of the garland-maker are skilled.|माली की अंगुलियाँ कुशल हैं।
सा स्वशैशवस्य ग्रामं स्मरति।|She remembers the village of her childhood.|वह अपने बचपन का गाँव स्मरण करती है।
किं भवान् तत्र एकाकी गमिष्यति।|Will you go there alone?|क्या आप वहाँ अकेले जाएँगे।
सः कृत्रिमं हास्यं करोति।|He is producing an artificial laugh.|वह बनावटी हँसी हँस रहा है।
बालकः निरर्थकं रोदनं करोति।|The child is crying for no reason.|बालक व्यर्थ में रो रहा है।
त्वं मत्तं गजम् इव चरसि।|You are walking like an intoxicated elephant.|तुम मद में चूर हाथी की भांति चल रहे हो।
नभसः च्युतं तारकं कः पश्यति।|Who sees the star fallen from the sky?|आकाश से गिरे तारे को कौन देखता है।
तव प्रश्नस्योत्तरं मया न ज्ञायते।|The answer to your question is not known by me.|तुम्हारे प्रश्न का उत्तर मुझसे जान नहीं पड़ता है।
सः मां दृष्ट्वापि अजानन् इव गच्छति।|Even after seeing me, he goes as if not knowing me.|वह मुझे देखकर भी अनजाने की भांति जा रहा है।
जीर्णां नौकां नदीपारं मा नय।|Do not take the old boat across the river.|पुरानी नाव को नदी के पार मत ले जाओ।
त्वम् उच्चैः पठितुं शक्नोषि किम्।|Can you read aloud?|तुम ऊँचा पढ़ सकते हो क्या।
सा स्यूते किं निगूढति।|What is she hiding in the bag?|वह थैले में क्या छिपा रही है।
गृध्रदृष्ट्या सः सर्वं पश्यति।|With a vulture's eye, he sees everything.|गिद्ध की दृष्टि से वह सब कुछ देखता है।
विदूषकस्य वाक्येन सभा अहसत्।|The assembly laughed by the comment of the jester.|विदूषक के वाक्य से सभा हँस पड़ी।
