Sanskrit|English|Hindi
तुष्टो राजा मे धनं दास्यति।|The pleased king will give me money.|प्रसन्न राजा मुझे धन देगा।
प्रातर्वेलायां सा मालां करोति।|In morning time, she makes a garland.|प्रातःकाल वह माला बनाती है।
तद्विचिन्त्यैव गुरुणैवम् उक्तम्।|Considering that only, the guru said thus.|वह सोचकर ही, गुरु ने ऐसा कहा।  
अपि अस्ति कश्चिद् गृहे।|Is there anyone at home?|क्या घर में कोई है?  
अवश्यं तवैव नाम कर्णः।|Surely, The name of yours is Karna.|अवश्य तुम्हारा नाम ही कर्ण है।  
कथं जानासि त्वं मम पितरम्।|How do you know my father?|तुम मेरे पिता को कैसे जानते हो?  
मूकं पशुं हत्वा कीदृशं पुण्यं प्राप्यते।|What kind of merit is attained by killing a mute animal?|गूँगे जानवर को मारने से कैसा पुण्य प्राप्त होता है?  
मां दृष्ट्वा सा दृष्टिम् अन्यत्र करोति।|Seeing me, she shifts the sight elsewhere.|मुझे देखकर, वह कहीं और दृष्टि कर लेती है।  
सुग्रीवः कथं रामस्य मित्रं बभूव।|How did Sugriva become a friend of Rama?|सुग्रीव राम का मित्र कैसे बना?  
रथोपरि स क उपविष्टः।|Who's he seated on the chariot?|वह रथ पर कौन बैठा है।
ह्यः मां द्रष्टुं कुटुम्बम् आगच्छत्।|Yesterday, Groom's family came to see me.|कल मुझे देखने लड़केवालें आये थें।
किं सदा एवम् एव करिष्यसि।|Will you always behave like this?|क्या तुम सदा ऐसा ही करोगे?  
एतेषु कतमं फलं तुभ्यं रोचते।|Which of these fruits do you like?|इनमें से तुम्हें कौन सा फल भाता है?
भोः कस्यचित् पादक्रमणं श्रूयते।|Sir, Someone's footsteps can be heard.|किसी के पैरों का स्वर सुनाई दे रहा है।  
नाहं मम पतिं हित्वा क्वचिद् गमिष्ये।|I will not go anywhere leaving my husband.|मैं अपने पति को छोड़कर कहीं नहीं जाऊँगी।  
किं धनम् एव सर्वस्वं मन्यसे मुग्धे।|Do you think of money as everything, silly girl?| क्या तुम धन को ही सब कुछ समझती हो, पगली?
जन्मनैव सत्वादिगुणा जायन्ते।|The qualities like sattva and such arise from birth itself.|सत्वादि गुण जन्म से ही उत्पन्न होते हैं।
एकस्मै भिक्षुकाय प्रतिदिनं धनं देहि।|Give money to a beggar every day.|एक भीखारी को प्रतिदिन धन दो।  
तस्य स्वरं श्रुत्वा शान्तिरनुभूता।|Peace was experienced upon hearing his voice.|उसकी ध्वनि सुनकर शांति का अनुभव हुआ।  
नगरे नटगण आयातः।|A drama troupe has arrived in the city.|नगर में नाटकमण्डली आयी है।
कश्चित् किं सागरं तीर्त्वा सीदेत प्राप्य गोष्पदम्।|Who, having crossed the ocean, drowns in a puddle?|कोई क्या सागर को पार कर गड्ढे में डूबता है?
रे औदरिक! अत्यधिकं मा भुङ्क्ष्व।|Oh, glutton, don't eat so much.|अरे पेटु। बहुत अधिक मत खा।
स मुहूर्तात् पुनः संज्ञाम् अलभत|He came to his senses again shortly after|वह थोड़ी देर बाद फिर होश में आया
वृक्षमालम्ब्य स लोचने न्यमीलयत।|Taking support of the tree, he shut both his eyes.|पेड़ का सहारा ले उसने दोनों आँखें बन्द कर लीं।
एकेन वानरेण सह मम मैत्री अस्ति।|I have friendship with one monkey.|मेरी एक बंदर के साथ मित्रता है।
किं सत्यं यत् त्वया स पराजितः।|Is it true that he was defeated by you?|क्या यह सच है कि वह तुम्हारे द्वारा हारा था?
अद्य गौरीपूजनम् अस्ति।|Today is the worship of Gauri.|आज गौरी की पूजा है।
किम् अयं कविः कथावाचकोऽभवत्।|Did this poet become a dharmic storyteller?|क्या यह कवि कथावाचक बन गया?
देवि एतदुचितं न करोषि।|Lady! you do not do this fairly.|देवी, तुम यह उचित नहीं कर रही।
कस्य गृहे निवससि पुत्र।|In whose house do you reside, son?|तुम किसके घर में रह रहे हो, बेटे?
अवश्यं त्वं देवदूतः असि।|Certainly, you are an angel.|अवश्य तुम देवता के दूत हो।
रे मम मातृभाषैव सर्वश्रेष्ठम्।|Hey! my mother tongue is indeed the best.|अरे मेरी मातृभाषा ही सर्वश्रेष्ठ है।
अधुना स्त्रियः अपि ग्राम्यगालिं ददति।|Now even women give vulgar abuse.|अब महिलाएँ भी अश्लील गाली देती हैं।
सत्यं वदामि भोः त्वाम् एव पश्यति सा।||I am speaking the truth, indeed she is looking at you.|सत्य कहता हूँ, वह तुम्हें ही देख रही है।
गुरो तत् कः पक्षी विद्यते।|Guruji! which bird is that?|गुरुजी! वह कौन सा पक्षी है?
तयोर्विवाहः कथं बभूव।|How did the marriage of those two happen?|उन दोनों का विवाह कैसे हुआ?
किं तव मातुलः अपराधी अस्ति।|Is your maternal uncle a criminal?|क्या तुम्हारा मामा अपराधी है?
मातारः शिशोरनर्गलवचनानि अपि अवगच्छन्ति।|Mothers also understand the blabbering speech of babies.|माताएँ शिशुओं की अनर्गल बातें भी समझती हैं।
वृक्षारोहणं कथं क्रियते ज्येष्ठ।|How is tree climbing done, elder bro?|पेड़ पर चढ़ाई कैसे की जाती है, भैया!
अहं प्रतिदिनं सूर्यनमस्कारं करोमि।|I do sun salutations every day.|मैं प्रतिदिन सूर्य नमस्कार करता हूँ।
किं तेन कर्मणा माम् उपकृतवानसि।|Have you obligated me by that deed?|क्या उस कार्य से मुझ पर उपकार कर दिये हो?
एष शिक्षको बहुतीव्रगत्या वदति।|This teacher speaks with great speed.|यह शिक्षक बहुत तीव्रता से बोलता है।
सुधांशुः सर्वज्ञम् इव भाषते।|Sudhanshu speaks as if he is all-knowing.|सुधांशु सब जानने वाले के जैसे भाषण देता है।
किं तव अश्वः रुग्णो वर्तते।|Is your horse sick?|क्या तुम्हारा घोड़ा रोगी है?
त्वया सह कार्यं कर्तुमिच्छामि।|I wish to work with you.|मैं तुम्हारे साथ कार्य करना चाहती हूँ।
रात्रावपि एष न स्वपिति।|He does not sleep even at night.|यह रात में भी नहीं सोता।
वृत्तिप्राप्तये ध्यानं दातुम् अर्हामि।|I should focus on getting a job.|मुझे नौकरी पाने के लिए ध्यान देना चाहिए।
किं स तव गृहे जलम् अपि न पिबति।|Does he not even drink water in your house?|क्या वह तुम्हारे घर में पानी भी नहीं पीता?
अस्य नाम गुणारूपम् एव विद्यते।|His name is suitable to  the qualities.|इसका नाम गुणों के अनुरूप है।
तव दक्षिणं नेत्रं रक्तम् अस्ति भोः।|Your right eye is red, Sir.|तुम्हारी दाहिनी आँख लाल है जी।
किं तस्य वचनम् अपि न अनुमन्यसे।|Do you not even follow his words?|क्या तुम उसके वचन को भी नहीं मानते?
अद्य उपवासं कर्तुम् इच्छामि।|I wish to fast today.|मैं आज उपवास करना चाहता हूँ।
कस्मिंश्चित् काले अवगच्छेः।|At some time, you might understand.|किसी समय, तुम समझोगे।
अद्य प्रातरेव मया सर्वं श्रुतम्।|I heard everything only today morning.|आज सवेरे ही मैंने सब कुछ सुना।
अद्य नाट्यशास्त्रमधिकृत्य संवादो दृष्टः।|Today, a talk regarding the Natya Shastra was seen.|आज नाट्यशास्त्र के विषय में संवाद देखा।
स संस्कृतं न जानाति।|He does not know Sanskrit.|वह संस्कृत नहीं जानता।
अहं अविनीतान् न पाठयामि।|I do not teach the unhumble ones.|मैं अविनीतों को नहीं पढ़ाता।
गत्वा कूपाज्जलम् आनय पुत्रिके।|Go and bring water from the well, daughter.|जाकर कुएँ से पानी लाओ, पुत्री।
अद्य अस्य मृत्युः समागतो मन्यते।|It is being guessed that his death has arrived today.|लगता है कि आज इसकी मृत्यु आ गई है।
कस्य पौत्रः परिक्षीद्बभूव।|Whose grandson was Parikshit?|परिक्षीत् किसका पोता हुआ?
अम्ब किं पचसि अद्य।|Mom! what are you cooking today?|माँ, तुम आज क्या पकाती हो?
किमपि लेखितुं न इच्छामि।|I do not wish to write anything.|मैं कुछ भी लिखना नहीं चाहता।
गतवर्षस्य वृत्तान्तं कः पठेत्।|Who will read the mews of last year?|बीते वर्ष की घटना कौन पढ़ेगा?
मुकुन्दस्य पाणौ चक्रः शोभते।|The discus shines in Mukunda's hand.|मुकुंद के हाथ में चक्र शोभता है।
किमर्थम् एषा रोदिति।|Why is she crying?|यह क्यों रो रही है?
शुष्कपत्रसञ्चयो दह्यताम्।|Let the heave of the dry leaves be burnt.|सूखे पत्तों का ढे़र जलाया जाए।
अस्य गजस्य नाम करटी अस्ति।|The name of this elephant is Karati.|इस हाथी का नाम करटी है।
अम्ब भ्राता मां क्रोधयति।|Mom! brother is making me angry.|माँ, भाई मुझे क्रोध दिलाता है।
इयं का भाण्डकान् प्रक्षालयति।|Who is this washing the dishes?|यह कौन बर्तन धो रही है?
किं त्वं कस्याञ्चित् स्निह्यसि।|Do you have affection for someone?|क्या तुम किसी पर स्नेह रखते हो?
विद्याधरं को न जानाति।|Who does not know Vidyadhara?|विद्याधर को कौन नहीं जानता?
जीवने शान्तिम् एव इच्छामि।|I desire only peace in life.|मैं जीवन में शांति ही चाहता हूँ।
नवरसेषु कतमः ते प्रियः।|Which among the nine rasas is favourite of yours?|नौ रसों में से कौन सा तुम्हारा प्रिय है?
तस्मिन् विद्यालये धनिकपुत्राः पठन्ति।|In that school, children of the rich study.|उस विद्यालय में पैसेवालों के बच्चे पढ़ते हैं।
एषा मम भगिनी गणितं पठति।|This, my sister, studies mathematics.|यह मेरी बहन गणित पढ़ती है।
अयं यज्ञोपवीतं न धरति।|This does not wear the sacred thread.|यह जनेऊ नहीं पहनता।
मम पितामहः फलं खादति।|My grandfather eats fruit.|मेरे दादा फल खाते हैं।
कस्य प्रसादेन एतत् सर्वं प्राप्तम्।|By whose grace has all this been obtained?|यह सब किसकी कृपा से प्राप्त हुआ है?
साम्बः तु शिवांशो मन्तव्यः।|Samba is to be considered a portion of Shiva.|साम्ब को शिव का अंश समझना चाहिए।
लड्डुकं क्रीयताम् आर्य।|Let the laddu be bought, O gentleman!|लड्डू किन लिया जाए, आर्य।
आरक्षका एव भक्षका इव सन्ति।|The protectors themselves are like the devourers.|रक्षक ही भक्षक जैसे हैं।
त्वं लोकव्यवहारम् ईषद् अपि न जानासि।|You do not know social etiquettes even a little.|तुम लोकव्यवहार थोड़ा भी नहीं जानते।
रसायनविज्ञानं पठित्वा किं करवाणि।|What do I do after studying chemistry?|रसायन विज्ञान पढ़कर क्या करूँगा?
