Hindi|English|Sanskrit
एक पुरानी तिब्बती कथा है कि दो उल्लू एक ही वृक्ष पर आ कर बैठे।|There is an old Tibetan story about two owls that came and sat upon the same tree|तिब्बतस्य एका पुरातना कथा अस्ति यत् दिवान्धौ एकस्मिन्नेव वृक्षे आगत्य उपाविष्टाम्।
एक ने साँप अपने मुँह में पकड़ रखा था।|One caught a snake in its mouth.|एक: स्वमुखे सर्पम् अगृह्णात्।
सांप भोजन था उनका, सुबह के नाश्ते की तैयारी थी।|Snakes were their diet, this was preparation for breakfast.|सर्प: तस्य भोजनमासीत्, प्रातराशस्य सिद्धता आसीत्।
दूसरा एक चूहा पकड़ लाया था।|Another caught a mouse.|अन्य: एकं मूषिकं ग्रहीत्वा आनीतवान् आसीत्।
दोनों एक ही वृक्ष पर पास-पास आकर बैठे।|The both sat on the same tree and the same branch near each other.| उभौ एकस्मिन्नेव वृक्षम् आगत्य एकस्यां शाखायां समीपतया उपाविष्टाम्।
एक के मुँह में साँप, एक के मुँह में चूहा ।|One of them had a snake in its mouth and the other a mouse.|एकस्य मुखे सर्प:, एकस्य मुखे मूषिक:।
साँप ने चूहे को देखा तो वह यह भूल ही गया कि वह उल्लू के मुँह में है और मौत के करीब है।|When the snake saw the the mouse it forgot that is it was in the beak of the owl awaiting death.|यदा सर्पो मूषिकं दृष्ट्वान् तदा स एतत् विस्मृतवान्नेव यत् स दिवान्धस्य मुखे अस्ति मृत्यो: च समीपोऽस्ति।
चूहे को देख कर उसके मुँह में लार बहने लगी।|The sight of the mouse made the snake's mouth water.|मूषकं दृष्ट्वा तस्यानने रसधारो वहितुमारभत।
वह भूल ही गया कि मौत के मुँह में है।|It forgot that it was in jaws of death.| स विस्मृतवान्नेव यत् स मृत्यो: मुखे अस्ति।
उसको अपनी जीवन जीने की इच्छा ने पकड़ लिया और चूहे ने जैसे ही देखा साँप को, वह भयभीत हो गया, वह काँपने लगा।|The desire to live captured it and the mouse started trembling at the sight of the snake.|तस्य जीजीविषा तं गृहीतवती तथा मूषक: यथैव सर्पं दृष्टवान्, स भीत्वा कम्पितुमारभत।
कौन बोल रहा था की दसवीं के बाद मज़े होते हैं।|Who said that one can have fun after 10th class?|कः वदन् आसीत् यत् "10 कक्षायाः अनन्तरं तु आनन्दः एव अस्ति।"
