Hindi|English|Sanskrit
मैं स्वयं ही चाय बनाऊंगा।|I will make the tea myself.|अहं स्वयमेव चायं पक्ष्यामि।
मैं खुद ही चाय बनाऊंगा।|I will make the tea on my own.|अहं स्वयमेव चायं पक्ष्यामि।
मैं आप ही चाय बनाऊंगा।|I will make the tea without help.|अहं स्वयमेव चायं पक्ष्यामि।
वह स्वयं /खुद/आप ही भोजन बनाती है।|She cooks the meal on her own.|सा स्वयमेव भोजनं पचति।
यह फाटक खुद ही/आप ही बंद हो जाती है।|This main entrance closes on its own.|एतत् मुख्यद्वारं स्वयमेव पिहितं भवति।
यह इंजन खुद ही/आप ही चलने लगी।|This engine moves on its own.|एतत् यन्त्रं स्वयमेव चलनमारभत।
मैं स्वयं कपड़े साफ करता हूं।|I wash the clothes myself.|अहं स्वयमेव वस्त्राणि प्रक्षालयामि।
उसने खुद फाटक खोला।|He opened the main entrance on his own.|स स्वयमेव मुख्यद्वारम् उद्धाटिवान्।
वह आप ही कमरे साफ करती है।|She cleans the room on her own.|सा स्वयमेव प्रकोष्ठं सम्मार्जयति।
मैं स्वयं जूतों में पालिश करता हूँ।|I polish the shoes myself.|अहं स्वयमेव उपानहौ परिमार्जयामि।
वह खुद पत्र टंकित करती है।|She types the letter on her own.|सा स्वयमेव पत्रं टङ्कति।
उस महिला ने खुद प्रदर्शन का नेतृत्व किया।|That woman herself leads the performance.|सा महिला स्वयमेव प्रदर्शनस्य नेतृत्वं कृतवती।
