Sanskrit|English|Hindi
धर्मस्य सर्वस्वम् एनं श्रुत्वा विचार्यताम्।|Listen to the essence of all dharma, and then think it over well.|सब धर्मों का सार सुनो, फिर उस पर भली प्रकार विचार करो।
आत्मनः प्रतिकूलानि परेषां न समाचरेत् इति धर्मसर्वस्वम्।|Do never perform things, that are disagreeable to one-self, towards others.|जो कार्य स्वयं को अप्रिय हों, दूसरों के प्रति कभी न करें।
मूषकः वस्त्राणि कर्तयति।|The mouse gnaws clothes.|चूहा कपड़े चबाता है।
जलबिन्दुः सागरेण मिलति।|The drop merges with the ocean.|बूँद समुद्र में मिलती है।
वाष्पोद्वाहनम् उड्डयते।|Hot-air balloon flies.|वाष्प का गुब्बारा उड़ता है।
पतिः धर्मपत्नीम् ईक्षते।|The husband looks at his wife.|पति धर्मपत्नी को देखता है।
वरः श्वसुरं नमति।|The groom bows to his father-in-law.|दुल्हा अपने ससुर को नमस्कार करता है।
पितृव्यः मह्यं मिष्ठान्नं ददाति।|Uncle gives me sweets.|चाचा जी मुझे मिठाई देते हैं।
किमर्थं तत्र गच्छसि।|Why are you going there?|तुम वहाँ क्यों जा रहे हो?
पुरुषः चिकित्सकेन स्त्रीवत् परिवृत्यते।|The man is modified into woman-like by the doctor.|चिकित्सक पुरुष को महिला की तरह बना देता है।
न धनलोलुपता ब्राह्मणं शोभते।|Greed for wealth does not adorn a Brahmin.|धन की लालसा ब्राह्मण को नहीं शोभती है।
न विद्वान् धनाढ्यं भजति।|A scholar does not worship the wealthy.|विद्वान् धनवान को नहीं का भजन करता है।
