Sanskrit|English|Hindi
जीर्णे पत्रे स्मृतिः लिखिता।|A memory is written on the old paper.|पुराने पत्र पर स्मृति लिखी है।
वंश्याः स्वरेण दुःखं गलति।|With the tune of a flute, sorrow melts.|बाँसुरी के स्वर से दुःख पिघलता है।
लोहः अग्नौ रक्तः भवति।|Iron becomes red in fire.|लोहा आग में लाल हो जाता है।
निःश्वासेन भारः लघुः भवति।|With a sigh, the burden becomes light.|लंबी साँस से बोझ हल्का होता है।
शान्त्या चित्तं स्थिरं भवति।|With peace, the mind becomes stable.|शांति से चित्त स्थिर होता है।
पाषाणे जलं चिह्नं करोति।|Water leaves a mark on stone.|पत्थर पर पानी चिह्न करता है।
प्रतिध्वनिः कुत आगच्छति।|Where does the echo come from? | प्रतिध्वनि कहाँ से आती है।
ऊर्णायाः कञ्चुकः तापं ददाति।|A sweater made of wool gives warmth.|ऊन का स्वेटर गरमाहट देता है।
रज्जुग्रन्थिः दृढः अस्ति।|The knot of the rope is strong.|रस्सी की गाँठ पक्की है।
मृगतृष्णा मरुभूमौ छलयति।|A mirage deceives in the desert.|मृगतृष्णा मरुभूमि में छलती है।
कृषकः हलेन क्षेत्रं कर्षति।|The farmer ploughs the field with a plough.|किसान हल से खेत जोतता है।
धान्यशूकं पवनेन कम्पते।|The stalk of grain sways in the wind.|अनाज की बाल पवन से हिलती है।
गोकण्ठे घण्टिका वाद्यते।|The small bell on the cow's neck rings.|गाय के गले में घंटी बजती है।
बीजात् अङ्कुरः उद्भवति।|A sprout emerges from the seed.|बीज से अंकुर फूटता है।
शकटः ग्रामपथे शनैः चलति।|The cart moves slowly on the village path.|गाड़ी गाँव के पथ पर धीरे चलती है।
हास्तसूत्रयन्त्रस्य ध्वनिः गृहे श्रूयते।|The sound of the handloom is heard in the house.|करघे की ध्वनि घर में सुनाई देती है।
भृङ्गः पुष्परसं पिबति।|The bee drinks the nectar of the flower.|भौंरा फूल का रस पीता है।
सन्ध्यायां पक्षिणः प्रत्यागच्छन्ति।|In the evening, the birds return.|सांझ को पंछी लौट आते हैं।
आज्यस्य गन्धः यज्ञं सूचयति।|The smell of ghee indicates a sacrifice.|घी की गंध यज्ञ की सूचना देती है।
वल्मीकस्य उपरि सर्पः दृष्टः।|A snake was seen on the anthill.|बाँबी के ऊपर साँप दिखा।
शिशुं पञ्च वर्षाणि लालयेत्।|Pamper the child for (the first) five years...|शिशु को पहले पाँच वर्षों तक प्यार-दुलार से पालना चाहिए।
तमेव दशवर्षाणि ताडयेत्।|...discipline him for (the next) ten years...|उसे अगले दस वर्षों तक अनुशासन में रखना चाहिए।
षोडशे वयसि मित्रवदाचरेत्।|...Behave like a friend at (his/her) sixteenth year.|सोलह वर्ष की आयु में उसके साथ मित्रवत् व्यवहार करना चाहिए।
विधात्रा तस्य सर्वस्वमपहृतम्।|Everything of his was taken away by fate.|विधाता ने उसका सब कुछ छीन लिया।
सोत्साहमयं भवतु जीवनम्।|Let life be enthusiastic.|जीवन उत्साहपूर्ण हो।
राजनीतिकदलाधिवेशने भागग्रहणाय गतः सः।|He went to participate in the political party convention.|वह राजनीतिक दल के अधिवेशन में भाग लेने गया।
कस्य सङ्घस्य स्थापनामकरोत् सः।|Which organization did he establish?|उसने किस संघ की स्थापना की।
कस्मिन् पदे सः समारूढः।|Which post has he occupied?|वह किस पद पर आरूढ़ हुआ।
तन्मृतशरीरमालोक्य सर्वे दुःखिताः।|Seeing his/her dead body, everyone was saddened.|उसका मृत शरीर देखकर सभी दुखी हो गए।
हिन्दुत्वमयीं भारतीयराजनीतिं कर्तुं प्रयासः एषः।|This is an attempt to make Bharateeya politics imbued with Hindutva.|यह भारतीय राजनीति को हिन्दुत्वमयी बनाने का प्रयास है।
जृम्भया आलस्यं ज्ञायते।|Laziness is known by a yawn.|जम्हाई से आलस का पता चलता है।
मुखे वलयः वयः कथयन्ति।|Wrinkles on the face tell the age.|मुख पर झुर्रियाँ आयु बताती हैं।
पादचिह्नं पथि अवशिष्यते।|A footprint remains on the path.|पैर का छाप पथ पर रह जाता है।
हृदयस्य स्पन्दनं जीवनलक्षणम्।|The beating of the heart is a sign of life.|हृदय का स्पंदन जीवन का लक्षण है।
स्वेदेन ललाटं क्लिन्नम्।|The forehead is moist with sweat.|पसीने से माथा भीगा है।
अश्रुभिः दुःखं प्रवहति।|Sorrow flows out with tears.|आँसुओं से दुःख बहता है।
शरीरस्य छाया अनुगच्छति।|The body's shadow follows.|देह की छाया पीछे चलती है।
शिरोरुहाः वातेन उड्डीयन्ते।|The hairs on the head fly in the wind.|सिर के बाल पवन में उड़ते हैं।
अङ्गुल्या दिशानिर्देशः क्रियते।|A direction is indicated with a finger.|अँगुली से दिशा दिखाई जाती है।
क्षुधा अन्नस्य रुचिं वर्धयति।|Hunger increases the appetite of food.|भूख अन्न की रुचि बढ़ाती है।
इन्द्रधनुषि सप्त वर्णाः सन्ति।|In the rainbow, there are seven colors.|इन्द्रधनुष में सात रंग हैं।
उल्का नभसः पतति।|A meteor falls from the sky.|उल्कापिण्ड आकाश से गिरता है।
ग्रहणं सूर्यं छादयति।|An eclipse covers the sun.|ग्रहण सूरज को ढँक देता है।
विद्युत्क्षणं तमः भिनत्ति।|A flash of lightning pierces the darkness.|बिजली का कौंध अंधकार को भेदता है।
प्राभातिकी कुहेलिका शीतला।|The morning mist is cool.|भोर का कुहरा शीतल है।
मेघमाला पर्वतं स्पृशति।|A line of clouds touches the mountain.|बादलों की पंक्ति पहाड़ को छूती है।
पूर्णचन्द्रस्य प्रकाशः शीतलः।|The light of the full moon is cool.|पूरे चन्द्र का प्रकाश शीतल है।
नक्षत्रमण्डलं दिशं सूचयति।|The constellation indicates the direction.|तारामंडल दिशा बताता है।
झञ्झावातेन द्रुमाः नमन्ति।|Due to the storm, the trees bow.|आँधी से पेड़ झुक जाते हैं।
गोधूलिकाले गृहं शान्तम्।|At twilight, the home is quiet.|गोधूलि के समय घर शांत है।
Of course. Here are the 50 numbered sentences from your second paste, formatted as requested.

भित्तौ स्फुटनं शनैः वर्धते।|The crack in the wall slowly grows.|भित्ति में दरार धीरे-धीरे बढ़ती है।
ऊर्णनाभजाले तुषारबिन्दवः लग्नाः।|Dewdrops are stuck on the spider's web.|मकड़ी के जाले पर ओस की बूँदें लगी हैं।
वृक्षस्य वल्कले कठिनता अस्ति।|There is hardness in the bark of the tree.|पेड़ की छाल में कठोरता है।
तैलस्य बिन्दुः जले प्रसरति।|A drop of oil spreads on water.|तेल की बूँद जल पर फैलती है।
इक्षुरसे माधुर्यं वर्तते।|There is sweetness in sugarcane juice.|गन्ने के रस में मिठास है।
मरीचस्य कटुता जिह्वां स्पृशति।|The sharpness of pepper touches the tongue.|काली मिर्च की तीखापन जीभ को छूतै है।
गोमयेन अङ्गणं लिप्यते।|The courtyard is smeared with cow-dung.|गोबर से आँगन लीपा जाता है।
तालस्य जडे शैवालः दृश्यते।|Moss is seen at the bottom of the pond.|जलाशय की जड़ में काई दिखती है।
ताम्रपात्रे हरितः किट्टः।|There is green rust on the copper vessel.|ताँबे के बरतन पर हरी काई है।
नद्याः तटे चिक्कणाः पाषाणाः।|On the river bank, there are smooth stones.|नदी के तट पर चिकने पत्थर हैं।
तूलिका वर्णं पत्रे नयति।|The paintbrush carries color to the paper.|कूची रंग को पन्ने पर ले जाती है।
टङ्कः पाषाणं छिनत्ति।|The chisel cuts the stone.|छेनी पत्थर को काटती है।
तन्तुवायस्य तसरः शब्दं करोति।|The weaver's shuttle makes a sound.|जुलाहे की ढरकी शब्द करती है।
कर्तरी वस्त्रस्य रूपं परिवर्तयति।|Scissors change the shape of the cloth.|कर्तरी कपड़े का रूप बदलती है।
अयसः सूच्या चर्म सीव्यते।|Leather is sewn with an iron needle.|लोहे की सुई से चमड़ा सिया जाता है।
यवस्य मुष्टिः पेषण्यां क्षिप्यते।|A fistful of barley is thrown into the grinding mill.|जौ की मुट्ठी चक्की में फेंकी जाती है।
भ्राष्ट्रे चणकाः भर्जिताः।|Grams are roasted in the furnace.|भट्ठी में चने भुने जाते हैं।
लेखनी मषीं कागदे त्यजति।|The pen leaves ink on the paper.|लेखनी मसि पन्ने पर छोड़ती है।
कङ्कतेन केशाः समाः क्रियन्ते।|Hair is straightened with a comb.|कंघे से बाल सीधे किए जाते हैं।
दर्व्या अन्नं परिविष्यते।|Food is served with a ladle.|करछुल से अन्न परोसा जाता है।
संशयः बुद्धेः गतिं रुणद्धि।|Doubt obstructs the movement of intellect.|संदेह बुद्धि की गति रोकता है।
स्मृतिः भूतं पुनः जीवयति।|Memory makes the past live again.|स्मृति बीते हुए को पुनः जिलाती है।
न्यायः धर्मस्य तुलायां तुल्यते।|Justice is weighed on the scale of dharma.|न्याय धर्म के तराजू पर तौला जाता है।
विस्मृतिः मनसः भारं हरति।|Forgetfulness takes away the burden of the mind.|विस्मृति मन का बोझ हरती है।
कल्पना असत्ये सत्यं रचयति।|Imagination creates truth in the untrue.|कल्पना असत्य में सत्य रचती है।
जिज्ञासा ज्ञानस्य द्वारम्।|Curiosity is the door to knowledge.|जिज्ञासा ज्ञान का द्वार है।
अहङ्कारः पुरुषं पातयति।|Ego causes a person to fall.|अहंकार पुरुष को गिराता है।
कृतज्ञता सम्बन्धं दृढयति।|Gratitude strengthens a relationship.|कृतज्ञता संबंध को दृढ़ करती है।
शून्यत्वं सर्वत्र व्याप्तम् अस्ति।|Emptiness is pervading everywhere.|शून्यता सब ओर व्याप्त है।
धैर्यं विपत्तौ पोतं भवति।|Patience becomes a ship in calamity.|धैर्य विपत्ति में नाव बनता है।
सूर्यः ऊषायाः पटं विदारयति।|The sun tears the veil of dawn.|सूर्य भोर का टाट चीरता है।
छायापथः नभसि नदी इव।|The galaxy is like a river in the sky.|आकाशगंगा नभ में नदी जैसी है।
ध्रुवतारकः सदा उत्तरस्यां स्थितः।|The pole star is always situated in the north.|ध्रुव तारा सदा उत्तर में स्थित है।
वात्याचक्रं पत्रान् आकाशे नयति।|The whirlwind carries leaves into the sky.|बवंडर पत्तों को आकाश में ले जाता है।
प्रदोषस्य प्रकाशः म्लानः भवति।|The light of dusk is faded.|सांझ का प्रकाश म्लान होता है।
ज्योत्स्नया भूमिः रूप्यमयी दृश्यते।|In the moonlight, the earth looks silvery.|चाँदनी से धरती चाँदी की सी दिखती है।
उल्कापातं दृष्ट्वा अभिलष्यते।|Seeing a meteor fall, a wish is made.|टूटता तारा देखकर इच्छा की जाती है।
सप्तर्षिमण्डलं प्रश्नं पृच्छति।|The Big Dipper constellation asks a question.|सप्तर्षि मंडल प्रश्न पूछता है।
तिमिरस्य अन्ते नक्षत्राणि श्वसन्ति।|Inside the darkness, the stars breathe.|अंधकार के भीतर नक्षत्र साँस लेते हैं।
अरुणोदयः नवीनं दिनम् आनयति।|The sunrise brings a new day.|सूर्योदय नया दिन लाता है।
हृदयस्पन्दनं तालं रक्षति।|The heartbeat keeps a rhythm.|हृदय का धड़कना एक ताल रखता है।
अक्षिपक्ष्मणोः पाते निमेषो गच्छति।|In the fall of an eyelash, a moment passes.|पलक के झपकने में एक निमेष बीतता है।
रोमहर्षेण त्वक् पुलकिता।|With goosebumps, the skin is thrilled.|रोंगटे खड़े होने से त्वचा पुलकित है।
उच्छ्वासेन वायुः बहिः याति।|With an exhale, the air goes out.|साँस छोड़ने से पवन बाहर जाता है।
पादाभ्यां भूमिः अनुभूयते।|The earth is felt by the feet.|पैरों से भूमि का अनुभव होता है।
नाड्यः शरीरे रक्तं वहन्ति।|Veins carry blood in the body.|नाड़ियाँ देह में रक्त ले जाती हैं।
जिह्वा स्वादस्य भेदं जानाति।|The tongue knows the difference in taste.|जीभ स्वाद का भेद जानती है।
अस्थिसन्धिः शरीरं नमयति।|The bone joint bends the body.|हड्डी का जोड़ देह को झुकाता है।
तर्जनी दूरस्थं वस्तु निर्दिशति।|The index finger points to a distant object.|तर्जनी दूर की वस्तु की ओर संकेत करती है।
