Sanskrit|English|Hindi
सत्यम् एव ईश्वरः लोके|Truth is god in this world|सत्य ही ईश्वर होती है इस लोक में,
सत्यं पद्माश्रिता सदा|The goddess of wealth always takes refuge in truth.|सत्य में ही लक्ष्मी आश्रय लेती है
सत्य-मूलानि सर्वाणि|Truth is the root of everything.|सत्य ही सभी का मूल है
सत्यात् न अस्ति परं पदम्|It is supreme and there is nothing above it.|सत्य से बढ़कर और कोई वास्तु नहीं है जिसका आश्रय लिया जाए।
वैद्यः रुग्णान् धनं याचति।|The doctor asks for money from the patients.|वैद्य रोगियों से धन मांगता है।
यवनः दैवविग्रहान् खण्डयति।|The Yavana destroys idols.|यवन मूर्तियों को तोड़ता है।
भारते राममन्दिरे प्राणप्रतिष्ठा अभवत्।|In India, the Prāna Pratishthā ceremony took place in the Rama temple.|भारत में राम मंदिर में प्राण प्रतिष्ठा का कार्य हुआ।
अस्माकं समयः मूल्यवान् अस्ति।|Our time is precious.|हमारा समय मूल्यवान है।
हरिणी हरिणे स्निह्यति।|The doe loves the stag.|हिरणी हिरण को प्रेम करती है।
तस्याः पिता तां सुपुरूषाय ददाति।|Her father gives her to a gentle man.|उसके पिता उसे एक सत्पुरुष को देते हैं।
सा पतिं सेवते‌।|She serves the husband.|वह पति की सेवा करती है।
दम्पती दैवान् भजतः।|The couple worships the deities.|दम्पती देवताओं को भजता है।
देवताः पूजकेभ्यो धनधान्यं प्रयच्छन्ति।|The deities bestow wealth upon the worshippers.|देवता पूजकों को धन और धान्य प्रदान करते हैं।
यवनः अन्ततः विनशिष्यति।|Ultimately, the Yavana will perish.|अंत में, यवन नष्ट हो जाएगा।
माता शत्रुः अस्ति पिता च वैरी अस्ति येन बालो न पाठितः।|Both the mother and father are enemies of a child if they do not educate him.|वह माँ दुश्मन है और वह पिता शत्रु है जिसने बच्चे को नहीं पढाया।
हंसमध्ये बकः यथा न शोभते तथा सभामध्ये सः न शोभते।|He will be a misfit in any gathering like a heron among swans.|जैसे बगुला हंसों के बीच में नहीं शोभता वैसे ही वह सभा में नहीं शोभता है।
